"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",63,307,339,1565,93,1190,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",53,113,201,585,93,1190,"LoggerFactory,Logger",""
"com.fasterxml",14,30,85,196,93,1190,"JsonCreator,JsonProperty,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonIgnore,JsonTypeInfo$As,JsonNode,ObjectMapper",""
"javax.persistence",13,24,78,340,93,1190,"Id,IdClass,MappedSuperclass,Index,Entity,Table,EntityExistsException,EntityManager,Query",""
"jakarta.persistence",8,22,69,328,93,1190,"IdClass,MappedSuperclass,Id,EntityExistsException,Query,EntityManager,TypedQuery,Index,Entity",""
"org.hamcrest",5,27,61,498,93,1190,"Matcher,CoreMatchers,StringDescription,Description,TypeSafeMatcher,BaseMatcher,Matchers",""
"com.github",2,6,19,118,93,1190,"ExecutionContext,ScheduledExecution,TaskWithDataDescriptor,Tasks$OneTimeTaskBuilder,Scheduler,Task,SchedulerState,TaskInstance,TaskInstanceId",""
"com.thoughtworks",2,8,31,135,93,1190,"UnmarshallingContext,HierarchicalStreamReader,MapConverter,HierarchicalStreamWriter,Mapper,MarshallingContext,CollectionConverter,XStream,CannotResolveClassException",""
"org.jobrunr",2,4,8,39,93,1190,"JobScheduler,JobId,JobBuilder",""
"org.junit",2,4,8,18,93,1190,"ExtensionContext,AfterEachCallback,BeforeEachCallback,Description,TestRule,Statement,Assertions",""
"org.quartz",2,9,38,228,93,1190,"JobExecutionContext,JobExecutionException,SchedulerContext,JobDataMap,Scheduler,Job,JobDetail,TriggerBuilder,Trigger",""
"reactor.core",2,18,36,159,93,1190,"Flux,Mono,FluxSink$OverflowStrategy,MonoSink,FluxSink,Sinks$MulticastReplaySpec,ConnectableFlux,Sinks$ManySpec,Sinks$Many",""
"com.google",1,1,4,9,93,1190,"JsonObject,JsonParser,JsonArray,JsonElement",""
"com.lmax",1,7,14,51,93,1190,"RingBuffer,ProducerType,WaitStrategy,BlockingWaitStrategy,Disruptor,EventHandlerGroup,ExceptionHandler,EventHandler,LifecycleAware",""
"jakarta.validation",1,2,5,22,93,1190,"ConstraintViolation,Validator,Validation,ValidatorFactory",""
"javax.cache",1,2,12,59,93,1190,"Cache,CacheEntryListenerConfiguration,CacheEntryCreatedListener,Factory,CacheEntryListener,CacheEntryEvent,CacheEntryExpiredListener,CacheEntryEventFilter,CacheEntryRemovedListener",""
"javax.validation",1,2,5,22,93,1190,"ValidatorFactory,Validation,Validator,ConstraintViolation",""
"net.sf",1,2,8,72,93,1190,"Ehcache,Element,CacheEventListener,CacheException,RegisteredEventListeners",""
"nu.xom",1,3,5,16,93,1190,"Builder,ParsingException,Document",""
"org.dom4j",1,3,4,15,93,1190,"Document,STAXEventReader",""
"org.ehcache",1,3,10,49,93,1190,"EventType,EventOrdering,CacheRuntimeConfiguration,CacheEventListener,EventFiring,Ehcache,CacheEvent",""
"org.testcontainers",1,3,13,47,93,1190,"Wait,GenericContainer,DockerImageName,MountableFile,ContainerLaunchException,HttpWaitStrategy",""
