"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.8.2","javax.annotation",12,104,39,"Nonnull",""
"axon-configuration-4.8.2","org.slf4j",9,28,39,"Logger,LoggerFactory",""
"axon-disruptor-4.8.2","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.8.2","com.lmax.disruptor",9,29,22,"RingBuffer,WaitStrategy,BlockingWaitStrategy,EventHandler,LifecycleAware,ExceptionHandler",""
"axon-disruptor-4.8.2","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.8.2","com.lmax.disruptor.dsl",5,22,22,"Disruptor,EventHandlerGroup,ProducerType",""
"axon-disruptor-4.8.2","WeakValue",1,5,22,"WeakValue",""
"axon-eventsourcing-4.8.2","javax.annotation",29,94,130,"Nonnull,Nullable,PreDestroy",""
"axon-eventsourcing-4.8.2","org.slf4j",23,43,130,"Logger,LoggerFactory",""
"axon-eventsourcing-4.8.2","jakarta.persistence",11,50,130,"Entity,Query,EntityManager,TypedQuery,EntityExistsException,IdClass,MappedSuperclass,Id,Index,Table",""
"axon-eventsourcing-4.8.2","javax.persistence",11,50,130,"Entity,EntityManager,Query,TypedQuery,Id,IdClass,MappedSuperclass,Index,Table,EntityExistsException",""
"axon-messaging-4.8.2","javax.annotation",245,1160,762,"Nonnull,Nullable",""
"axon-messaging-4.8.2","org.slf4j",136,421,762,"Logger,LoggerFactory",""
"axon-messaging-4.8.2","com.fasterxml.jackson.annotation",53,81,762,"JsonProperty,JsonGetter,JsonCreator,JsonTypeInfo$Id,JsonTypeInfo,JsonIgnore,JsonTypeInfo$As",""
"axon-messaging-4.8.2","javax.persistence",44,194,762,"TypedQuery,Basic,MappedSuperclass,Lob,Column,EntityManager,Entity,IdClass,Id,LockModeType,Query,GeneratedValue,NoResultException,Table,Embedded,Index,Embeddable",""
