"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-test-4.9.1",8,""
"axon-modelling-4.9.1",10,""
"axon-messaging-4.9.1",64,""
"axon-disruptor-4.9.1",1,""
"axon-eventsourcing-4.9.1",9,""
"axon-configuration-4.9.1",1,""
