"artifactName","cyclomaticComplexity","methods","Source Cypher File: Overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-configuration-4.7.6.jar",1,516,""
"axon-configuration-4.7.6.jar",2,35,""
"axon-configuration-4.7.6.jar",3,15,""
"axon-configuration-4.7.6.jar",4,5,""
"axon-configuration-4.7.6.jar",5,3,""
"axon-configuration-4.7.6.jar",7,2,""
"axon-disruptor-4.7.6.jar",1,146,""
"axon-disruptor-4.7.6.jar",2,20,""
"axon-disruptor-4.7.6.jar",3,5,""
"axon-disruptor-4.7.6.jar",4,4,""
"axon-disruptor-4.7.6.jar",5,3,""
"axon-disruptor-4.7.6.jar",6,2,""
"axon-disruptor-4.7.6.jar",7,2,""
"axon-disruptor-4.7.6.jar",8,2,""
"axon-eventsourcing-4.7.6.jar",1,926,""
"axon-eventsourcing-4.7.6.jar",2,92,""
"axon-eventsourcing-4.7.6.jar",3,54,""
"axon-eventsourcing-4.7.6.jar",4,24,""
"axon-eventsourcing-4.7.6.jar",5,9,""
"axon-eventsourcing-4.7.6.jar",6,3,""
"axon-eventsourcing-4.7.6.jar",7,7,""
"axon-eventsourcing-4.7.6.jar",8,7,""
"axon-eventsourcing-4.7.6.jar",13,1,""
"axon-messaging-4.7.6.jar",1,3860,""
"axon-messaging-4.7.6.jar",2,414,""
"axon-messaging-4.7.6.jar",3,266,""
"axon-messaging-4.7.6.jar",4,130,""
"axon-messaging-4.7.6.jar",5,65,""
"axon-messaging-4.7.6.jar",6,43,""
"axon-messaging-4.7.6.jar",7,19,""
"axon-messaging-4.7.6.jar",8,10,""
"axon-messaging-4.7.6.jar",9,7,""
"axon-messaging-4.7.6.jar",10,4,""
"axon-messaging-4.7.6.jar",11,7,""
"axon-messaging-4.7.6.jar",12,3,""
"axon-messaging-4.7.6.jar",13,2,""
"axon-messaging-4.7.6.jar",14,1,""
"axon-messaging-4.7.6.jar",15,1,""
"axon-messaging-4.7.6.jar",16,1,""
"axon-messaging-4.7.6.jar",21,2,""
"axon-messaging-4.7.6.jar",40,1,""
"axon-modelling-4.7.6.jar",1,837,""
"axon-modelling-4.7.6.jar",2,75,""
"axon-modelling-4.7.6.jar",3,37,""
"axon-modelling-4.7.6.jar",4,28,""
"axon-modelling-4.7.6.jar",5,22,""
"axon-modelling-4.7.6.jar",6,11,""
"axon-modelling-4.7.6.jar",7,2,""
"axon-modelling-4.7.6.jar",8,1,""
"axon-modelling-4.7.6.jar",9,2,""
"axon-modelling-4.7.6.jar",16,1,""
"axon-test-4.7.6.jar",1,492,""
"axon-test-4.7.6.jar",2,60,""
"axon-test-4.7.6.jar",3,55,""
"axon-test-4.7.6.jar",4,21,""
"axon-test-4.7.6.jar",5,12,""
"axon-test-4.7.6.jar",6,8,""
"axon-test-4.7.6.jar",7,4,""
"axon-test-4.7.6.jar",8,3,""
"axon-test-4.7.6.jar",9,1,""
"axon-test-4.7.6.jar",10,1,""
"axon-test-4.7.6.jar",11,2,""
"axon-test-4.7.6.jar",12,1,""
"axon-test-4.7.6.jar",13,1,""
