"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.7.6",729,"Interface",143,""
"axon-messaging-4.7.6",729,"Class",541,""
"axon-messaging-4.7.6",729,"Annotation",26,""
"axon-messaging-4.7.6",729,"Enum",19,""
"axon-modelling-4.7.6",149,"Enum",3,""
"axon-modelling-4.7.6",149,"Class",108,""
"axon-modelling-4.7.6",149,"Interface",26,""
"axon-modelling-4.7.6",149,"Annotation",12,""
"axon-eventsourcing-4.7.6",130,"Class",96,""
"axon-eventsourcing-4.7.6",130,"Annotation",1,""
"axon-eventsourcing-4.7.6",130,"Interface",31,""
"axon-eventsourcing-4.7.6",130,"Enum",2,""
"axon-test-4.7.6",85,"Class",69,""
"axon-test-4.7.6",85,"Interface",16,""
"axon-configuration-4.7.6",39,"Class",22,""
"axon-configuration-4.7.6",39,"Interface",15,""
"axon-configuration-4.7.6",39,"Enum",1,""
"axon-configuration-4.7.6",39,"Annotation",1,""
"axon-disruptor-4.7.6",22,"Class",22,""
