"artifactName","fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","numberOfIncludedSubPackages","maxSubpackageDepth","Source Cypher File: Metrics/Calculate_and_set_Abstractness_for_Java_including_Subpackages.cypher"
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.springboot.autoconfig","autoconfig",0,0,31,1,1,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.heartbeat.connection","connection",0,0,2,1,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,0,10,0,0,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0,0,7,0,0,""
"axon-messaging-4.10.0","org.axonframework.deadline.dbscheduler","dbscheduler",0,0,7,0,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0,0,7,0,0,""
"axon-messaging-4.10.0","org.axonframework.serialization.json","json",0,0,7,0,0,""
"axon-messaging-4.10.0","org.axonframework.serialization.xml","xml",0,0,7,0,0,""
"axon-messaging-4.10.0","org.axonframework.tracing.attributes","attributes",0,0,6,0,0,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query.subscription","subscription",0,0,6,0,0,""
"axon-messaging-4.10.0","org.axonframework.serialization.converters","converters",0,0,5,0,0,""
"axon-tracing-opentelemetry-4.10.0","org.axonframework.tracing.opentelemetry","opentelemetry",0,0,5,0,0,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.callbacks","callbacks",0,0,4,0,0,""
"axon-messaging-4.10.0","org.axonframework.deadline.quartz","quartz",0,0,4,0,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.java","java",0,0,4,0,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.jpa","jpa",0,0,4,0,0,""
"axon-test-4.10.0","org.axonframework.test.server","server",0,0,4,0,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,0,3,0,0,""
"axon-messaging-4.10.0","org.axonframework.util","util",0,0,3,0,0,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.processor","processor",0,0,3,0,0,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.util","util",0,0,3,0,0,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,0,3,0,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0,0,2,0,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,0,2,0,0,""
"axon-messaging-4.10.0","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,0,2,0,0,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.heartbeat.connection.checker","checker",0,0,2,0,0,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,0,2,0,0,""
"axon-modelling-4.10.0","org.axonframework.modelling.command.legacyjpa","legacyjpa",0,0,2,0,0,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.inmemory","inmemory",0,0,2,0,0,""
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.actuator.axonserver","axonserver",0,0,2,0,0,""
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa",0,0,2,0,0,""
"axon-messaging-4.10.0","org.axonframework.common.digest","digest",0,0,1,0,0,""
"axon-messaging-4.10.0","org.axonframework.common.io","io",0,0,1,0,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.interceptors","interceptors",0,0,1,0,0,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.heartbeat.source","source",0,0,1,0,0,""
