"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-4.10.0","org.axonframework.messaging","messaging",8931,26116,330,67,53,5,""
"axon-messaging-4.10.0","org.axonframework.eventhandling","eventhandling",5364,23737,301,57,46,4,""
"axon-messaging-4.10.0","org.axonframework.commandhandling","commandhandling",1641,5354,126,19,18,5,""
"axon-messaging-4.10.0","org.axonframework.serialization","serialization",1233,5088,138,15,33,3,""
"axon-messaging-4.10.0","org.axonframework.messaging.annotation","annotation",1057,4020,151,19,25,5,""
"axon-messaging-4.10.0","org.axonframework.common","common",926,2127,338,12,78,5,""
"axon-messaging-4.10.0","org.axonframework.tracing","tracing",516,2293,93,13,18,3,""
"axon-messaging-4.10.0","org.axonframework.common.transaction","transaction",314,988,76,5,28,3,""
"axon-modelling-4.10.0","org.axonframework.modelling.command","command",269,927,79,8,10,4,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga","saga",257,1132,60,12,10,2,""
"axon-messaging-4.10.0","org.axonframework.messaging.unitofwork","unitofwork",256,1064,82,5,36,5,""
"axon-messaging-4.10.0","org.axonframework.deadline","deadline",238,1229,42,9,12,3,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",218,1205,26,14,2,0,""
"axon-messaging-4.10.0","org.axonframework.queryhandling","queryhandling",214,858,55,11,9,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.deadletter","deadletter",197,1140,35,8,6,1,""
"axon-messaging-4.10.0","org.axonframework.monitoring","monitoring",188,500,39,6,10,3,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore","eventstore",169,689,60,5,10,3,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing","eventsourcing",141,568,44,5,5,3,""
"axon-configuration-4.10.0","org.axonframework.config","config",119,1225,36,0,1,0,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.gateway","gateway",97,341,33,1,3,2,""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection","inspection",83,300,43,4,7,4,""
"axon-messaging-4.10.0","org.axonframework.messaging.responsetypes","responsetypes",78,320,21,4,4,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore","tokenstore",73,353,27,3,8,1,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository","repository",72,240,28,5,7,2,""
"axon-messaging-4.10.0","org.axonframework.lifecycle","lifecycle",71,180,23,3,14,2,""
"axon-messaging-4.10.0","org.axonframework.common.jdbc","jdbc",65,346,29,0,9,3,""
"axon-test-4.10.0","org.axonframework.test.matchers","matchers",61,211,23,2,4,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","pooled",60,443,16,1,2,1,""
"axon-disruptor-4.10.0","org.axonframework.disruptor.commandhandling","commandhandling",55,236,21,0,2,1,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed","distributed",50,227,24,1,2,0,""
"axon-messaging-4.10.0","org.axonframework.common.lock","lock",46,178,21,2,7,3,""
"axon-test-4.10.0","org.axonframework.test.saga","saga",43,192,15,0,1,0,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.async","async",41,112,18,2,3,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.upcasting.event","event",38,123,23,3,8,2,""
