"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-messaging-4.10.0","org.axonframework.messaging","messaging",0.01467343336275375,0.0958904109589041,0.18292682926829268,0.1016949152542373,0,133,8931,35,330,15,67,6,53,0,5,""
"axon-messaging-4.10.0","org.axonframework.common.transaction","transaction",0.01875,0.05,0,0.034482758620689655,0,6,314,4,76,0,5,1,28,0,3,""
"axon-messaging-4.10.0","org.axonframework.common","common",0.02423603793466807,0.042492917847025496,0,0.012658227848101266,0,23,926,15,338,0,12,1,78,0,5,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling","scheduling",0.09090909090909091,0.14285714285714285,0,0.2222222222222222,0,2,20,2,12,0,2,2,7,0,2,""
"axon-messaging-4.10.0","org.axonframework.monitoring","monitoring",0.10047846889952153,0.15217391304347827,0.3333333333333333,0.23076923076923078,0,21,188,7,39,3,6,3,10,0,3,""
"axon-messaging-4.10.0","org.axonframework.common.annotation","annotation",0.12,0.12,0,0.16666666666666666,0,3,22,3,22,0,0,2,10,0,2,""
"axon-messaging-4.10.0","org.axonframework.lifecycle","lifecycle",0.12345679012345678,0.23333333333333334,0,0.17647058823529413,0,10,71,7,23,0,3,3,14,0,2,""
"axon-messaging-4.10.0","org.axonframework.serialization","serialization",0.12491128459900638,0.25,0.3181818181818182,0.21428571428571427,0,176,1233,46,138,7,15,9,33,0,3,""
"axon-messaging-4.10.0","org.axonframework.common.stream","stream",0.14705882352941177,0.16666666666666666,0,0.125,0,5,29,3,15,0,2,1,7,0,2,""
"axon-messaging-4.10.0","org.axonframework.tracing","tracing",0.19122257053291536,0.225,0.48,0.3333333333333333,0,122,516,27,93,12,13,9,18,0,3,""
"axon-messaging-4.10.0","org.axonframework.messaging.annotation","annotation",0.22164948453608246,0.3073394495412844,0.40625,0.21875,0,301,1057,67,151,13,19,7,25,0,5,""
"axon-messaging-4.10.0","org.axonframework.eventhandling","eventhandling",0.2256388046773495,0.3470715835140998,0.5,0.25806451612903225,0,1563,5364,160,301,57,57,16,46,0,4,""
"axon-messaging-4.10.0","org.axonframework.common.jpa","jpa",0.2727272727272727,0.25,1,0.3,0,6,16,5,15,2,0,3,7,0,3,""
"axon-messaging-4.10.0","org.axonframework.commandhandling","commandhandling",0.29631217838765006,0.37,0.6122448979591837,0.3333333333333333,0,691,1641,74,126,30,19,9,18,0,5,""
"axon-messaging-4.10.0","org.axonframework.common.legacyjpa","legacyjpa",0.3,0.2777777777777778,1,0.3333333333333333,0,6,14,5,13,2,0,3,6,0,2,""
"axon-messaging-4.10.0","org.axonframework.serialization.upcasting","upcasting",0.3125,0.08333333333333333,0,0.3333333333333333,0,5,11,1,11,0,1,1,2,0,0,""
"axon-messaging-4.10.0","org.axonframework.messaging.unitofwork","unitofwork",0.3245382585751979,0.19607843137254902,0.5833333333333334,0.12195121951219512,0,123,256,20,82,7,5,5,36,0,5,""
"axon-messaging-4.10.0","org.axonframework.common.digest","digest",0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,1,2,1,2,0,0,1,2,0,0,""
"axon-messaging-4.10.0","org.axonframework.messaging.deadletter","deadletter",0.3411371237458194,0.39655172413793105,0.5,0.45454545454545453,0,102,197,23,35,8,8,5,6,0,1,""
"axon-messaging-4.10.0","org.axonframework.common.lock","lock",0.352112676056338,0.36363636363636365,0.5,0.2222222222222222,0,25,46,12,21,2,2,2,7,0,3,""
"axon-messaging-4.10.0","org.axonframework.messaging.correlation","correlation",0.358974358974359,0.23076923076923078,0.4,0.3333333333333333,0,14,25,3,10,2,3,2,4,0,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore","tokenstore",0.3652173913043478,0.325,0.5714285714285714,0.3333333333333333,0,42,73,13,27,4,3,4,8,0,1,""
"axon-messaging-4.10.0","org.axonframework.common.property","property",0.39473684210526316,0.38095238095238093,1,0.2857142857142857,0,15,23,8,13,1,0,2,5,0,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.snapshotting","snapshotting",0.425,0.3888888888888889,0.6666666666666666,0.4,0.5,17,23,7,11,4,2,4,6,1,1,""
"axon-test-4.10.0","org.axonframework.test","test",0.4482758620689655,0.3181818181818182,1,0.4,1,13,16,7,15,3,0,4,6,1,0,""
"axon-messaging-4.10.0","org.axonframework.messaging.responsetypes","responsetypes",0.45454545454545453,0.4473684210526316,0.6,0.6,0,65,78,17,21,6,4,6,4,0,0,""
"axon-test-4.10.0","org.axonframework.test.matchers","matchers",0.45535714285714285,0.5208333333333334,0.6666666666666666,0.6,1,51,61,25,23,4,2,6,4,1,0,""
"axon-messaging-4.10.0","org.axonframework.common.jdbc","jdbc",0.4628099173553719,0.43137254901960786,1,0.35714285714285715,0,56,65,22,29,8,0,5,9,0,3,""
"axon-messaging-4.10.0","org.axonframework.common.caching","caching",0.5697674418604651,0.3888888888888889,1,0.2857142857142857,0,49,37,14,22,3,0,2,5,0,4,""
"axon-messaging-4.10.0","org.axonframework.deadline","deadline",0.5868055555555556,0.5227272727272727,0.7096774193548387,0.4,0,338,238,46,42,22,9,8,12,0,3,""
"axon-messaging-4.10.0","org.axonframework.queryhandling.registration","registration",0.5909090909090909,0.5833333333333334,1,0.6666666666666666,0,13,9,7,5,2,0,4,2,0,0,""
"axon-messaging-4.10.0","org.axonframework.util","util",0.6,0.6,0,0.6666666666666666,0,6,4,6,4,0,0,6,3,0,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.xml","xml",0.6222222222222222,0.6296296296296297,1,0.3333333333333333,0,28,17,17,10,4,0,4,8,0,3,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga","saga",0.6269956458635704,0.5081967213114754,0.6571428571428571,0.47368421052631576,0.3333333333333333,432,257,62,60,23,12,9,10,1,2,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.async","async",0.6495726495726496,0.5263157894736842,0.7777777777777778,0.625,0,76,41,20,18,7,2,5,3,0,1,""
"axon-test-4.10.0","org.axonframework.test.server","server",0.6666666666666666,0.6666666666666666,0,0.6666666666666666,1,2,1,2,1,0,0,2,1,1,0,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.7272727272727273,0.6428571428571429,1,0.7142857142857143,1,80,30,9,5,6,0,5,2,1,0,""
