"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-modelling-4.10.3",,,false,,,1,13,5,13,1,1,1,"/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/modelling/command/inspection","axon-modelling-4.10.3 -> axon-modelling-4.10.3","",""
"axon-modelling-4.10.3",,,true,,,1,13,5,13,1,1,1,"/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/common/lock","axon-modelling-4.10.3 -> axon-messaging-4.10.3","",""
"axon-server-connector-4.10.3",,,false,,,1,13,5,13,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/heartbeat","axon-server-connector-4.10.3 -> axon-server-connector-4.10.3","",""
"axon-server-connector-4.10.3",,,false,,,2,39,3,39,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/util","axon-server-connector-4.10.3 -> axon-server-connector-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,false,,,1,13,5,13,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/autoconfig","axon-spring-boot-autoconfigure-4.10.3 -> axon-spring-boot-autoconfigure-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,false,,,2,39,3,39,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator/axonserver,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util/jpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/service/connection","axon-spring-boot-autoconfigure-4.10.3 -> axon-spring-boot-autoconfigure-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,false,,,3,18,2,18,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot","axon-spring-boot-autoconfigure-4.10.3 -> axon-spring-boot-autoconfigure-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,true,,,1,13,5,13,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing/eventstore/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling/deadletter/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling/tokenstore/legacyjpa","axon-spring-boot-autoconfigure-4.10.3 -> axon-eventsourcing-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-modelling-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-messaging-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,true,,,2,39,3,39,33,1,33,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing/eventstore/jdbc,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing/eventstore/jpa","axon-spring-boot-autoconfigure-4.10.3 -> axon-eventsourcing-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-server-connector-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-modelling-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-tracing-opentelemetry-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,true,,,3,18,2,18,14,1,14,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/axonserver/connector,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/jpa","axon-spring-boot-autoconfigure-4.10.3 -> axon-server-connector-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-modelling-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-test-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-messaging-4.10.3","",""
