"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-eventsourcing-4.10.3",,,true,,,1,746,108,101,67,9,22,"/org/axonframework/eventsourcing -> /org/axonframework/modelling/command,/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/modelling/command,/org/axonframework/eventsourcing/eventstore -> /org/axonframework/modelling/command,/org/axonframework/eventsourcing/eventstore/jdbc -> /org/axonframework/modelling/command","axon-eventsourcing-4.10.3 -> axon-modelling-4.10.3,axon-eventsourcing-4.10.3 -> axon-messaging-4.10.3","",""
"axon-eventsourcing-4.10.3",,,true,,,2,1567,99,86,168,9,32,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/modelling/command,/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/modelling/command,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/modelling/command,/org/axonframework/eventsourcing/eventstore/legacyjpa -> /org/axonframework/modelling/command","axon-eventsourcing-4.10.3 -> axon-modelling-4.10.3,axon-eventsourcing-4.10.3 -> axon-messaging-4.10.3","",""
"axon-eventsourcing-4.10.3",,,true,,,3,1127,95,60,68,9,17,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/modelling/command/inspection,/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/modelling/command/inspection,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/modelling/command/inspection,/org/axonframework/eventsourcing/eventstore/legacyjpa -> /org/axonframework/modelling/command/inspection","axon-eventsourcing-4.10.3 -> axon-modelling-4.10.3,axon-eventsourcing-4.10.3 -> axon-messaging-4.10.3","",""
"axon-eventsourcing-4.10.3",,,true,,,4,201,60,21,6,3,4,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/commandhandling/callbacks,/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/common/caching,/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/messaging/responsetypes,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/messaging/responsetypes","axon-eventsourcing-4.10.3 -> axon-messaging-4.10.3","",""
"axon-messaging-4.10.3",,,false,,,1,746,108,101,300,59,41,"/org/axonframework/serialization -> /org/axonframework/commandhandling,/org/axonframework/tracing -> /org/axonframework/commandhandling,/org/axonframework/tracing/attributes -> /org/axonframework/commandhandling,/org/axonframework/util -> /org/axonframework/commandhandling","axon-messaging-4.10.3 -> axon-messaging-4.10.3","",""
"axon-messaging-4.10.3",,,false,,,2,1567,99,86,563,51,30,"/org/axonframework/deadline -> /org/axonframework/commandhandling,/org/axonframework/deadline/dbscheduler -> /org/axonframework/commandhandling,/org/axonframework/deadline/jobrunr -> /org/axonframework/commandhandling,/org/axonframework/deadline/quartz -> /org/axonframework/commandhandling","axon-messaging-4.10.3 -> axon-messaging-4.10.3","",""
"axon-messaging-4.10.3",,,false,,,3,1127,95,60,450,51,26,"/org/axonframework/deadline/annotation -> /org/axonframework/commandhandling,/org/axonframework/eventhandling/deadletter -> /org/axonframework/commandhandling,/org/axonframework/eventhandling/async -> /org/axonframework/commandhandling,/org/axonframework/eventhandling/gateway -> /org/axonframework/commandhandling","axon-messaging-4.10.3 -> axon-messaging-4.10.3","",""
"axon-messaging-4.10.3",,,false,,,4,201,60,21,125,32,18,"/org/axonframework/common/jdbc -> /org/axonframework/commandhandling/callbacks,/org/axonframework/common/jdbc -> /org/axonframework/common/annotation,/org/axonframework/commandhandling/callbacks -> /org/axonframework/common/io,/org/axonframework/commandhandling -> /org/axonframework/common/property","axon-messaging-4.10.3 -> axon-messaging-4.10.3","",""
"axon-messaging-4.10.3",,,false,,,5,7,3,5,7,3,5,"/org/axonframework/commandhandling/callbacks -> /org/axonframework/common/property,/org/axonframework/commandhandling/distributed/commandfilter -> /org/axonframework/common/property,/org/axonframework/commandhandling/callbacks -> /org/axonframework/serialization/upcasting,/org/axonframework/commandhandling/distributed/commandfilter -> /org/axonframework/serialization/upcasting","axon-messaging-4.10.3 -> axon-messaging-4.10.3","",""
"axon-modelling-4.10.3",,,false,,,1,746,108,101,18,10,6,"/org/axonframework/modelling/command/inspection -> /org/axonframework/modelling/command,/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/modelling/command,/org/axonframework/modelling/command -> /org/axonframework/modelling/command/inspection,/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/modelling/command/inspection","axon-modelling-4.10.3 -> axon-modelling-4.10.3","",""
