"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",63,310,342,1602,93,1224,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",53,117,208,604,93,1224,"LoggerFactory,Logger",""
"com.fasterxml.jackson.annotation",13,23,57,87,93,1224,"JsonProperty,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonTypeInfo$As,JsonIgnore",""
"javax.persistence",13,24,78,305,93,1224,"LockModeType,EntityManager,Column,Entity,Lob,Basic,Id,Index,GeneratedValue",""
"jakarta.persistence",8,22,69,293,93,1224,"EntityManager,LockModeType,Basic,Entity,Lob,Column,Id,EntityManagerFactory,Query",""
"org.hamcrest",5,27,59,370,93,1224,"CoreMatchers,StringDescription,Matcher,Description,BaseMatcher,TypeSafeMatcher,Matchers",""
"com.github.kagkarlsson.scheduler",2,4,7,46,93,1224,"Scheduler,SchedulerState,ScheduledExecution",""
"com.github.kagkarlsson.scheduler.task",2,4,10,40,93,1224,"TaskInstanceId,ExecutionContext,Task,TaskInstance,TaskWithDataDescriptor",""
"com.thoughtworks.xstream.io",2,4,9,39,93,1224,"HierarchicalStreamWriter,HierarchicalStreamReader,HierarchicalStreamDriver",""
"org.jobrunr.scheduling",2,4,6,31,93,1224,"JobBuilder,JobScheduler",""
"org.quartz",2,9,35,185,93,1224,"Scheduler,JobDataMap,Trigger,Job,JobDetail,JobKey,SchedulerContext,JobExecutionContext,JobExecutionException",""
"reactor.core.publisher",2,18,35,139,93,1224,"Flux,Mono,Signal,Sinks$Many,Sinks$EmitResult,MonoSink,FluxSink,EmitterProcessor,Sinks$MulticastReplaySpec",""
"com.fasterxml.jackson.core",1,3,4,7,93,1224,"JsonProcessingException,JsonParser,JacksonException",""
"com.fasterxml.jackson.databind",1,7,15,65,93,1224,"JsonNode,ObjectMapper,ObjectWriter,ObjectReader,JsonDeserializer,DeserializationContext,ObjectMapper$DefaultTyping,DeserializationFeature",""
"com.fasterxml.jackson.databind.node",1,2,3,12,93,1224,"ObjectNode,JsonNodeType",""
"com.google.gson",1,1,4,7,93,1224,"JsonArray,JsonParser,JsonObject,JsonElement",""
"com.lmax.disruptor",1,7,9,25,93,1224,"RingBuffer,EventHandler,LifecycleAware,ExceptionHandler,BlockingWaitStrategy,WaitStrategy",""
"com.lmax.disruptor.dsl",1,4,5,21,93,1224,"Disruptor,EventHandlerGroup,ProducerType",""
"com.thoughtworks.xstream.converters",1,3,6,6,93,1224,"MarshallingContext,UnmarshallingContext",""
"com.thoughtworks.xstream.io.xml",1,2,4,13,93,1224,"CompactWriter,XppDriver,Dom4JReader,XomReader",""
"com.thoughtworks.xstream.mapper",1,4,5,6,93,1224,"Mapper,CannotResolveClassException",""
"jakarta.validation",1,2,5,15,93,1224,"ValidatorFactory,Validator,ConstraintViolation,Validation",""
"javax.cache.configuration",1,2,3,9,93,1224,"Factory,CacheEntryListenerConfiguration",""
"javax.cache.event",1,1,8,26,93,1224,"CacheEntryRemovedListener,CacheEntryUpdatedListener,CacheEntryEventFilter,CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryExpiredListener,CacheEntryCreatedListener",""
"javax.validation",1,2,5,15,93,1224,"ConstraintViolation,ValidatorFactory,Validator,Validation",""
"net.sf.ehcache",1,2,5,47,93,1224,"Element,Ehcache,CacheException",""
"net.sf.ehcache.event",1,2,3,7,93,1224,"RegisteredEventListeners,CacheEventListener",""
"nu.xom",1,3,5,15,93,1224,"Document,ParsingException,Builder",""
"org.ehcache.event",1,3,8,30,93,1224,"EventOrdering,EventType,CacheEventListener,EventFiring,CacheEvent",""
"org.junit.jupiter.api.extension",1,1,3,4,93,1224,"ExtensionContext,BeforeEachCallback,AfterEachCallback",""
"org.testcontainers.containers",1,3,4,15,93,1224,"GenericContainer,ContainerLaunchException",""
"org.testcontainers.containers.wait.strategy",1,3,4,5,93,1224,"Wait,HttpWaitStrategy",""
"org.testcontainers.utility",1,3,5,22,93,1224,"DockerImageName,MountableFile",""
