"artifactName","fullPackageName","typeName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","numberOfExternalTypes","externalPackageNames","externalTypeNames","packageName","fullTypeName","Source Cypher File: External_Dependencies/External_package_usage_per_type.cypher"
"axon-messaging-4.9.3","org.axonframework.serialization.json","JacksonSerializer",9,29,6,9,"javax.annotation,com.fasterxml.jackson.databind,com.fasterxml.jackson.databind.type,com.fasterxml.jackson.databind.module,com.fasterxml.jackson.datatype.jsr310,com.fasterxml.jackson.core","javax.annotation.Nonnull,com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.databind.type.TypeFactory,com.fasterxml.jackson.databind.module.SimpleModule,com.fasterxml.jackson.datatype.jsr310.JavaTimeModule,com.fasterxml.jackson.core.JsonProcessingException,com.fasterxml.jackson.databind.ObjectWriter,com.fasterxml.jackson.databind.ObjectReader","json","org.axonframework.serialization.json.JacksonSerializer",""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler","DbSchedulerDeadlineManager",12,93,5,12,"javax.annotation,org.slf4j,com.github.kagkarlsson.scheduler,com.github.kagkarlsson.scheduler.task.helper,com.github.kagkarlsson.scheduler.task","javax.annotation.Nonnull,javax.annotation.Nullable,org.slf4j.Logger,org.slf4j.LoggerFactory,com.github.kagkarlsson.scheduler.Scheduler,com.github.kagkarlsson.scheduler.task.helper.Tasks$OneTimeTaskBuilder,com.github.kagkarlsson.scheduler.task.TaskWithDataDescriptor,com.github.kagkarlsson.scheduler.task.TaskInstance,com.github.kagkarlsson.scheduler.task.Task,com.github.kagkarlsson.scheduler.ScheduledExecution,com.github.kagkarlsson.scheduler.SchedulerState,com.github.kagkarlsson.scheduler.task.ExecutionContext","dbscheduler","org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.dbscheduler","DbSchedulerEventScheduler",10,46,5,10,"javax.annotation,org.slf4j,com.github.kagkarlsson.scheduler,com.github.kagkarlsson.scheduler.task.helper,com.github.kagkarlsson.scheduler.task","javax.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,com.github.kagkarlsson.scheduler.Scheduler,com.github.kagkarlsson.scheduler.task.helper.Tasks$OneTimeTaskBuilder,com.github.kagkarlsson.scheduler.task.TaskWithDataDescriptor,com.github.kagkarlsson.scheduler.task.TaskInstance,com.github.kagkarlsson.scheduler.task.Task,com.github.kagkarlsson.scheduler.SchedulerState,com.github.kagkarlsson.scheduler.task.ExecutionContext","dbscheduler","org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler",""
"axon-messaging-4.9.3","org.axonframework.serialization.xml","XStreamSerializer",7,22,5,7,"org.slf4j,com.thoughtworks.xstream,org.dom4j,nu.xom,com.thoughtworks.xstream.io.xml","org.slf4j.Logger,org.slf4j.LoggerFactory,com.thoughtworks.xstream.XStream,org.dom4j.Document,nu.xom.Document,com.thoughtworks.xstream.io.xml.Dom4JReader,com.thoughtworks.xstream.io.xml.XomReader","xml","org.axonframework.serialization.xml.XStreamSerializer",""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","DisruptorCommandBus$DisruptorRepository",4,14,4,4,"org.slf4j,com.lmax.disruptor,javax.annotation,com.lmax.disruptor.dsl","org.slf4j.Logger,com.lmax.disruptor.RingBuffer,javax.annotation.Nonnull,com.lmax.disruptor.dsl.Disruptor","commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository",""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","DisruptorCommandBus",6,34,4,6,"org.slf4j,com.lmax.disruptor,javax.annotation,com.lmax.disruptor.dsl","org.slf4j.Logger,com.lmax.disruptor.RingBuffer,javax.annotation.Nonnull,org.slf4j.LoggerFactory,com.lmax.disruptor.dsl.Disruptor,com.lmax.disruptor.dsl.EventHandlerGroup","commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus",""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr","JobRunrDeadlineManager",7,29,4,7,"javax.annotation,org.slf4j,org.jobrunr.scheduling,org.jobrunr.jobs","javax.annotation.Nonnull,javax.annotation.Nullable,org.slf4j.Logger,org.slf4j.LoggerFactory,org.jobrunr.scheduling.JobScheduler,org.jobrunr.scheduling.JobBuilder,org.jobrunr.jobs.JobId","jobrunr","org.axonframework.deadline.jobrunr.JobRunrDeadlineManager",""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz","QuartzDeadlineManager",13,78,4,13,"javax.annotation,org.slf4j,org.quartz,org.quartz.impl.matchers","javax.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,org.quartz.JobDataMap,org.quartz.JobDetail,org.quartz.Scheduler,org.quartz.SchedulerContext,org.quartz.Trigger,org.quartz.JobKey,org.quartz.SchedulerException,org.quartz.JobBuilder,org.quartz.TriggerBuilder,org.quartz.impl.matchers.GroupMatcher","quartz","org.axonframework.deadline.quartz.QuartzDeadlineManager",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.jobrunr","JobRunrEventScheduler",6,27,4,6,"javax.annotation,org.slf4j,org.jobrunr.scheduling,org.jobrunr.jobs","javax.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,org.jobrunr.scheduling.JobScheduler,org.jobrunr.scheduling.JobBuilder,org.jobrunr.jobs.JobId","jobrunr","org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler",""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes","MultipleInstancesResponseType",7,17,4,7,"org.slf4j,com.fasterxml.jackson.annotation,org.reactivestreams,reactor.core.publisher","org.slf4j.Logger,org.slf4j.LoggerFactory,com.fasterxml.jackson.annotation.JsonProperty,com.fasterxml.jackson.annotation.JsonCreator,org.reactivestreams.Publisher,reactor.core.publisher.Flux,reactor.core.publisher.Mono","responsetypes","org.axonframework.messaging.responsetypes.MultipleInstancesResponseType",""
