"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-test-4.9.3","org.axonframework.test.matchers","org.hamcrest",38,188,24,"BaseMatcher,Description,Matcher,TypeSafeMatcher","matchers",""
"axon-messaging-4.9.3","org.axonframework.queryhandling","reactor.core.publisher",28,123,48,"Flux,Mono,Signal,FluxSink$OverflowStrategy,Sinks,FluxSink,EmitterProcessor,Sinks$ManySpec,Sinks$MulticastReplaySpec,ConnectableFlux,Sinks$Many,Sinks$EmitResult,MonoSink","queryhandling",""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz","org.quartz",20,137,4,"SchedulerException,TriggerBuilder,JobDetail,Scheduler,JobKey,JobBuilder,Trigger,SchedulerContext,JobDataMap,Job,JobExecutionException,JobExecutionContext","quartz",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.quartz","org.quartz",19,95,6,"Scheduler,JobDetail,Trigger,SchedulerContext,JobKey,TriggerBuilder,JobDataMap,SchedulerException,JobBuilder,JobExecutionException,Job,JobExecutionContext","quartz",""
"axon-messaging-4.9.3","org.axonframework.eventhandling","org.slf4j",16,57,100,"Logger,LoggerFactory","eventhandling",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled","org.slf4j",15,70,21,"LoggerFactory,Logger","pooled",""
"axon-messaging-4.9.3","org.axonframework.serialization.json","com.fasterxml.jackson.databind",15,73,7,"DeserializationContext,JsonDeserializer,JsonNode,ObjectMapper,DeserializationFeature,ObjectMapper$DefaultTyping,ObjectWriter,ObjectReader","json",""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","org.slf4j",12,22,22,"Logger,LoggerFactory","commandhandling",""
"axon-configuration-4.9.3","org.axonframework.config","org.slf4j",11,32,40,"Logger,LoggerFactory","config",""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","com.lmax.disruptor",9,29,22,"WaitStrategy,BlockingWaitStrategy,ExceptionHandler,RingBuffer,EventHandler,LifecycleAware","commandhandling",""
"axon-test-4.9.3","org.axonframework.test.saga","org.hamcrest",9,91,21,"Description,StringDescription,Matcher,CoreMatchers","saga",""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa","org.slf4j",8,15,10,"LoggerFactory,Logger","legacyjpa",""
"axon-messaging-4.9.3","org.axonframework.common.caching","javax.cache.event",8,34,15,"CacheEntryEvent,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryListener,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryUpdatedListener,CacheEntryListenerException","caching",""
"axon-messaging-4.9.3","org.axonframework.common.caching","org.ehcache.event",8,33,15,"EventOrdering,EventType,EventFiring,CacheEventListener,CacheEvent","caching",""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation","org.slf4j",8,15,54,"LoggerFactory,Logger","annotation",""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes","reactor.core.publisher",7,34,8,"Flux,Mono","responsetypes",""
"axon-messaging-4.9.3","org.axonframework.queryhandling","org.reactivestreams",7,27,48,"Publisher","queryhandling",""
