"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",249236,23.850152343331345,""
"MODIFIES",249236,23.850152343331345,""
"UPDATES",162500,15.550120190467442,""
"CREATES",59791,5.721582992666085,""
"DELETES",37236,3.563226310229204,""
"INVOKES",35732,3.4193039670509697,""
"COMMITTED",24454,2.3400777793088667,""
"DEPENDS_ON",21931,2.0986442209054856,""
"OF_TYPE",21394,2.047257054491449,""
"DECLARES",20704,1.981228851836541,""
"OF_RAW_TYPE",17093,1.6356812579425228,""
"HAS_PARENT",14859,1.421902990216343,""
"HAS",14125,1.351664293479093,""
"RETURNS",12578,1.2036271492658428,""
"HAS_COMMIT",12227,1.1700388896544334,""
"HAS_FILE",10703,1.0242026855296802,""
"RENAMES",10291,0.9847771500313873,""
"READS",9161,0.8766440065530599,""
"HAS_ACTUAL_TYPE_ARGUMENT",8288,0.7931039762375025,""
"HAS_NEW_NAME",6200,0.5932968934209115,""
"OF_GENERIC_TYPE",5906,0.5651631375070812,""
"RESOLVES_TO",5214,0.4989435487575215,""
"WRITES",3818,0.3653560546904904,""
"CONTAINS",3814,0.3649732825011866,""
"RETURNS_GENERIC",3545,0.3392318527705051,""
"ANNOTATED_BY",2810,0.2688974629859293,""
"REQUIRES",2174,0.20803668488662289,""
"HAS_FIRST_CHILD",2144,0.2051658934668443,""
"HAS_LAST_CHILD",2144,0.2051658934668443,""
"HAS_ELEMENT",2126,0.20344341861497714,""
"HAS_UPPER_BOUND",1523,0.14574051107742717,""
"EXTENDS",1498,0.1433481848942783,""
"HAS_TEXT",1436,0.1374152159600692,""
"HAS_SIBLING",1418,0.13569274110820204,""
"DECLARES_TYPE_PARAMETER",1075,0.1028700258754,""
"IMPLEMENTS",843,0.08066923889577879,""
"THROWS",664,0.06354018342443311,""
"HAS_KEY",560,0.05358810650253395,""
"HAS_VALUE",560,0.05358810650253395,""
"EXTENDS_GENERIC",508,0.04861206804158437,""
"HAS_LOWER_BOUND",435,0.041626475586789766,""
"IS",377,0.03607627884188446,""
"IMPLEMENTS_GENERIC",373,0.03569350665258065,""
"COPIES",328,0.031387319522912745,""
"HAS_AUTHOR",295,0.028229448961156277,""
"HAS_COMMITTER",250,0.023923261831488372,""
"HAS_TAG",169,0.01617212499808614,""
"ON_COMMIT",169,0.01617212499808614,""
"DECLARES_DEPENDENCY",163,0.01559796671413042,""
"TO_ARTIFACT",163,0.01559796671413042,""
"HAS_COMPONENT_TYPE",158,0.01511950147750065,""
"COPY_OF",126,0.01205732396307014,""
"CONTAINS_VALUE",121,0.011578858726440372,""
"DECLARES_NAMESPACE",36,0.0034449497037343257,""
"HAS_DEFAULT",36,0.0034449497037343257,""
"HAS_HEAD",31,0.002966484467104558,""
"HAS_BRANCH",30,0.002870791419778605,""
"REQUIRES_CONCEPT",28,0.002679405325126698,""
"HAS_CONFIGURATION",21,0.002009553993845023,""
"IS_ARTIFACT",21,0.002009553993845023,""
"REQUIRES_TYPE_PARAMETER",21,0.002009553993845023,""
"USES_PLUGIN",21,0.002009553993845023,""
"INCLUDES_CONCEPT",19,0.0018181678991931163,""
"HAS_ATTRIBUTE",18,0.0017224748518671628,""
"OF_NAMESPACE",18,0.0017224748518671628,""
"HAS_EXECUTION",16,0.0015310887572152559,""
"HAS_GOAL",16,0.0015310887572152559,""
"HAS_ROOT_ELEMENT",10,0.0009569304732595348,""
"DESCRIBES",9,0.0008612374259335814,""
"EXCLUDES",5,0.0004784652366297674,""
"THROWS_GENERIC",5,0.0004784652366297674,""
"HAS_PROPERTY",1,9.569304732595349e-05,""
