"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-configuration-4.10.3",1,""
"axon-eventsourcing-4.10.3",9,""
"axon-server-connector-4.10.3",11,""
"axon-spring-boot-autoconfigure-4.10.3",9,""
"axon-modelling-4.10.3",10,""
"axon-test-4.10.3",8,""
"axon-tracing-opentelemetry-4.10.3",1,""
"axon-disruptor-4.10.3",1,""
"axon-messaging-4.10.3",64,""
