"artifactName","topologicalSortIndex","buildLevel","maxBuildLevel","incomingDependencies","outgoingDependencies","Source Cypher File: Topological_Sort_Artifacts/4_Query_artifacts_in_topological_order.cypher"
"axon-configuration-4.8.0",0,0,4,0,4,""
"axon-test-4.8.0",1,0,4,0,3,""
"axon-disruptor-4.8.0",2,1,4,1,3,""
"axon-eventsourcing-4.8.0",3,2,4,3,2,""
"axon-modelling-4.8.0",4,3,4,4,1,""
"axon-messaging-4.8.0",5,4,4,5,0,""
