"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",60,296,325,1419,90,1154,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",49,109,193,541,90,1154,"LoggerFactory,Logger",""
"javax.persistence",13,24,78,340,90,1154,"TypedQuery,EntityManager,MappedSuperclass,Basic,Id,GeneratedValue,Lob,Column,Embeddable",""
"com.fasterxml.jackson.annotation",12,22,54,84,90,1154,"JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonProperty,JsonCreator,JsonTypeInfo$As,JsonIgnore",""
"jakarta.persistence",8,22,69,328,90,1154,"EntityManager,TypedQuery,Basic,MappedSuperclass,GeneratedValue,Id,Column,Lob,Query",""
"org.hamcrest",5,27,61,498,90,1154,"StringDescription,CoreMatchers,Description,Matcher,BaseMatcher,TypeSafeMatcher,Matchers",""
"com.thoughtworks.xstream.io",2,4,9,46,90,1154,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver",""
"org.quartz",2,9,37,226,90,1154,"JobBuilder,SchedulerException,JobKey,JobDetail,Scheduler,Trigger,TriggerBuilder,SchedulerContext,JobDataMap",""
"reactor.core.publisher",2,16,33,149,90,1154,"Mono,Flux,MonoSink,Sinks$EmitResult,Sinks$Many,Signal,FluxSink,FluxSink$OverflowStrategy,Sinks",""
"com.fasterxml.jackson.core",1,3,4,11,90,1154,"JsonParser,JacksonException,JsonProcessingException",""
"com.fasterxml.jackson.databind",1,7,15,73,90,1154,"JsonDeserializer,DeserializationContext,JsonNode,ObjectMapper,ObjectMapper$DefaultTyping,DeserializationFeature,ObjectWriter,ObjectReader",""
"com.fasterxml.jackson.databind.node",1,2,3,14,90,1154,"JsonNodeType,ObjectNode",""
"com.lmax.disruptor",1,7,9,29,90,1154,"EventHandler,RingBuffer,WaitStrategy,BlockingWaitStrategy,LifecycleAware,ExceptionHandler",""
"com.lmax.disruptor.dsl",1,4,5,22,90,1154,"Disruptor,ProducerType,EventHandlerGroup",""
"com.thoughtworks.xstream.converters",1,3,6,12,90,1154,"MarshallingContext,UnmarshallingContext",""
"com.thoughtworks.xstream.io.xml",1,2,4,13,90,1154,"CompactWriter,XppDriver,Dom4JReader,XomReader",""
"com.thoughtworks.xstream.mapper",1,4,5,10,90,1154,"Mapper,CannotResolveClassException",""
"jakarta.validation",1,2,5,22,90,1154,"ConstraintViolation,ValidatorFactory,Validation,Validator",""
"javax.cache.configuration",1,2,3,11,90,1154,"CacheEntryListenerConfiguration,Factory",""
"javax.cache.event",1,1,8,34,90,1154,"CacheEntryEventFilter,CacheEntryExpiredListener,CacheEntryListener,CacheEntryCreatedListener,CacheEntryListenerException,CacheEntryRemovedListener,CacheEntryEvent,CacheEntryUpdatedListener",""
"javax.validation",1,2,5,22,90,1154,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"net.sf.ehcache",1,2,5,63,90,1154,"Ehcache,Element,CacheException",""
"net.sf.ehcache.event",1,2,3,9,90,1154,"CacheEventListener,RegisteredEventListeners",""
"nu.xom",1,3,5,16,90,1154,"Document,ParsingException,Builder",""
"org.junit.jupiter.api.extension",1,1,3,6,90,1154,"ExtensionContext,AfterEachCallback,BeforeEachCallback",""
"org.testcontainers.utility",1,2,3,17,90,1154,"DockerImageName,MountableFile",""
