"artifactName","artifactPackages","artifactTypes","artifactExternalPackagesFirst2Levels","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageNameFirst2Levels","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_per_artifact_and_external_package.cypher"
"axon-configuration-4.7.6",1,39,2,1,100.0,"javax.annotation",1,12,100.0,30.769230769230774,"org.axonframework.config","org.axonframework.config.EventProcessingConfiguration,org.axonframework.config.DefaultConfigurer,org.axonframework.config.Component,org.axonframework.config.Configurer,org.axonframework.config.Configuration$1,org.axonframework.config.MessageHandlerRegistrar,org.axonframework.config.EventProcessingModule,org.axonframework.config.EventProcessingConfigurer,org.axonframework.config.DefaultConfigurer$ConfigurationImpl",""
"axon-configuration-4.7.6",1,39,2,1,100.0,"org.slf4j",1,5,100.0,12.820512820512821,"org.axonframework.config","org.axonframework.config.DefaultConfigurer,org.axonframework.config.Component,org.axonframework.config.LifecycleHandlerInspector,org.axonframework.config.MessageHandlerRegistrar,org.axonframework.config.DefaultConfigurer$ConfigurationImpl",""
"axon-disruptor-4.7.6",1,22,4,1,100.0,"WeakValue",1,1,100.0,4.545454545454546,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.FirstLevelCache",""
"axon-disruptor-4.7.6",1,22,4,1,100.0,"com.lmax",1,7,100.0,31.81818181818182,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback",""
"axon-disruptor-4.7.6",1,22,4,1,100.0,"javax.annotation",1,6,100.0,27.272727272727273,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback",""
"axon-disruptor-4.7.6",1,22,4,1,100.0,"org.slf4j",1,8,100.0,36.36363636363637,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback",""
"axon-test-4.7.6",8,85,6,7,87.5,"org.hamcrest",5,27,62.5,31.764705882352942,"org.axonframework.test.aggregate,org.axonframework.test.matchers,org.axonframework.test.saga,org.axonframework.test.deadline,org.axonframework.test.eventscheduler","org.axonframework.test.aggregate.ResultValidatorImpl,org.axonframework.test.aggregate.ResultValidator,org.axonframework.test.aggregate.Reporter,org.axonframework.test.matchers.ExactSequenceMatcher,org.axonframework.test.matchers.ListMatcher,org.axonframework.test.matchers.EmptyCollectionMatcher,org.axonframework.test.matchers.PredicateMatcher,org.axonframework.test.matchers.ListWithAnyOfMatcher,org.axonframework.test.matchers.NullOrVoidMatcher",""
"axon-test-4.7.6",8,85,6,7,87.5,"javax.annotation",4,10,50.0,11.764705882352942,"org.axonframework.test.aggregate,org.axonframework.test.saga,org.axonframework.test.utils,org.axonframework.test.deadline","org.axonframework.test.aggregate.AggregateTestFixture$ExecutionExceptionAwareCallback,org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository,org.axonframework.test.aggregate.ResultValidatorImpl,org.axonframework.test.aggregate.AggregateTestFixture$DefaultRepositoryProvider,org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository,org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore,org.axonframework.test.aggregate.AggregateTestFixture$IdentifierValidatingRepository,org.axonframework.test.saga.RecordingListenerInvocationErrorHandler,org.axonframework.test.utils.RecordingCommandBus",""
"axon-test-4.7.6",8,85,6,7,87.5,"org.junit",2,4,25.0,4.705882352941177,"org.axonframework.test.aggregate,org.axonframework.test.saga","org.axonframework.test.aggregate.StubAggregateLifecycleRule$1,org.axonframework.test.aggregate.StubAggregateLifecycleExtension,org.axonframework.test.aggregate.StubAggregateLifecycleRule,org.axonframework.test.saga.FixtureExecutionResultImpl",""
"axon-test-4.7.6",8,85,6,7,87.5,"org.slf4j",2,2,25.0,2.3529411764705883,"org.axonframework.test.aggregate,org.axonframework.test.matchers","org.axonframework.test.aggregate.AggregateTestFixture,org.axonframework.test.matchers.DeepEqualsMatcher",""
"axon-test-4.7.6",8,85,6,7,87.5,"AggregateEventPublisherImpl",1,1,12.5,1.1764705882352942,"org.axonframework.test.saga","org.axonframework.test.saga.SagaTestFixture",""
"axon-test-4.7.6",8,85,6,7,87.5,"org.testcontainers",1,2,12.5,2.3529411764705883,"org.axonframework.test.server","org.axonframework.test.server.AxonServerEEContainer,org.axonframework.test.server.AxonServerSEContainer",""
"axon-messaging-4.7.6",61,729,17,49,80.33,"javax.annotation",44,208,72.1311475409836,28.53223593964335,"org.axonframework.commandhandling.callbacks,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.commandhandling.gateway,org.axonframework.common,org.axonframework.common.property,org.axonframework.deadline,org.axonframework.deadline.annotation,org.axonframework.deadline.quartz,org.axonframework.deadline.jobrunr,org.axonframework.eventhandling,org.axonframework.eventhandling.async,org.axonframework.eventhandling.deadletter,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.eventhandling.gateway,org.axonframework.eventhandling.interceptors,org.axonframework.eventhandling.pooled,org.axonframework.eventhandling.replay,org.axonframework.eventhandling.scheduling.java,org.axonframework.eventhandling.scheduling.jobrunr,org.axonframework.eventhandling.scheduling.quartz,org.axonframework.eventhandling.tokenstore,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.eventhandling.tokenstore.jdbc,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.eventhandling.tokenstore.legacyjpa,org.axonframework.lifecycle,org.axonframework.messaging,org.axonframework.messaging.annotation,org.axonframework.messaging.deadletter,org.axonframework.messaging.interceptors,org.axonframework.messaging.interceptors.legacyvalidation,org.axonframework.messaging.responsetypes,org.axonframework.messaging.unitofwork,org.axonframework.monitoring,org.axonframework.queryhandling,org.axonframework.queryhandling.annotation,org.axonframework.serialization,org.axonframework.serialization.json,org.axonframework.serialization.xml,org.axonframework.tracing,org.axonframework.tracing.attributes,org.axonframework.commandhandling","org.axonframework.commandhandling.callbacks.LoggingCallback,org.axonframework.commandhandling.callbacks.FutureCallback,org.axonframework.commandhandling.callbacks.NoOpCallback,org.axonframework.commandhandling.callbacks.FailureLoggingCallback,org.axonframework.commandhandling.distributed.CommandBusConnector,org.axonframework.commandhandling.distributed.UnresolvedRoutingKeyPolicy,org.axonframework.commandhandling.distributed.CommandCallbackWrapper,org.axonframework.commandhandling.distributed.AbstractRoutingStrategy,org.axonframework.commandhandling.distributed.MetaDataRoutingStrategy",""
"axon-messaging-4.7.6",61,729,17,49,80.33,"org.slf4j",34,71,55.73770491803279,9.739368998628258,"org.axonframework.commandhandling.callbacks,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.gateway,org.axonframework.common,org.axonframework.common.property,org.axonframework.deadline,org.axonframework.deadline.quartz,org.axonframework.deadline.jobrunr,org.axonframework.eventhandling,org.axonframework.eventhandling.async,org.axonframework.eventhandling.deadletter,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.eventhandling.interceptors,org.axonframework.eventhandling.pooled,org.axonframework.eventhandling.scheduling.java,org.axonframework.eventhandling.scheduling.jobrunr,org.axonframework.eventhandling.scheduling.quartz,org.axonframework.eventhandling.tokenstore.jdbc,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.eventhandling.tokenstore.legacyjpa,org.axonframework.lifecycle,org.axonframework.messaging,org.axonframework.messaging.annotation,org.axonframework.messaging.deadletter,org.axonframework.messaging.interceptors,org.axonframework.messaging.responsetypes,org.axonframework.messaging.unitofwork,org.axonframework.queryhandling,org.axonframework.queryhandling.registration,org.axonframework.serialization,org.axonframework.serialization.xml,org.axonframework.tracing,org.axonframework.commandhandling","org.axonframework.commandhandling.callbacks.LoggingCallback,org.axonframework.commandhandling.callbacks.FailureLoggingCallback,org.axonframework.commandhandling.distributed.DistributedCommandBus,org.axonframework.commandhandling.gateway.DefaultCommandGateway,org.axonframework.commandhandling.gateway.AbstractRetryScheduler,org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.common.TypeReflectionUtils,org.axonframework.common.IdentifierFactory,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy",""
"axon-messaging-4.7.6",61,729,17,49,80.33,"com.fasterxml",11,27,18.0327868852459,3.7037037037037037,"org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.eventhandling,org.axonframework.eventhandling.scheduling,org.axonframework.eventhandling.scheduling.java,org.axonframework.eventhandling.scheduling.jobrunr,org.axonframework.eventhandling.scheduling.quartz,org.axonframework.eventhandling.tokenstore,org.axonframework.messaging,org.axonframework.messaging.responsetypes,org.axonframework.serialization.json","org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter,org.axonframework.eventhandling.MultiSourceTrackingToken,org.axonframework.eventhandling.GlobalSequenceTrackingToken,org.axonframework.eventhandling.ReplayToken",""
"axon-messaging-4.7.6",61,729,17,49,80.33,"javax.persistence",7,14,11.475409836065573,1.9204389574759946,"org.axonframework.common.legacyjpa,org.axonframework.eventhandling,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.eventhandling.tokenstore,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.eventhandling.tokenstore.legacyjpa","org.axonframework.common.legacyjpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.common.legacyjpa.PagingJpaQueryIterable,org.axonframework.common.legacyjpa.SimpleEntityManagerProvider,org.axonframework.common.legacyjpa.EntityManagerProvider,org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry",""
"axon-messaging-4.7.6",61,729,17,49,80.33,"jakarta.persistence",4,13,6.557377049180328,1.7832647462277094,"org.axonframework.common.jpa,org.axonframework.eventhandling,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.eventhandling.tokenstore.jpa","org.axonframework.common.jpa.SimpleEntityManagerProvider,org.axonframework.common.jpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.common.jpa.EntityManagerProvider,org.axonframework.common.jpa.PagingJpaQueryIterable,org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry",""
