"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",60,296,325,1419,90,1154,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",49,109,193,541,90,1154,"LoggerFactory,Logger",""
"com.fasterxml",13,29,82,193,90,1154,"JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonProperty,JsonCreator,JsonTypeInfo$As,JsonIgnore,TypeDeserializer,JsonParser",""
"javax.persistence",13,24,78,340,90,1154,"TypedQuery,EntityManager,MappedSuperclass,Basic,Id,GeneratedValue,Lob,Column,Embeddable",""
"jakarta.persistence",8,22,69,328,90,1154,"EntityManager,TypedQuery,Basic,MappedSuperclass,GeneratedValue,Id,Column,Lob,Query",""
"org.hamcrest",5,27,61,498,90,1154,"StringDescription,CoreMatchers,Description,Matcher,BaseMatcher,TypeSafeMatcher,Matchers",""
"com.thoughtworks",2,8,31,135,90,1154,"Mapper,HierarchicalStreamReader,MarshallingContext,UnmarshallingContext,MapConverter,HierarchicalStreamWriter,CollectionConverter,XStream,CannotResolveClassException",""
"org.junit",2,4,8,18,90,1154,"Statement,ExtensionContext,AfterEachCallback,BeforeEachCallback,Description,TestRule,Assertions",""
"org.quartz",2,9,38,228,90,1154,"JobBuilder,SchedulerException,JobKey,JobDetail,Scheduler,Trigger,TriggerBuilder,SchedulerContext,GroupMatcher",""
"reactor.core",2,16,34,151,90,1154,"Mono,Flux,MonoSink,Sinks$EmitResult,Sinks$Many,Signal,Disposable,FluxSink,FluxSink$OverflowStrategy",""
"com.lmax",1,7,14,51,90,1154,"EventHandler,RingBuffer,Disruptor,WaitStrategy,BlockingWaitStrategy,ProducerType,LifecycleAware,EventHandlerGroup,ExceptionHandler",""
"jakarta.validation",1,2,5,22,90,1154,"ConstraintViolation,ValidatorFactory,Validation,Validator",""
"javax.cache",1,2,12,59,90,1154,"CacheEntryEventFilter,CacheEntryExpiredListener,CacheEntryListenerConfiguration,CacheEntryListener,CacheEntryCreatedListener,CacheEntryListenerException,CacheEntryRemovedListener,CacheEntryEvent,CacheEntryUpdatedListener",""
"javax.validation",1,2,5,22,90,1154,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"net.sf",1,2,8,72,90,1154,"Ehcache,CacheEventListener,RegisteredEventListeners,Element,CacheException",""
"nu.xom",1,3,5,16,90,1154,"Document,ParsingException,Builder",""
"org.dom4j",1,3,4,15,90,1154,"STAXEventReader,Document",""
"org.testcontainers",1,2,7,27,90,1154,"DockerImageName,MountableFile,Wait,GenericContainer",""
