"artifactName","dependencyTypeIsInterface","artifactDependencies","artifactDependencyPackages","dependentPackagesRate","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: Artifact_Dependencies/Usage_and_spread_of_internal_artifact_dependents.cypher"
"axon-eventsourcing-4.10.0",false,2,14,72.22222222222221,44.44444444444444,100,72.22222222222223,39.2837100659193,44.44444444444444,4,9,6.5,3.5355339059327378,4,9.022556390977442,33.08270676691729,21.052631578947366,17.013095487195127,9.022556390977442,""
"axon-eventsourcing-4.10.0",true,1,17,100,100,100,100,0,100,9,9,9,0,9,56.39097744360902,56.39097744360902,56.39097744360902,0,56.39097744360902,""
"axon-modelling-4.10.0",true,1,15,90,90,90,90,0,90,9,9,9,0,9,57.05128205128206,57.05128205128206,57.05128205128206,0,57.05128205128206,""
"axon-modelling-4.10.0",false,1,14,90,90,90,90,0,90,9,9,9,0,9,50.64102564102564,50.64102564102564,50.64102564102564,0,50.64102564102564,""
"axon-server-connector-4.10.0",false,3,23,33.333333333333336,18.181818181818183,63.63636363636364,33.33333333333333,26.243194054073896,18.181818181818183,2,7,3.6666666666666665,2.8867513459481287,2,2.290076335877863,35.11450381679389,13.740458015267176,18.5262001519261,3.816793893129771,""
"axon-server-connector-4.10.0",true,2,20,54.54545454545455,36.36363636363637,72.72727272727273,54.54545454545455,25.712973861329,36.36363636363637,4,8,6,2.8284271247461903,4,7.633587786259542,45.80152671755725,26.717557251908396,26.98880844223464,7.633587786259542,""
"axon-spring-boot-autoconfigure-4.10.0",false,5,45,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,0,22.22222222222222,2,2,2,0,2,5.405405405405405,14.864864864864865,9.45945945945946,3.4452834551302596,9.45945945945946,""
"axon-spring-boot-autoconfigure-4.10.0",true,4,29,33.33333333333333,22.22222222222222,55.55555555555556,33.333333333333336,15.713484026367723,22.22222222222222,2,5,3,1.4142135623730951,2,6.756756756756756,24.324324324324323,14.527027027027026,8.502065805485078,8.108108108108109,""
"axon-test-4.10.0",true,2,13,56.25,25,87.5,56.25,44.19417382415922,25,2,7,4.5,3.5355339059327378,2,13.793103448275861,40.229885057471265,27.01149425287356,18.69362754860988,13.793103448275861,""
"axon-test-4.10.0",false,2,13,68.75,37.5,100,68.75,44.19417382415922,37.5,3,8,5.5,3.5355339059327378,3,12.643678160919539,33.33333333333333,22.988505747126432,14.629795472825121,12.643678160919539,""
