"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.8.3","javax.annotation",12,104,39,"Nonnull",""
"axon-configuration-4.8.3","org.slf4j",9,28,39,"Logger,LoggerFactory",""
"axon-disruptor-4.8.3","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.8.3","com.lmax.disruptor",9,29,22,"RingBuffer,BlockingWaitStrategy,WaitStrategy,ExceptionHandler,LifecycleAware,EventHandler",""
"axon-disruptor-4.8.3","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.8.3","com.lmax.disruptor.dsl",5,22,22,"Disruptor,ProducerType,EventHandlerGroup",""
"axon-disruptor-4.8.3","WeakValue",1,5,22,"WeakValue",""
"axon-eventsourcing-4.8.3","javax.annotation",29,94,130,"PreDestroy,Nonnull,Nullable",""
"axon-eventsourcing-4.8.3","org.slf4j",23,43,130,"Logger,LoggerFactory",""
"axon-eventsourcing-4.8.3","jakarta.persistence",11,50,130,"EntityExistsException,Query,TypedQuery,EntityManager,MappedSuperclass,IdClass,Id,Entity,Table,Index",""
"axon-eventsourcing-4.8.3","javax.persistence",11,50,130,"EntityExistsException,EntityManager,Query,TypedQuery,MappedSuperclass,Id,IdClass,Entity,Index,Table",""
"axon-messaging-4.8.3","javax.annotation",245,1160,762,"Nonnull,Nullable",""
"axon-messaging-4.8.3","org.slf4j",136,425,762,"LoggerFactory,Logger",""
"axon-messaging-4.8.3","com.fasterxml.jackson.annotation",53,81,762,"JsonTypeInfo,JsonCreator,JsonTypeInfo$Id,JsonProperty,JsonGetter,JsonTypeInfo$As,JsonIgnore",""
"axon-messaging-4.8.3","javax.persistence",44,194,762,"Basic,Table,Index,Column,Lob,Embedded,Id,Entity,TypedQuery,LockModeType,EntityManager,IdClass,MappedSuperclass,Query,GeneratedValue,Embeddable,NoResultException",""
"axon-messaging-4.8.3","jakarta.persistence",40,188,762,"Basic,Index,Column,Entity,Table,Id,Embedded,Lob,EntityManager,IdClass,TypedQuery,NoResultException,Query,MappedSuperclass,LockModeType,GeneratedValue,Embeddable",""
"axon-messaging-4.8.3","org.quartz",37,226,762,"JobDataMap,Scheduler,JobExecutionContext,Job,JobDetail,JobExecutionException,SchedulerContext,TriggerBuilder,JobKey,SchedulerException,JobBuilder,Trigger",""
"axon-messaging-4.8.3","reactor.core.publisher",35,157,762,"Mono,Flux,Sinks$EmitResult,Sinks$Many,MonoSink,EmitterProcessor,Sinks$ManySpec,FluxSink$OverflowStrategy,Sinks$MulticastReplaySpec,Sinks,FluxSink,ConnectableFlux,Signal",""
"axon-messaging-4.8.3","com.fasterxml.jackson.databind",15,73,762,"DeserializationContext,JsonDeserializer,JsonNode,ObjectMapper,ObjectReader,ObjectWriter,ObjectMapper$DefaultTyping,DeserializationFeature",""
"axon-messaging-4.8.3","org.reactivestreams",13,41,762,"Publisher",""
"axon-messaging-4.8.3","com.github.kagkarlsson.scheduler.task",10,50,762,"TaskInstance,Task,TaskWithDataDescriptor,ExecutionContext,TaskInstanceId",""
"axon-messaging-4.8.3","com.thoughtworks.xstream.io",9,46,762,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver",""
"axon-messaging-4.8.3","javax.cache.event",8,34,762,"CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryEvent,CacheEntryListener,CacheEntryListenerException,CacheEntryCreatedListener",""
"axon-messaging-4.8.3","org.ehcache.event",8,33,762,"EventType,CacheEventListener,CacheEvent,EventOrdering,EventFiring",""
"axon-messaging-4.8.3","com.github.kagkarlsson.scheduler",7,54,762,"SchedulerState,Scheduler,ScheduledExecution",""
"axon-messaging-4.8.3","com.thoughtworks.xstream.converters",6,12,762,"UnmarshallingContext,MarshallingContext",""
"axon-messaging-4.8.3","org.jobrunr.scheduling",6,37,762,"JobScheduler,JobBuilder",""
"axon-messaging-4.8.3","com.thoughtworks.xstream.mapper",5,10,762,"Mapper,CannotResolveClassException",""
"axon-messaging-4.8.3","jakarta.validation",5,22,762,"ConstraintViolation,Validator,Validation,ValidatorFactory",""
"axon-messaging-4.8.3","javax.validation",5,22,762,"ConstraintViolation,Validation,Validator,ValidatorFactory",""
"axon-messaging-4.8.3","net.sf.ehcache",5,63,762,"Ehcache,Element,CacheException",""
"axon-messaging-4.8.3","nu.xom",5,16,762,"ParsingException,Builder,Document",""
"axon-messaging-4.8.3","com.fasterxml.jackson.core",4,11,762,"JacksonException,JsonParser,JsonProcessingException",""
"axon-messaging-4.8.3","com.thoughtworks.xstream",4,47,762,"XStream",""
"axon-messaging-4.8.3","com.thoughtworks.xstream.io.xml",4,13,762,"CompactWriter,XppDriver,XomReader,Dom4JReader",""
"axon-messaging-4.8.3","com.fasterxml.jackson.databind.node",3,14,762,"ObjectNode,JsonNodeType",""
"axon-messaging-4.8.3","com.fasterxml.jackson.databind.type",3,3,762,"TypeFactory",""
"axon-messaging-4.8.3","com.thoughtworks.xstream.converters.collections",3,7,762,"CollectionConverter,MapConverter",""
"axon-messaging-4.8.3","javax.cache.configuration",3,11,762,"Factory,CacheEntryListenerConfiguration",""
"axon-messaging-4.8.3","net.sf.ehcache.event",3,9,762,"CacheEventListener,RegisteredEventListeners",""
"axon-messaging-4.8.3","org.dom4j",3,12,762,"Document",""
"axon-messaging-4.8.3","com.github.kagkarlsson.scheduler.task.helper",2,14,762,"Tasks$OneTimeTaskBuilder",""
"axon-messaging-4.8.3","org.jobrunr.jobs",2,2,762,"JobId",""
"axon-messaging-4.8.3","reactor.util.concurrent",2,3,762,"Queues",""
"axon-messaging-4.8.3","reactor.util.context",2,7,762,"Context,ContextView",""
"axon-messaging-4.8.3","com.fasterxml.jackson.databind.jsontype",1,3,762,"TypeDeserializer",""
"axon-messaging-4.8.3","com.fasterxml.jackson.databind.module",1,3,762,"SimpleModule",""
"axon-messaging-4.8.3","com.fasterxml.jackson.datatype.jsr310",1,2,762,"JavaTimeModule",""
"axon-messaging-4.8.3","javax.cache",1,14,762,"Cache",""
"axon-messaging-4.8.3","org.dom4j.io",1,3,762,"STAXEventReader",""
"axon-messaging-4.8.3","org.ehcache.config",1,2,762,"CacheRuntimeConfiguration",""
"axon-messaging-4.8.3","org.ehcache.core",1,14,762,"Ehcache",""
"axon-messaging-4.8.3","org.quartz.impl.matchers",1,2,762,"GroupMatcher",""
"axon-messaging-4.8.3","reactor.core",1,2,762,"Disposable",""
"axon-modelling-4.8.3","javax.annotation",37,132,150,"Nonnull,Nullable",""
"axon-modelling-4.8.3","javax.persistence",23,96,150,"LockModeType,EntityManager,EntityNotFoundException,EntityManagerFactory,TypedQuery,Query,Basic,Column,Lob,Entity,Id,Table,GeneratedValue,Index,MappedSuperclass",""
"axon-modelling-4.8.3","jakarta.persistence",18,90,150,"EntityManager,LockModeType,EntityManagerFactory,Query,EntityNotFoundException,TypedQuery,Entity,Basic,Column,Lob,Id,Table,GeneratedValue,Index",""
"axon-modelling-4.8.3","org.slf4j",17,58,150,"Logger,LoggerFactory",""
"axon-modelling-4.8.3","com.fasterxml.jackson.annotation",4,6,150,"JsonCreator,JsonProperty",""
"axon-test-4.8.3","org.hamcrest",61,498,87,"Matcher,TypeSafeMatcher,Description,StringDescription,CoreMatchers,BaseMatcher,Matchers",""
"axon-test-4.8.3","javax.annotation",10,52,87,"Nonnull",""
"axon-test-4.8.3","org.testcontainers.utility",5,27,87,"MountableFile,DockerImageName",""
"axon-test-4.8.3","com.google.gson",4,9,87,"JsonParser,JsonArray,JsonObject,JsonElement",""
"axon-test-4.8.3","org.slf4j",4,13,87,"LoggerFactory,Logger",""
"axon-test-4.8.3","org.testcontainers.containers",4,15,87,"GenericContainer,ContainerLaunchException",""
"axon-test-4.8.3","org.testcontainers.containers.wait.strategy",4,5,87,"Wait,HttpWaitStrategy",""
"axon-test-4.8.3","org.junit.jupiter.api.extension",3,6,87,"ExtensionContext,BeforeEachCallback,AfterEachCallback",""
"axon-test-4.8.3","org.junit.runners.model",2,8,87,"Statement",""
"axon-test-4.8.3","AggregateEventPublisherImpl",1,2,87,"AggregateEventPublisherImpl",""
"axon-test-4.8.3","org.junit.jupiter.api",1,1,87,"Assertions",""
"axon-test-4.8.3","org.junit.rules",1,1,87,"TestRule",""
"axon-test-4.8.3","org.junit.runner",1,2,87,"Description",""
