"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",6,53,1,38,3.5,8.833333333333332,14.441837371562757,25.0,100.0,59.6875,66.6550925925926,28.911596866737984,113,2,75,8.5,18.833333333333336,27.80947080882099,2.2988505747126435,36.36363636363637,10.30587522713507,13.015791702188661,12.036202356518624,"axon-configuration-4.8.3,axon-test-4.8.3,axon-messaging-4.8.3,axon-modelling-4.8.3",""
"jakarta.persistence",3,6,1,3,2,2.0,1.0,4.6875,20.0,11.11111111111111,11.93287037037037,7.689254207830155,14,3,8,3,4.666666666666667,2.886751345948129,1.0498687664041995,2.307692307692308,2.0,1.7858536913655025,0.6556858976529657,"axon-messaging-4.8.3,axon-modelling-4.8.3,axon-eventsourcing-4.8.3",""
"javax.persistence",3,9,2,4,3,3.0,1.0,6.25,30.0,22.22222222222222,19.49074074074074,12.108318145504652,14,3,8,3,4.666666666666667,2.886751345948129,1.0498687664041995,2.307692307692308,2.0,1.7858536913655025,0.6556858976529657,"axon-messaging-4.8.3,axon-modelling-4.8.3,axon-eventsourcing-4.8.3",""
"AggregateEventPublisherImpl",1,1,1,1,1,1.0,0.0,12.5,12.5,12.5,12.5,0.0,1,1,1,1,1.0,0.0,1.1494252873563218,1.1494252873563218,1.1494252873563218,1.1494252873563218,0.0,"axon-test-4.8.3",""
"WeakValue",1,1,1,1,1,1.0,0.0,100.0,100.0,100.0,100.0,0.0,1,1,1,1,1.0,0.0,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,0.0,"axon-disruptor-4.8.3",""
"com.fasterxml",1,4,4,4,4,4.0,0.0,6.25,6.25,6.25,6.25,0.0,12,12,12,12,12.0,0.0,1.574803149606299,1.574803149606299,1.574803149606299,1.574803149606299,0.0,"axon-messaging-4.8.3",""
"com.github",1,2,2,2,2,2.0,0.0,3.125,3.125,3.125,3.125,0.0,6,6,6,6,6.0,0.0,0.7874015748031495,0.7874015748031495,0.7874015748031495,0.7874015748031495,0.0,"axon-messaging-4.8.3",""
"com.google",1,1,1,1,1,1.0,0.0,12.5,12.5,12.5,12.5,0.0,1,1,1,1,1.0,0.0,1.1494252873563218,1.1494252873563218,1.1494252873563218,1.1494252873563218,0.0,"axon-test-4.8.3",""
"com.lmax",1,1,1,1,1,1.0,0.0,100.0,100.0,100.0,100.0,0.0,7,7,7,7,7.0,0.0,31.81818181818182,31.81818181818182,31.81818181818182,31.81818181818182,0.0,"axon-disruptor-4.8.3",""
"com.thoughtworks",1,2,2,2,2,2.0,0.0,3.125,3.125,3.125,3.125,0.0,8,8,8,8,8.0,0.0,1.0498687664041995,1.0498687664041995,1.0498687664041995,1.0498687664041995,0.0,"axon-messaging-4.8.3",""
