"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",63,307,339,1565,93,1190,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",53,113,201,589,93,1190,"Logger,LoggerFactory",""
"com.fasterxml",14,30,85,196,93,1190,"JsonTypeInfo$Id,JsonTypeInfo,JsonProperty,JsonGetter,JsonTypeInfo$As,JsonCreator,JsonIgnore,JsonNodeType,JsonNode",""
"javax.persistence",13,24,78,340,93,1190,"EntityManager,TypedQuery,MappedSuperclass,Id,GeneratedValue,Basic,Lob,Column,Table",""
"jakarta.persistence",8,22,69,328,93,1190,"TypedQuery,EntityManager,Id,GeneratedValue,MappedSuperclass,Basic,Column,Lob,Index",""
"org.hamcrest",5,27,61,498,93,1190,"Description,StringDescription,Matcher,CoreMatchers,TypeSafeMatcher,BaseMatcher,Matchers",""
"com.github",2,6,19,118,93,1190,"Scheduler,Tasks$OneTimeTaskBuilder,TaskWithDataDescriptor,TaskInstance,SchedulerState,ExecutionContext,ScheduledExecution,Task,TaskInstanceId",""
"com.thoughtworks",2,8,31,135,93,1190,"XStream,Mapper,CannotResolveClassException,HierarchicalStreamReader,HierarchicalStreamWriter,MarshallingContext,UnmarshallingContext,CollectionConverter,MapConverter",""
"org.jobrunr",2,4,8,39,93,1190,"JobBuilder,JobScheduler,JobId",""
"org.junit",2,4,8,18,93,1190,"TestRule,Description,Statement,ExtensionContext,BeforeEachCallback,AfterEachCallback,Assertions",""
"org.quartz",2,9,38,228,93,1190,"JobExecutionContext,SchedulerContext,Scheduler,JobExecutionException,JobDetail,JobDataMap,Job,TriggerBuilder,GroupMatcher",""
"reactor.core",2,18,36,159,93,1190,"Mono,Flux,Signal,FluxSink$OverflowStrategy,Sinks$EmitResult,Sinks$Many,Disposable,FluxSink,EmitterProcessor",""
"com.google",1,1,4,9,93,1190,"JsonParser,JsonArray,JsonObject,JsonElement",""
"com.lmax",1,7,14,51,93,1190,"Disruptor,ExceptionHandler,RingBuffer,LifecycleAware,EventHandler,BlockingWaitStrategy,ProducerType,WaitStrategy,EventHandlerGroup",""
"jakarta.validation",1,2,5,22,93,1190,"ConstraintViolation,Validator,Validation,ValidatorFactory",""
"javax.cache",1,2,12,59,93,1190,"CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryUpdatedListener,Factory,CacheEntryExpiredListener,CacheEntryEvent,CacheEntryListener,CacheEntryListenerException,CacheEntryListenerConfiguration",""
"javax.validation",1,2,5,22,93,1190,"ConstraintViolation,Validation,Validator,ValidatorFactory",""
"net.sf",1,2,8,72,93,1190,"CacheEventListener,Element,Ehcache,CacheException,RegisteredEventListeners",""
"nu.xom",1,3,5,16,93,1190,"ParsingException,Builder,Document",""
"org.dom4j",1,3,4,15,93,1190,"Document,STAXEventReader",""
"org.ehcache",1,3,10,49,93,1190,"EventOrdering,EventType,CacheRuntimeConfiguration,CacheEventListener,Ehcache,EventFiring,CacheEvent",""
"org.testcontainers",1,3,13,47,93,1190,"Wait,DockerImageName,GenericContainer,MountableFile,ContainerLaunchException,HttpWaitStrategy",""
