"fullQualifiedDependentTypeName","dependentTypeName","dependentTypeLabels","numberOfUsingPackages","Source Cypher File: Internal_Dependencies/List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.common.BuilderUtils","BuilderUtils","Type,File,Java,Class,ByteCode,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity33,TypeLouvainCommunity11,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity18",44,""
"org.axonframework.messaging.Message","Message","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity3,TypeLouvainCommunity2,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity4",39,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","Type,File,Java,Class,ByteCode,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity27,TypeLouvainCommunity4,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity18",37,""
"org.axonframework.messaging.MetaData","MetaData","Type,File,Java,Class,ByteCode,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity19,TypeLouvainCommunity2,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity55",33,""
"org.axonframework.eventhandling.EventMessage","EventMessage","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity12,TypeLouvainCommunity8,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity28",32,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity29,TypeLouvainCommunity8,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity28",31,""
"org.axonframework.serialization.Serializer","Serializer","Type,File,Java,ByteCode,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity24,TypeLouvainCommunity9,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity18",29,""
"org.axonframework.common.Assert","Assert","Type,File,Java,Class,ByteCode,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity13,TypeLouvainCommunity6,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity18",27,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager","Type,File,Java,ByteCode,Interface,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity36,TypeLouvainCommunity10,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity18",27,""
"org.axonframework.serialization.SerializedObject","SerializedObject","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity24,TypeLouvainCommunity9,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity63",25,""
"org.axonframework.serialization.SerializedType","SerializedType","Type,File,Java,ByteCode,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity19,TypeLouvainCommunity9,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity63",24,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork","CurrentUnitOfWork","Type,File,Java,Class,ByteCode,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TypeLeidenCommunity29,TypeLouvainCommunity8,TypeWeaklyConnectedComponent0,TypeLabelPropagationCommunity28",21,""
