"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.016657863723877373,0.11384150838286275,37,560,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.016657863723877373,0.13460062557791544,10,214,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.016657863723877373,0.1361060140487513,5,209,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.016657863723877373,0.07683367257234966,19,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.016657863723877373,0.0665838031385712,20,118,""
"org.axonframework.serialization.json","json",0.016657863723877373,0.06979376371565496,9,87,""
"org.axonframework.springboot.service.connection","connection",0.016657863723877373,2.0991311739123337e-50,5,6,""
"org.axonframework.springboot.util.jpa","jpa",0.016657863723877373,0.003920308295892683,1,1,""
"org.axonframework.tracing.attributes","attributes",0.016657863723877373,0.06964643852276085,6,43,""
"org.axonframework.tracing.opentelemetry","opentelemetry",0.016657863723877373,0.06555719401709122,7,37,""
"org.axonframework.common.digest","digest",0.014624925798868324,0.029937804439147325,2,1,""
"org.axonframework.axonserver.connector.processor","processor",0.011382564400900864,0.058379755447107086,4,109,""
"org.axonframework.eventhandling.scheduling.java","java",0.011382564400900864,0.11881264131745399,6,76,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.0103185891088982,0.12223289718625056,15,99,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.010182626945443954,0.034376088915718396,15,67,""
"org.axonframework.eventhandling.replay","replay",0.009654225250851871,0.05857608699766094,12,72,""
"org.axonframework.test.eventscheduler","eventscheduler",0.007958266000924436,0.05657770033577382,9,38,""
"org.axonframework.test.utils","utils",0.007958266000924436,0.06653627769023544,8,70,""
"org.axonframework.queryhandling.registration","registration",0.007081451514073888,0.05944745901945178,9,13,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.006854243893943372,0.010638826440690521,12,34,""
