"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.eventhandling.scheduling.java","java","centralityPageRank",0.01275716685780161,""
"org.axonframework.test.utils","utils","centralityPageRank",0.0127103810432994,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory","centralityPageRank",0.01269099985829647,""
"org.axonframework.eventhandling.gateway","gateway","centralityPageRank",0.012654168683287791,""
"org.axonframework.queryhandling.registration","registration","centralityPageRank",0.012652531439942074,""
"org.axonframework.deadline.jobrunr","jobrunr","centralityPageRank",0.012649538473613131,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution","centralityPageRank",0.012619653188823021,""
"org.axonframework.disruptor.commandhandling","commandhandling","centralityPageRank",0.012594093933281827,""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","centralityPageRank",0.01257634760106387,""
"org.axonframework.common.digest","digest","centralityPageRank",0.01250588361453866,""
"org.axonframework.axonserver.connector.processor","processor","centralityPageRank",0.01248464657422142,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc","centralityPageRank",0.012452425290665094,""
"org.axonframework.deadline.dbscheduler","dbscheduler","centralityPageRank",0.0124374066031636,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc","centralityPageRank",0.012422387915662112,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler","centralityPageRank",0.012422387915662112,""
"org.axonframework.queryhandling.annotation","annotation","centralityPageRank",0.012403110111961532,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc","centralityPageRank",0.012392350540659128,""
"org.axonframework.tracing.attributes","attributes","centralityPageRank",0.012392350540659128,""
"org.axonframework.serialization.json","json","centralityPageRank",0.012377331853157638,""
"org.axonframework.actuator.axonserver","axonserver","centralityPageRank",0.012317257103151675,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr","centralityPageRank",0.012317257103151675,""
"org.axonframework.tracing.opentelemetry","opentelemetry","centralityPageRank",0.01225718235314571,""
"org.axonframework.springboot.util.jpa","jpa","centralityPageRank",0.012242163665644219,""
"org.axonframework.springboot.service.connection","connection","centralityPageRank",0.012227144978142727,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker","checker","centralityPageRank",0.012212126290641237,""
"org.axonframework.axonserver.connector.heartbeat.source","source","centralityPageRank",0.012212126290641237,""
"org.axonframework.deadline.annotation","annotation","centralityPageRank",0.012212126290641237,""
"org.axonframework.deadline.quartz","quartz","centralityPageRank",0.012212126290641237,""
"org.axonframework.eventhandling.interceptors","interceptors","centralityPageRank",0.012212126290641237,""
"org.axonframework.eventhandling.scheduling.quartz","quartz","centralityPageRank",0.012212126290641237,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory","centralityPageRank",0.012212126290641237,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation","centralityPageRank",0.012212126290641237,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa","centralityPageRank",0.012212126290641237,""
"org.axonframework.serialization.converters","converters","centralityPageRank",0.012212126290641237,""
"org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa","centralityPageRank",0.012212126290641237,""
"org.axonframework.test.aggregate","aggregate","centralityPageRank",0.012212126290641237,""
"org.axonframework.test.saga","saga","centralityPageRank",0.012212126290641237,""
