"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Overview/Effective_lines_of_method_code_per_type.cypher"
"axon-configuration-4.10.1","org.axonframework.config","EventProcessingModule",458,43,"<init>",4,"noTepCustomization",""
"axon-configuration-4.10.1","org.axonframework.config","DefaultConfigurer",431,50,"<init>",7,"invokeLifecycleHandlers",""
"axon-messaging-4.10.1","org.axonframework.eventhandling","TrackingEventProcessor",378,64,"processBatch",21,"processBatch",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.jdbc","JdbcTokenStore",312,26,"updateToken",9,"updateToken",""
"axon-test-4.10.1","org.axonframework.test.aggregate","AggregateTestFixture",306,24,"<init>",13,"ensureValuesEqual",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.pooled","Coordinator$CoordinationTask",261,77,"run",23,"run",""
"axon-test-4.10.1","org.axonframework.test.aggregate","Reporter",241,45,"appendEventOverview",11,"appendEventOverview",""
"axon-messaging-4.10.1","org.axonframework.queryhandling","SimpleQueryBus",233,36,"doQuery",11,"doQuery",""
"axon-modelling-4.10.1","org.axonframework.modelling.command.inspection","AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",231,26,"inspectFieldsAndMethods",9,"prepareHandlers",""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine",228,24,"<init>",7,"lambda$cleanGaps$37",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.jdbc","JdbcSequencedDeadLetterQueue",218,18,"processInitialAndSubsequent",6,"process",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.legacyjpa","JpaSequencedDeadLetterQueue",216,19,"enqueue",6,"process",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.jpa","JpaSequencedDeadLetterQueue",214,18,"requeue",6,"process",""
"axon-test-4.10.1","org.axonframework.test.aggregate","ResultValidatorImpl",203,15,"expectExceptionDetails",7,"verifyPayloadEquality",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.jdbc","DefaultDeadLetterStatementFactory",185,19,"claimableSequencesStatement",2,"setTrackedEventFields",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","AxonServerQueryBus",184,25,"query",4,"scatterGather",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector","AxonServerConfiguration",182,33,"<init>",3,"getNewPermitsThreshold",""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","AxonAutoConfiguration",165,34,"buildSerializer",10,"buildSerializer",""
"axon-configuration-4.10.1","org.axonframework.config","AggregateConfigurer",165,23,"lambda$new$28",5,"lambda$new$28",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.pooled","WorkPackage",163,24,"processEvents",7,"processEvents",""
"axon-test-4.10.1","org.axonframework.test.saga","SagaTestFixture",161,29,"<init>",5,"handleInSaga",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","AxonServerEventStore$AxonIQEventStorageEngine",155,15,"map",9,"commit",""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.legacyjpa","JpaEventStorageEngine",155,25,"fetchTrackedEvents",8,"withGapsCleaned",""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jpa","JpaEventStorageEngine",153,23,"fetchTrackedEvents",8,"withGapsCleaned",""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine$Builder",150,23,"<init>",2,"lambda$assertPositive$1",""
"axon-messaging-4.10.1","org.axonframework.deadline.dbscheduler","DbSchedulerDeadlineManager",150,18,"execute",5,"execute",""
"axon-modelling-4.10.1","org.axonframework.modelling.command.inspection","AnnotatedAggregate",149,16,"handle",5,"invoke",""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.jdbc","JdbcSagaStore",140,38,"updateSaga",8,"updateSaga",""
"axon-messaging-4.10.1","org.axonframework.messaging.deadletter","InMemorySequencedDeadLetterQueue",137,33,"process",9,"process",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.legacyjpa","JpaTokenStore",136,19,"storeToken",5,"validateSegment",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.jpa","JpaTokenStore",133,19,"storeToken",5,"loadToken",""
"axon-disruptor-4.10.1","org.axonframework.disruptor.commandhandling","DisruptorCommandBus",128,32,"<init>",8,"doDispatch",""
