"artifactName","effectiveLineCount","methods","Source Cypher File: Effective_Method_Line_Count_Distribution.cypher"
"axon-eventsourcing-4.7.5.jar",5,40,""
"axon-eventsourcing-4.7.5.jar",6,33,""
"axon-eventsourcing-4.7.5.jar",7,31,""
"axon-eventsourcing-4.7.5.jar",8,11,""
"axon-eventsourcing-4.7.5.jar",9,17,""
"axon-eventsourcing-4.7.5.jar",10,8,""
"axon-eventsourcing-4.7.5.jar",11,2,""
"axon-eventsourcing-4.7.5.jar",12,5,""
"axon-eventsourcing-4.7.5.jar",13,2,""
"axon-eventsourcing-4.7.5.jar",14,3,""
"axon-eventsourcing-4.7.5.jar",15,2,""
"axon-eventsourcing-4.7.5.jar",16,6,""
"axon-eventsourcing-4.7.5.jar",18,3,""
"axon-eventsourcing-4.7.5.jar",20,2,""
"axon-eventsourcing-4.7.5.jar",21,2,""
"axon-eventsourcing-4.7.5.jar",23,1,""
"axon-eventsourcing-4.7.5.jar",24,2,""
"axon-eventsourcing-4.7.5.jar",25,2,""
"axon-messaging-4.7.5.jar",1,2442,""
"axon-messaging-4.7.5.jar",2,716,""
"axon-messaging-4.7.5.jar",3,550,""
"axon-messaging-4.7.5.jar",4,241,""
"axon-messaging-4.7.5.jar",5,197,""
"axon-messaging-4.7.5.jar",6,132,""
"axon-messaging-4.7.5.jar",7,89,""
"axon-messaging-4.7.5.jar",8,70,""
"axon-messaging-4.7.5.jar",9,65,""
"axon-messaging-4.7.5.jar",10,35,""
"axon-messaging-4.7.5.jar",11,40,""
"axon-messaging-4.7.5.jar",12,31,""
"axon-messaging-4.7.5.jar",13,21,""
"axon-messaging-4.7.5.jar",14,14,""
"axon-messaging-4.7.5.jar",15,6,""
"axon-messaging-4.7.5.jar",16,6,""
"axon-messaging-4.7.5.jar",17,8,""
"axon-messaging-4.7.5.jar",18,8,""
"axon-messaging-4.7.5.jar",19,6,""
"axon-messaging-4.7.5.jar",20,4,""
"axon-messaging-4.7.5.jar",21,10,""
"axon-messaging-4.7.5.jar",22,3,""
"axon-messaging-4.7.5.jar",23,3,""
"axon-messaging-4.7.5.jar",24,3,""
"axon-messaging-4.7.5.jar",26,1,""
"axon-messaging-4.7.5.jar",28,1,""
"axon-messaging-4.7.5.jar",29,1,""
"axon-messaging-4.7.5.jar",32,1,""
"axon-messaging-4.7.5.jar",33,2,""
"axon-messaging-4.7.5.jar",36,1,""
"axon-messaging-4.7.5.jar",42,1,""
"axon-messaging-4.7.5.jar",50,1,""
"axon-messaging-4.7.5.jar",57,1,""
"axon-messaging-4.7.5.jar",64,1,""
"axon-messaging-4.7.5.jar",70,1,""
"axon-modelling-4.7.5.jar",1,507,""
"axon-modelling-4.7.5.jar",2,141,""
"axon-modelling-4.7.5.jar",3,134,""
"axon-modelling-4.7.5.jar",4,56,""
"axon-modelling-4.7.5.jar",5,48,""
"axon-modelling-4.7.5.jar",6,38,""
"axon-modelling-4.7.5.jar",7,24,""
"axon-modelling-4.7.5.jar",8,11,""
"axon-modelling-4.7.5.jar",9,8,""
"axon-modelling-4.7.5.jar",10,7,""
"axon-modelling-4.7.5.jar",11,9,""
"axon-modelling-4.7.5.jar",12,2,""
"axon-modelling-4.7.5.jar",13,9,""
"axon-modelling-4.7.5.jar",14,3,""
"axon-modelling-4.7.5.jar",15,4,""
"axon-modelling-4.7.5.jar",16,2,""
"axon-modelling-4.7.5.jar",17,2,""
"axon-modelling-4.7.5.jar",19,1,""
"axon-modelling-4.7.5.jar",20,2,""
"axon-modelling-4.7.5.jar",21,1,""
"axon-modelling-4.7.5.jar",22,1,""
"axon-modelling-4.7.5.jar",23,1,""
"axon-modelling-4.7.5.jar",24,1,""
"axon-modelling-4.7.5.jar",26,1,""
"axon-modelling-4.7.5.jar",38,1,""
"axon-test-4.7.5.jar",1,236,""
"axon-test-4.7.5.jar",2,146,""
"axon-test-4.7.5.jar",3,52,""
"axon-test-4.7.5.jar",4,41,""
"axon-test-4.7.5.jar",5,20,""
"axon-test-4.7.5.jar",6,12,""
"axon-test-4.7.5.jar",7,18,""
"axon-test-4.7.5.jar",8,10,""
"axon-test-4.7.5.jar",9,9,""
"axon-test-4.7.5.jar",10,5,""
"axon-test-4.7.5.jar",11,7,""
"axon-test-4.7.5.jar",12,7,""
"axon-test-4.7.5.jar",13,3,""
"axon-test-4.7.5.jar",14,2,""
"axon-test-4.7.5.jar",15,1,""
"axon-test-4.7.5.jar",16,1,""
"axon-test-4.7.5.jar",17,3,""
"axon-test-4.7.5.jar",18,2,""
"axon-test-4.7.5.jar",20,1,""
"axon-test-4.7.5.jar",21,2,""
"axon-test-4.7.5.jar",28,1,""
"axon-test-4.7.5.jar",29,1,""
"axon-test-4.7.5.jar",31,1,""
"axon-test-4.7.5.jar",45,1,""
