"artifactName","numberOfPackages","Source Cypher File: Number_of_packages_per_artifact.cypher"
"axon-eventsourcing-4.7.5",9,""
"axon-configuration-4.7.5",1,""
"axon-test-4.7.5",8,""
"axon-disruptor-4.7.5",1,""
"axon-modelling-4.7.5",10,""
"axon-messaging-4.7.5",61,""
