"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Effective_lines_of_method_code_per_type.cypher"
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jpa","SQLErrorCodesResolver",71,16,"loadKeyViolationCodes",8,"loadKeyViolationCodes",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","SQLErrorCodesResolver",71,16,"loadKeyViolationCodes",8,"loadKeyViolationCodes",""
"axon-messaging-4.7.5","org.axonframework.messaging.annotation","AnnotatedMessageHandlingMember",71,23,"<init>",14,"handle",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","EventPublisher",71,14,"processPublication",7,"performCommit",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine",70,9,"createTokenAt",3,"lambda$createTokenAt$7",""
"axon-messaging-4.7.5","org.axonframework.commandhandling","SimpleCommandBus",70,12,"<init>",3,"lambda$subscribe$5",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jdbc","EventSchema$Builder",69,15,"<init>",1,"aggregateIdentifierColumn",""
"axon-messaging-4.7.5","org.axonframework.common.annotation","AnnotationUtils",68,12,"collectAttributes",8,"collectAttributes",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","EmbeddedEventStore$EventProducer",67,9,"run",4,"run",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","EmbeddedEventStore$EventProducer",67,9,"run",4,"trimCache",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jdbc","GenericSagaSqlSchema",67,7,"sql_storeSaga",2,"readAssociationValues",""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","DeadlineJob",67,42,"execute",11,"execute",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","Segment",67,10,"splitBalanced",6,"equals",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.legacyjpa","JpaDeadLetter",67,20,"equals",11,"equals",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","JpaDeadLetter",66,20,"equals",11,"equals",""
"axon-messaging-4.7.5","org.axonframework.messaging.unitofwork","BatchingUnitOfWork",66,32,"executeWithResult",11,"executeWithResult",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","CommandHandlerInvoker$DisruptorRepository",65,19,"load",6,"load",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","DefaultQueryGateway",64,8,"getSubscriptionQueryResult",3,"lambda$query$2",""
"axon-messaging-4.7.5","org.axonframework.deadline","SimpleDeadlineManager",63,8,"<init>",3,"lambda$null$9",""
"axon-messaging-4.7.5","org.axonframework.messaging","MetaData",63,7,"mergedWith",4,"from",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed","ConsistentHash",62,7,"with",4,"equals",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","JpaSequencedDeadLetterQueue$Builder",62,9,"<init>",1,"validate",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.legacyjpa","JpaSequencedDeadLetterQueue$Builder",62,9,"<init>",1,"access$500",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.quartz","QuartzEventScheduler",61,12,"<init>",6,"cancelSchedule",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","EventSourcingRepository$Builder",60,7,"validate",2,"validate",""
"axon-test-4.7.5","org.axonframework.test.matchers","DeepEqualsMatcher",60,21,"matchingFields",8,"matchingFields",""
"axon-configuration-4.7.5","org.axonframework.config","MessageMonitorFactoryBuilder",59,13,"getFactoryForType",7,"getFactoryForType",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.pooled","Coordinator$Builder",59,8,"<init>",1,"access$400",""
"axon-messaging-4.7.5","org.axonframework.messaging.deadletter","GenericDeadLetter",58,11,"equals",10,"equals",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga","AnnotatedSaga",57,8,"<init>",6,"handle",""
"axon-configuration-4.7.5","org.axonframework.config","SagaConfigurer$SagaConfigurationImpl",56,13,"initialize",3,"initialize",""
"axon-configuration-4.7.5","org.axonframework.config","Configuration",56,9,"eventProcessingConfiguration",5,"eventProcessingConfiguration",""
"axon-test-4.7.5","org.axonframework.test.aggregate","AggregateTestFixture$RecordingEventStore",56,14,"lambda$doAppendEvents$2",8,"lambda$doAppendEvents$2",""
"axon-test-4.7.5","org.axonframework.test.server","AxonServerEEContainer",56,13,"equals",11,"equals",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","EventSourcedAggregate",55,7,"lambda$initializeState$0",3,"publish",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","EmbeddedEventStore",55,12,"<init>",3,"findNode",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","EmbeddedEventStore",55,12,"<init>",3,"openStream",""
"axon-modelling-4.7.5","org.axonframework.modelling.command","GenericJpaRepository$Builder",55,5,"<init>",1,"spanFactory",""
