"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-disruptor-4.9.2",1,""
"axon-eventsourcing-4.9.2",9,""
"axon-messaging-4.9.2",64,""
"axon-test-4.9.2",8,""
"axon-configuration-4.9.2",1,""
"axon-modelling-4.9.2",10,""
