"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.util","io.grpc",39,69,26,"ClientCall,MethodDescriptor$MethodType,MethodDescriptor,ClientInterceptor,Channel,CallOptions,ForwardingClientCall$SimpleForwardingClientCall,Metadata$Key,ClientCall$Listener,Metadata,Metadata$AsciiMarshaller,Status$Code,StatusRuntimeException,Status","util",""
"axon-test-4.10.3","org.axonframework.test.matchers","org.hamcrest",38,147,24,"Matcher,Description,BaseMatcher,TypeSafeMatcher","matchers",""
"axon-messaging-4.10.3","org.axonframework.queryhandling","reactor.core.publisher",28,108,48,"Mono,Flux,FluxSink,Signal,Sinks$Many,Sinks$EmitResult,FluxSink$OverflowStrategy,MonoSink,ConnectableFlux,Sinks,Sinks$MulticastReplaySpec,Sinks$ManySpec,EmitterProcessor","queryhandling",""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",25,124,21,"QueryResponse,QueryProviderInbound,QueryProviderOutbound,QueryUpdate,QueryRequest,QueryUpdate$Builder,SubscriptionQuery,QueryResponse$Builder,QueryRequest$Builder","query",""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query.subscription","io.axoniq.axonserver.grpc.query",21,113,6,"QueryUpdate$Builder,QueryProviderOutbound,QueryProviderOutbound$Builder,QueryUpdateCompleteExceptionally,SubscriptionQuery$Builder,SubscriptionQueryResponse,QueryRequest,SubscriptionQuery,QueryRequest$Builder,QueryUpdateComplete,QueryUpdateComplete$Builder,QueryResponse$Builder,SubscriptionQueryResponse$Builder,QueryUpdate,QueryUpdateCompleteExceptionally$Builder,QueryResponse","subscription",""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.event.axon","io.axoniq.axonserver.connector.event",20,90,31,"PersistentStreamProperties,PersistentStreamSegment,EventQueryResultEntry,EventChannel,AppendEventsTransaction,AggregateEventStream,EventStream,PersistentStreamCallbacks,PersistentStream","axon",""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.util","io.axoniq.axonserver.grpc",20,106,26,"ProcessingInstruction,ProcessingKey,MetaDataValue,SerializedObject,SerializedObject$Builder,MetaDataValue$DataCase,MetaDataValue$Builder,FlowControl,FlowControl$Builder,ErrorMessage$Builder,ErrorMessage","util",""
"axon-messaging-4.10.3","org.axonframework.deadline.quartz","org.quartz",18,109,4,"JobDataMap,SchedulerException,JobDetail,SchedulerContext,Scheduler,JobKey,TriggerBuilder,JobBuilder,Trigger,JobExecutionException,JobExecutionContext,Job","quartz",""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.quartz","org.quartz",17,76,6,"Scheduler,JobDataMap,Job,JobDetail,JobExecutionContext,SchedulerContext,JobExecutionException,Trigger,JobBuilder,JobKey,TriggerBuilder,SchedulerException","quartz",""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector",17,53,21,"ReplyChannel,FlowControl,Registration,ResultStream,AxonServerConnection,ResultStreamPublisher","query",""
