"fullQualifiedModuleName","sourceName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentAbstractTypes","outgoingDependentAbstractTypeWeight","outgoingDependentModules","outgoingDependentPackages","Source Cypher File: Metrics/Get_Outgoing_Typescript_Module_Dependencies.cypher"
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router-dom/index.tsx","react-router-dom",308,216284,0,0,4,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router-dom/server.tsx","server",76,34378,0,0,2,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router-native/index.tsx","react-router-native",48,25768,0,0,4,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router/index.ts","react-router",34,12325,0,0,3,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/lazy-loading/src/pages/About.tsx","About",1,576,0,0,1,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/tutorial/src/App.jsx","App",1,81,0,0,1,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth-router-provider/src/auth.ts","auth",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth-router-provider/src/main.tsx","main",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth-router-provider/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth/src/auth.ts","auth",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/basic-data-router/src/main.tsx","main",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/basic-data-router/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/basic/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-filter-link/src/snkrs.ts","snkrs",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-filter-link/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-link/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-query-parsing/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-query-parsing/types/jsurl.d.ts","jsurl",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/data-router/src/main.tsx","main",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/data-router/src/todos.ts","todos",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/data-router/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/error-boundaries/src/main.tsx","main",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/error-boundaries/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/lazy-loading-router-provider/src/main.tsx","main",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/lazy-loading-router-provider/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/lazy-loading/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
