"artifactName","fullQualifiedName","name","distance","abstractness","instability","elementsCount","Source Cypher File: Metrics/Calculate_distance_between_abstractness_and_instability_for_Typescript.cypher"
"custom-filter-link","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-filter-link/src/snkrs.ts","./src/snkrs.ts",1,0,0,4,""
"tutorial","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/tutorial/src/data.js","./src/data.js",1,0,0,3,""
"modal","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/modal/src/images.ts","./src/images.ts",1,0,0,2,""
"modal-route-with-outlet","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/modal-route-with-outlet/src/images.ts","./src/images.ts",1,0,0,2,""
"auth-router-provider","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth-router-provider/src/auth.ts","./src/auth.ts",1,0,0,1,""
"auth","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth/src/auth.ts","./src/auth.ts",1,0,0,1,""
"custom-filter-link","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-filter-link/src/vite-env.d.ts","./src/vite-env.d.ts",1,0,0,0,""
"modal","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/modal/src/vite-env.d.ts","./src/vite-env.d.ts",1,0,0,0,""
"ssr-data-router","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/ssr-data-router/src/vite-env.d.ts","./src/vite-env.d.ts",1,0,0,0,""
"auth-router-provider","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth-router-provider/src/main.tsx","./src/main.tsx",1,0,0,0,""
