"artifactName","cyclomaticComplexity","methods","Source Cypher File: Overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-configuration-4.8.2.jar",1,521,""
"axon-configuration-4.8.2.jar",2,35,""
"axon-configuration-4.8.2.jar",3,16,""
"axon-configuration-4.8.2.jar",4,5,""
"axon-configuration-4.8.2.jar",5,3,""
"axon-configuration-4.8.2.jar",7,2,""
"axon-disruptor-4.8.2.jar",1,146,""
"axon-disruptor-4.8.2.jar",2,20,""
"axon-disruptor-4.8.2.jar",3,5,""
"axon-disruptor-4.8.2.jar",4,4,""
"axon-disruptor-4.8.2.jar",5,3,""
"axon-disruptor-4.8.2.jar",6,2,""
"axon-disruptor-4.8.2.jar",7,2,""
"axon-disruptor-4.8.2.jar",8,2,""
"axon-eventsourcing-4.8.2.jar",1,926,""
"axon-eventsourcing-4.8.2.jar",2,92,""
"axon-eventsourcing-4.8.2.jar",3,54,""
"axon-eventsourcing-4.8.2.jar",4,24,""
"axon-eventsourcing-4.8.2.jar",5,9,""
"axon-eventsourcing-4.8.2.jar",6,3,""
"axon-eventsourcing-4.8.2.jar",7,7,""
"axon-eventsourcing-4.8.2.jar",8,7,""
"axon-eventsourcing-4.8.2.jar",13,1,""
"axon-messaging-4.8.2.jar",1,4276,""
"axon-messaging-4.8.2.jar",2,445,""
"axon-messaging-4.8.2.jar",3,280,""
"axon-messaging-4.8.2.jar",4,138,""
"axon-messaging-4.8.2.jar",5,68,""
"axon-messaging-4.8.2.jar",6,45,""
"axon-messaging-4.8.2.jar",7,20,""
"axon-messaging-4.8.2.jar",8,13,""
"axon-messaging-4.8.2.jar",9,7,""
"axon-messaging-4.8.2.jar",10,4,""
"axon-messaging-4.8.2.jar",11,9,""
"axon-messaging-4.8.2.jar",12,4,""
"axon-messaging-4.8.2.jar",13,2,""
"axon-messaging-4.8.2.jar",14,1,""
"axon-messaging-4.8.2.jar",15,1,""
"axon-messaging-4.8.2.jar",16,1,""
"axon-messaging-4.8.2.jar",21,1,""
"axon-messaging-4.8.2.jar",22,1,""
"axon-messaging-4.8.2.jar",40,1,""
"axon-modelling-4.8.2.jar",1,866,""
"axon-modelling-4.8.2.jar",2,75,""
"axon-modelling-4.8.2.jar",3,38,""
"axon-modelling-4.8.2.jar",4,29,""
"axon-modelling-4.8.2.jar",5,24,""
"axon-modelling-4.8.2.jar",6,10,""
"axon-modelling-4.8.2.jar",7,2,""
"axon-modelling-4.8.2.jar",8,1,""
"axon-modelling-4.8.2.jar",9,2,""
"axon-modelling-4.8.2.jar",16,1,""
"axon-test-4.8.2.jar",1,518,""
"axon-test-4.8.2.jar",2,60,""
"axon-test-4.8.2.jar",3,60,""
"axon-test-4.8.2.jar",4,22,""
"axon-test-4.8.2.jar",5,12,""
"axon-test-4.8.2.jar",6,9,""
"axon-test-4.8.2.jar",7,4,""
"axon-test-4.8.2.jar",8,3,""
"axon-test-4.8.2.jar",9,1,""
"axon-test-4.8.2.jar",10,1,""
"axon-test-4.8.2.jar",11,2,""
"axon-test-4.8.2.jar",12,2,""
"axon-test-4.8.2.jar",13,1,""
