"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-messaging-4.8.2","org.axonframework.eventhandling",2213,1214,793,64,"TrackingEventProcessor","processBatch",21,"TrackingEventProcessor","processBatch","eventhandling",""
"axon-configuration-4.8.2","org.axonframework.config",1503,688,582,43,"EventProcessingModule","<init>",7,"DefaultConfigurer","invokeLifecycleHandlers","config",""
"axon-messaging-4.8.2","org.axonframework.eventhandling.pooled",971,429,318,77,"Coordinator$CoordinationTask","run",22,"Coordinator$CoordinationTask","run","pooled",""
"axon-test-4.8.2","org.axonframework.test.aggregate",951,434,249,45,"Reporter","appendEventOverview",13,"AggregateTestFixture","ensureValuesEqual","aggregate",""
"axon-messaging-4.8.2","org.axonframework.queryhandling",855,433,342,36,"SimpleQueryBus","doQuery",11,"SimpleQueryBus","doQuery","queryhandling",""
"axon-messaging-4.8.2","org.axonframework.eventhandling.deadletter.jdbc",849,304,249,31,"DefaultDeadLetterJdbcConverter","convertToLetter",12,"JdbcDeadLetter","equals","jdbc",""
"axon-modelling-4.8.2","org.axonframework.modelling.command",792,431,315,17,"AggregateAnnotationCommandHandler","lambda$initializeHandler$7",9,"AnnotationCommandTargetResolver","resolveTarget","command",""
"axon-eventsourcing-4.8.2","org.axonframework.eventsourcing.eventstore",709,395,262,21,"EmbeddedEventStore$EventConsumer","peekPrivateStream",13,"ConcatenatingDomainEventStream","hasNext","eventstore",""
"axon-messaging-4.8.2","org.axonframework.messaging.annotation",673,386,239,23,"AnnotatedMessageHandlingMember","<init>",14,"AnnotatedMessageHandlingMember","handle","annotation",""
"axon-modelling-4.8.2","org.axonframework.modelling.command.inspection",637,339,218,26,"AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","inspectFieldsAndMethods",9,"AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","prepareHandlers","inspection",""
