"projectName","fullQualifiedModuleName","moduleName","instability","instabilityAbstractTypes","instabilityModules","instabilityPackages","module.outgoingDependencies","module.incomingDependencies","module.outgoingDependentAbstractTypes","module.incomingDependentAbstractTypes","module.outgoingDependentModules","module.incomingDependentModules","module.outgoingDependentPackages","module.incomingDependentPackages","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Typescript.cypher"
"react-router-dom-v5-compat","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.23.1/source/packages/react-router-dom-v5-compat/index.ts","react-router-dom-v5-compat",0,0,0,0,0,0,0,0,0,0,0,0,""
"router","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.23.1/source/packages/router/index.ts","router",0,0,0,0,0,21,0,0,0,3,0,2,""
"react-router","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.23.1/source/packages/react-router/index.ts","react-router",0.4411764705882353,0,0.6666666666666666,0.3333333333333333,15,19,0,0,6,3,1,2,""
"react-router-dom","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.23.1/source/packages/react-router-dom/index.tsx","react-router-dom",0.9864864864864865,0,0.9090909090909091,0.6666666666666666,146,2,0,0,10,1,2,1,""
"react-router-dom","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.23.1/source/packages/react-router-dom/server.tsx","server.tsx",1,0,1,1,40,0,0,0,8,0,3,0,""
"react-router-native","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.23.1/source/packages/react-router-native/index.tsx","react-router-native",1,0,1,1,24,0,0,0,7,0,1,0,""
