"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-configuration-4.8.3",1,""
"axon-test-4.8.3",8,""
"axon-messaging-4.8.3",64,""
"axon-modelling-4.8.3",10,""
"axon-disruptor-4.8.3",1,""
"axon-eventsourcing-4.8.3",9,""
