"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependenciesIncludingSubpackages","p.incomingDependenciesIncludingSubpackages","p.outgoingDependentTypesIncludingSubpackages","p.incomingDependentTypesIncludingSubpackages","p.outgoingDependentInterfacesIncludingSubpackages","p.incomingDependentInterfacesIncludingSubpackages","p.outgoingDependentPackagesIncludingSubpackages","p.incomingDependentPackagesIncludingSubpackages","p.outgoingDependentArtifactsIncludingSubpackages","p.incomingDependentArtifactsIncludingSubpackages","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java_Including_Subpackages.cypher"
"axon-messaging-4.10.3","org.axonframework.common","common",0.003389830508474576,0.012165450121654502,0.0,0.023809523809523808,0.0,5,1470,5,406,0,23,2,82,0,8,""
"axon-messaging-4.10.3","org.axonframework.messaging","messaging",0.020748261781260345,0.06766917293233082,0.4028776978417266,0.11428571428571428,0.0,188,8873,27,372,56,83,8,62,0,8,""
"axon-messaging-4.10.3","org.axonframework.serialization","serialization",0.03225806451612903,0.15483870967741936,0.19047619047619047,0.18604651162790697,0.0,50,1500,24,131,4,17,8,35,0,5,""
"axon-messaging-4.10.3","org.axonframework.lifecycle","lifecycle",0.04040404040404041,0.06896551724137931,0.0,0.09090909090909091,0.0,4,95,2,27,0,3,2,20,0,4,""
"axon-messaging-4.10.3","org.axonframework.monitoring","monitoring",0.04060913705583756,0.05263157894736842,0.45454545454545453,0.16666666666666666,0.0,8,189,2,36,5,6,2,10,0,4,""
"axon-messaging-4.10.3","org.axonframework.tracing","tracing",0.05518394648829431,0.1414141414141414,0.1875,0.27586206896551724,0.0,33,565,14,85,3,13,8,21,0,5,""
"axon-messaging-4.10.3","org.axonframework.messaging.annotation","annotation",0.07335907335907337,0.15503875968992248,0.42424242424242425,0.1935483870967742,0.0,76,960,20,109,14,19,6,25,0,6,""
"axon-messaging-4.10.3","org.axonframework.common.annotation","annotation",0.08695652173913043,0.08695652173913043,0.0,0.1,0.0,2,21,2,21,0,0,1,9,0,2,""
"axon-messaging-4.10.3","org.axonframework.common.lock","lock",0.10714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.0,3,25,2,12,0,2,1,6,0,3,""
"axon-messaging-4.10.3","org.axonframework.messaging.unitofwork","unitofwork",0.112,0.1,0.375,0.1,0.0,28,222,8,72,3,5,4,36,0,6,""
"axon-messaging-4.10.3","org.axonframework.messaging.responsetypes","responsetypes",0.1262135922330097,0.3333333333333333,0.0,0.5,0.0,13,90,10,20,0,4,5,5,0,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling","eventhandling",0.13771186440677965,0.37992831541218636,0.45132743362831856,0.37735849056603776,0.0,585,3663,106,173,51,62,20,33,0,6,""
"axon-messaging-4.10.3","org.axonframework.common.jdbc","jdbc",0.1509433962264151,0.21212121212121213,0.0,0.26666666666666666,0.0,8,45,7,26,0,0,4,11,0,5,""
"axon-messaging-4.10.3","org.axonframework.common.property","property",0.15384615384615385,0.2222222222222222,0.0,0.2,0.0,2,11,2,7,0,0,1,4,0,1,""
"axon-messaging-4.10.3","org.axonframework.common.jpa","jpa",0.15789473684210525,0.11764705882352941,0.0,0.2,0.0,3,16,2,15,0,0,2,8,0,4,""
"axon-messaging-4.10.3","org.axonframework.commandhandling","commandhandling",0.16184971098265896,0.48905109489051096,0.5121951219512195,0.4482758620689655,0.0,196,1015,67,70,21,20,13,16,0,7,""
"axon-messaging-4.10.3","org.axonframework.common.legacyjpa","legacyjpa",0.17647058823529413,0.13333333333333333,0.0,0.2222222222222222,0.0,3,14,2,13,0,0,2,7,0,3,""
"axon-messaging-4.10.3","org.axonframework.messaging.deadletter","deadletter",0.18396226415094338,0.2727272727272727,0.4666666666666667,0.3333333333333333,0.0,39,173,9,24,7,8,4,8,0,2,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.snapshotting","snapshotting",0.1875,0.25,0.5,0.3333333333333333,0.0,6,26,4,12,2,2,3,6,0,2,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.event.util","util",0.2,0.2,0.0,0.25,0.0,1,4,1,4,0,0,1,3,0,0,""
"axon-messaging-4.10.3","org.axonframework.messaging.correlation","correlation",0.21621621621621623,0.18181818181818182,0.5,0.2,0.0,8,29,2,9,3,3,1,4,0,2,""
"axon-test-4.10.3","org.axonframework.test.matchers","matchers",0.2682926829268293,0.4117647058823529,0.0,0.625,1.0,11,30,7,10,0,2,5,3,1,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.actuator","actuator",0.3333333333333333,0.5,0.0,0.5,0.0,1,2,1,1,0,0,1,1,0,0,""
"axon-messaging-4.10.3","org.axonframework.common.digest","digest",0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1,2,1,2,0,0,1,2,0,0,""
"axon-test-4.10.3","org.axonframework.test.server","server",0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,1,2,1,2,0,0,1,1,0,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.util","util",0.37333333333333335,0.3235294117647059,0.5,0.4,1.0,28,47,11,23,1,1,4,6,1,0,""
"axon-messaging-4.10.3","org.axonframework.queryhandling","queryhandling",0.4125874125874126,0.6071428571428571,0.52,0.47368421052631576,0.0,177,252,51,33,13,12,9,10,0,3,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util","util",0.4230769230769231,0.5238095238095238,0.0,0.75,1.0,11,15,11,10,0,0,6,2,2,0,""
"axon-messaging-4.10.3","org.axonframework.common.caching","caching",0.45,0.25,0.0,0.2,0.0,9,11,3,9,0,0,1,4,0,3,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.async","async",0.46875,0.5333333333333333,0.3333333333333333,0.5,0.0,15,17,8,7,1,2,4,4,0,3,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.4807692307692308,0.8,0.0,0.8,1.0,25,27,8,2,0,0,4,1,1,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util.jpa","jpa",0.5,0.5,0.0,0.5,0.0,1,1,1,1,0,0,1,1,0,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util.legacyjpa","legacyjpa",0.5,0.5,0.0,0.5,0.0,1,1,1,1,0,0,1,1,0,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore","tokenstore",0.5149253731343284,0.4583333333333333,0.42857142857142855,0.5,0.0,69,65,22,26,3,4,7,7,0,3,""
"axon-messaging-4.10.3","org.axonframework.serialization.upcasting","upcasting",0.5192307692307693,0.45161290322580644,0.25,0.3076923076923077,0.0,27,25,14,17,1,3,4,9,0,4,""
"axon-messaging-4.10.3","org.axonframework.serialization.xml","xml",0.5333333333333333,0.45454545454545453,0.0,0.25,0.0,16,14,10,12,0,0,3,9,0,5,""
"axon-messaging-4.10.3","org.axonframework.util","util",0.5454545454545454,0.5454545454545454,0.0,0.6,0.0,6,5,6,5,0,0,6,4,0,2,""
"axon-messaging-4.10.3","org.axonframework.serialization.upcasting.event","event",0.5689655172413793,0.5405405405405406,0.5,0.35714285714285715,0.0,33,25,20,17,3,3,5,9,0,4,""
"axon-modelling-4.10.3","org.axonframework.modelling.command","command",0.5877862595419847,0.6176470588235294,0.5294117647058824,0.6086956521739131,0.0,231,162,63,39,9,8,14,9,0,5,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.callbacks","callbacks",0.5909090909090909,0.3333333333333333,0.0,0.16666666666666666,0.0,13,9,4,8,0,0,1,5,0,2,""
"axon-messaging-4.10.3","org.axonframework.deadline","deadline",0.5974842767295597,0.6857142857142857,0.5,0.55,0.0,190,128,48,22,9,9,11,9,0,4,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.actuator.axonserver","axonserver",0.6,0.6666666666666666,0.0,0.6666666666666666,1.0,3,2,2,1,0,0,2,1,1,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.inmemory","inmemory",0.6,0.5,0.0,0.5,0.0,6,4,4,4,0,0,2,2,0,1,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.service","service",0.6,0.6666666666666666,0.0,0.6666666666666666,1.0,3,2,2,1,0,0,2,1,1,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.service.connection","connection",0.6,0.6666666666666666,0.0,0.6666666666666666,1.0,3,2,2,1,0,0,2,1,1,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga","saga",0.6150793650793651,0.7160493827160493,0.42857142857142855,0.75,0.0,155,97,58,23,9,12,15,5,0,2,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore","eventstore",0.6298200514138818,0.6236559139784946,0.24,0.6785714285714286,0.2857142857142857,245,144,58,35,6,19,19,9,2,5,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.gateway","gateway",0.6666666666666666,0.7,0.5,0.6,0.0,14,7,7,3,1,1,3,2,0,1,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository","repository",0.6776315789473685,0.7083333333333334,0.5555555555555556,0.75,0.3333333333333333,103,49,34,14,5,4,12,4,1,2,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.metamodel","metamodel",0.6818181818181818,0.6875,0.6666666666666666,0.6,1.0,15,7,11,5,2,1,3,2,1,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing","eventsourcing",0.6871609403254972,0.7723577235772358,0.3225806451612903,0.7586206896551724,0.2,380,173,95,28,10,21,22,7,1,4,""
"axon-test-4.10.3","org.axonframework.test.utils","utils",0.6875,0.7142857142857143,0.5,0.8,1.0,11,5,10,4,1,1,4,1,1,0,""
