"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-4.10.3","org.axonframework.common.jdbc","jdbc",73,365,35,0,12,5,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.util","util",67,205,39,1,7,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.pooled","pooled",62,451,18,1,4,3,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot","springboot",61,294,24,0,4,0,""
"axon-test-4.10.3","org.axonframework.test.matchers","matchers",61,211,23,2,4,0,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.distributed","distributed",58,241,30,1,5,2,""
"axon-disruptor-4.10.3","org.axonframework.disruptor.commandhandling","commandhandling",55,236,21,0,2,1,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.autoconfig","autoconfig",52,56,25,0,2,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query","query",49,197,19,0,4,1,""
"axon-messaging-4.10.3","org.axonframework.common.lock","lock",46,178,21,2,7,3,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.async","async",46,127,20,2,5,3,""
"axon-messaging-4.10.3","org.axonframework.serialization.upcasting.event","event",45,138,28,3,10,4,""
"axon-test-4.10.3","org.axonframework.test.saga","saga",43,192,15,0,1,0,""
"axon-messaging-4.10.3","org.axonframework.common.caching","caching",37,161,22,0,5,4,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter.jdbc","jdbc",37,327,13,1,2,1,""
"axon-messaging-4.10.3","org.axonframework.common.stream","stream",33,130,17,2,8,3,""
"axon-messaging-4.10.3","org.axonframework.messaging.correlation","correlation",32,62,12,3,5,2,""
"axon-test-4.10.3","org.axonframework.test.aggregate","aggregate",31,244,14,0,1,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",30,84,5,0,2,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.snapshotting","snapshotting",29,85,14,2,7,2,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.command","command",27,100,9,0,4,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter.jpa","jpa",27,251,12,2,3,1,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",26,158,11,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling","scheduling",25,54,16,2,9,4,""
"axon-messaging-4.10.3","org.axonframework.common.property","property",24,48,14,0,5,1,""
"axon-messaging-4.10.3","org.axonframework.common.annotation","annotation",22,39,22,0,10,2,""
"axon-messaging-4.10.3","org.axonframework.serialization.xml","xml",22,42,14,0,10,5,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.jdbc","jdbc",20,169,9,0,2,1,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util","util",20,31,15,0,3,0,""
"axon-messaging-4.10.3","org.axonframework.common.jpa","jpa",19,88,18,0,9,4,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",19,144,10,1,2,1,""
"axon-messaging-4.10.3","org.axonframework.common.legacyjpa","legacyjpa",17,72,16,0,8,3,""
"axon-test-4.10.3","org.axonframework.test","test",16,114,15,0,6,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.conflictresolution","conflictresolution",15,35,7,0,2,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.metamodel","metamodel",15,57,9,1,3,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.gateway","gateway",14,44,6,1,3,2,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.jpa","jpa",14,67,6,0,5,2,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",12,22,6,1,2,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.replay","replay",12,26,8,0,2,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",12,51,6,0,4,2,""
"axon-messaging-4.10.3","org.axonframework.messaging.interceptors","interceptors",12,20,10,0,6,3,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter","deadletter",11,64,6,1,3,2,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",11,76,5,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore.jpa","jpa",11,115,6,0,4,2,""
"axon-messaging-4.10.3","org.axonframework.serialization.upcasting","upcasting",11,23,11,1,2,0,""
"axon-messaging-4.10.3","org.axonframework.common.io","io",10,21,10,0,8,1,""
"axon-messaging-4.10.3","org.axonframework.deadline.dbscheduler","dbscheduler",10,88,4,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",10,81,4,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.quartz","quartz",10,39,4,0,1,0,""
"axon-test-4.10.3","org.axonframework.test.deadline","deadline",10,95,6,0,3,0,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.callbacks","callbacks",9,22,8,0,5,2,""
"axon-messaging-4.10.3","org.axonframework.queryhandling.registration","registration",9,15,5,0,2,0,""
"axon-messaging-4.10.3","org.axonframework.serialization.json","json",9,34,3,0,2,1,""
"axon-test-4.10.3","org.axonframework.test.eventscheduler","eventscheduler",9,53,5,0,2,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query.subscription","subscription",8,28,6,0,2,0,""
"axon-test-4.10.3","org.axonframework.test.utils","utils",8,20,6,1,2,0,""
"axon-messaging-4.10.3","org.axonframework.deadline.jobrunr","jobrunr",7,33,4,0,3,1,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.service.connection","connection",7,15,5,0,2,0,""
"axon-tracing-opentelemetry-4.10.3","org.axonframework.tracing.opentelemetry","opentelemetry",7,28,3,0,2,1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.event.util","util",6,31,6,0,4,0,""
"axon-messaging-4.10.3","org.axonframework.deadline.annotation","annotation",6,9,3,0,1,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.java","java",6,38,4,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.tracing.attributes","attributes",6,12,1,0,1,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.heartbeat","heartbeat",5,11,4,0,3,0,""
"axon-messaging-4.10.3","org.axonframework.deadline.quartz","quartz",5,27,3,0,1,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",5,26,3,0,2,1,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.inmemory","inmemory",5,21,5,0,3,2,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",5,20,3,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.util","util",5,11,5,0,4,2,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.processor","processor",4,16,3,0,2,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",4,20,3,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.queryhandling.annotation","annotation",4,11,4,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",3,20,3,0,3,2,""
"axon-test-4.10.3","org.axonframework.test.server","server",3,9,3,0,2,1,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.actuator","actuator",2,2,2,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.actuator.axonserver","axonserver",2,7,1,0,1,0,""
"axon-messaging-4.10.3","org.axonframework.common.digest","digest",2,2,2,0,2,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.command.legacyjpa","legacyjpa",2,13,2,0,1,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.heartbeat.connection.checker","checker",1,2,1,0,1,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,3,1,0,1,0,""
"axon-messaging-4.10.3","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",1,2,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa",1,1,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util.jpa","jpa",1,2,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util.legacyjpa","legacyjpa",1,2,1,0,1,0,""
"axon-messaging-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-eventsourcing-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-server-connector-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-configuration-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-modelling-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-disruptor-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-test-4.10.3","org","org",0,0,0,0,0,-1,""
"axon-messaging-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-eventsourcing-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-server-connector-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-configuration-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-modelling-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-disruptor-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-test-4.10.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver","axonserver",0,0,0,0,0,-1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.event","event",0,0,0,0,0,-1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.heartbeat.connection","connection",0,0,0,0,0,-1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.heartbeat.source","source",0,0,0,0,0,-1,""
"axon-disruptor-4.10.3","org.axonframework.disruptor","disruptor",0,0,0,0,0,-1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.interceptors","interceptors",0,0,0,0,0,-1,""
"axon-modelling-4.10.3","org.axonframework.modelling","modelling",0,0,0,0,0,-1,""
"axon-messaging-4.10.3","org.axonframework.serialization.converters","converters",0,0,0,0,0,-1,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.service","service",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-4.10.3","org.axonframework.tracing","tracing",0,0,0,0,0,-1,""
