"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-4.10.3","org.axonframework.messaging","messaging",8873,28151,372,83,62,8,""
"axon-messaging-4.10.3","org.axonframework.eventhandling","eventhandling",3663,13828,173,62,33,6,""
"axon-messaging-4.10.3","org.axonframework.serialization","serialization",1500,6100,131,17,35,5,""
"axon-messaging-4.10.3","org.axonframework.common","common",1470,4095,406,23,82,8,""
"axon-messaging-4.10.3","org.axonframework.commandhandling","commandhandling",1015,3962,70,20,16,7,""
"axon-messaging-4.10.3","org.axonframework.messaging.annotation","annotation",960,3719,109,19,25,6,""
"axon-messaging-4.10.3","org.axonframework.tracing","tracing",565,2627,85,13,21,5,""
"axon-messaging-4.10.3","org.axonframework.common.transaction","transaction",362,1089,86,5,31,5,""
"axon-configuration-4.10.3","org.axonframework.config","config",265,1808,26,13,8,1,""
"axon-messaging-4.10.3","org.axonframework.queryhandling","queryhandling",252,1019,33,12,10,3,""
"axon-messaging-4.10.3","org.axonframework.messaging.unitofwork","unitofwork",222,868,72,5,36,6,""
"axon-messaging-4.10.3","org.axonframework.monitoring","monitoring",189,501,36,6,10,4,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing","eventsourcing",173,645,28,21,7,4,""
"axon-messaging-4.10.3","org.axonframework.messaging.deadletter","deadletter",173,1030,24,8,8,2,""
"axon-modelling-4.10.3","org.axonframework.modelling.command","command",162,535,39,8,9,5,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore","eventstore",144,464,35,19,9,5,""
"axon-messaging-4.10.3","org.axonframework.deadline","deadline",128,764,22,9,9,4,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga","saga",97,277,23,12,5,2,""
"axon-messaging-4.10.3","org.axonframework.lifecycle","lifecycle",95,262,27,3,20,4,""
"axon-messaging-4.10.3","org.axonframework.messaging.responsetypes","responsetypes",90,372,20,4,5,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore","tokenstore",65,228,26,4,7,3,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository","repository",49,132,14,4,4,2,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.util","util",47,143,23,1,6,0,""
"axon-messaging-4.10.3","org.axonframework.common.jdbc","jdbc",45,274,26,0,11,5,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector","connector",44,165,8,3,3,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.command.inspection","inspection",41,151,24,4,6,4,""
"axon-test-4.10.3","org.axonframework.test.matchers","matchers",30,140,10,2,3,0,""
"axon-messaging-4.10.3","org.axonframework.messaging.correlation","correlation",29,55,9,3,4,2,""
"axon-messaging-4.10.3","org.axonframework.common.stream","stream",28,120,14,2,7,3,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",27,78,2,0,1,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.snapshotting","snapshotting",26,73,12,2,6,2,""
"axon-messaging-4.10.3","org.axonframework.common.lock","lock",25,100,12,2,6,3,""
"axon-messaging-4.10.3","org.axonframework.serialization.upcasting","upcasting",25,86,17,3,9,4,""
"axon-messaging-4.10.3","org.axonframework.serialization.upcasting.event","event",25,86,17,3,9,4,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.event","event",22,87,7,2,3,1,""
"axon-messaging-4.10.3","org.axonframework.common.annotation","annotation",21,38,21,0,9,2,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.event.axon","axon",19,77,4,2,2,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.async","async",17,51,7,2,4,3,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",17,83,1,14,1,0,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.gateway","gateway",16,43,7,1,3,2,""
"axon-messaging-4.10.3","org.axonframework.common.jpa","jpa",16,77,15,0,8,4,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling","scheduling",15,48,7,2,4,3,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util","util",15,26,10,0,2,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.command","command",14,47,5,0,3,1,""
"axon-messaging-4.10.3","org.axonframework.common.legacyjpa","legacyjpa",14,61,13,0,7,3,""
"axon-messaging-4.10.3","org.axonframework.serialization.xml","xml",14,23,12,0,9,5,""
"axon-messaging-4.10.3","org.axonframework.common.caching","caching",11,49,9,0,4,3,""
"axon-messaging-4.10.3","org.axonframework.common.property","property",11,24,7,0,4,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter","deadletter",11,60,6,2,3,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter.jpa","jpa",11,109,5,2,2,1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query","query",10,38,4,0,2,1,""
"axon-messaging-4.10.3","org.axonframework.common.io","io",10,21,10,0,8,1,""
