"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-configuration-4.10.3","org.axonframework.config","config",9851,37604,240,92,46,4,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.autoconfig","autoconfig",5775,20419,239,69,57,6,""
"axon-test-4.10.3","org.axonframework.test.aggregate","aggregate",2210,7978,92,34,16,3,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query","query",1569,7173,91,31,13,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling","eventhandling",1563,6457,160,57,16,0,""
"axon-disruptor-4.10.3","org.axonframework.disruptor.commandhandling","commandhandling",1453,5180,84,30,14,3,""
"axon-test-4.10.3","org.axonframework.test.saga","saga",1419,4096,81,26,17,2,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",1340,6712,51,27,11,2,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.event.axon","axon",1174,4249,101,36,24,3,""
"axon-messaging-4.10.3","org.axonframework.queryhandling","queryhandling",1141,5254,86,30,11,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing","eventsourcing",1009,3348,95,33,16,2,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.pooled","pooled",962,4431,57,25,12,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.command","command",932,3060,62,23,11,1,""
"axon-modelling-4.10.3","org.axonframework.modelling.command","command",847,3209,97,34,15,1,""
"axon-modelling-4.10.3","org.axonframework.modelling.command.inspection","inspection",781,3026,73,28,10,1,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.distributed","distributed",738,2227,74,27,12,0,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector","connector",720,3664,81,25,19,4,""
"axon-messaging-4.10.3","org.axonframework.commandhandling","commandhandling",691,1832,74,30,9,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore","eventstore",613,1981,65,26,16,2,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter.jdbc","jdbc",560,3518,49,20,8,0,""
"axon-messaging-4.10.3","org.axonframework.deadline.dbscheduler","dbscheduler",488,1845,40,17,9,0,""
"axon-messaging-4.10.3","org.axonframework.deadline.quartz","quartz",453,1519,40,18,10,0,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.gateway","gateway",443,1199,56,11,10,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga","saga",432,1464,62,23,9,1,""
"axon-messaging-4.10.3","org.axonframework.deadline.jobrunr","jobrunr",419,1315,37,17,10,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter","deadletter",391,1604,30,13,7,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",389,1564,48,18,15,1,""
"axon-messaging-4.10.3","org.axonframework.deadline","deadline",338,1052,46,22,8,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",330,2185,36,15,9,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.deadletter.jpa","jpa",317,1777,39,15,8,0,""
"axon-messaging-4.10.3","org.axonframework.messaging.annotation","annotation",301,865,67,13,7,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa",297,673,31,11,19,4,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.query.subscription","subscription",238,955,36,13,11,1,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",236,1036,32,11,11,1,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository","repository",231,1215,36,14,8,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",214,1026,27,11,9,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",209,649,23,11,10,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.quartz","quartz",202,569,27,12,10,0,""
"axon-messaging-4.10.3","org.axonframework.queryhandling.annotation","annotation",199,600,22,13,6,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",195,2016,28,9,6,0,""
"axon-messaging-4.10.3","org.axonframework.serialization.upcasting.event","event",188,630,26,11,6,0,""
"axon-messaging-4.10.3","org.axonframework.serialization","serialization",176,533,46,7,9,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.command.legacyjpa","legacyjpa",164,694,20,11,9,1,""
"axon-test-4.10.3","org.axonframework.test.deadline","deadline",138,481,20,11,7,1,""
"axon-messaging-4.10.3","org.axonframework.messaging","messaging",133,353,35,15,6,0,""
"axon-messaging-4.10.3","org.axonframework.messaging.unitofwork","unitofwork",123,534,20,7,5,0,""
"axon-messaging-4.10.3","org.axonframework.tracing","tracing",122,598,27,12,9,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore.jpa","jpa",119,585,21,6,6,0,""
"axon-messaging-4.10.3","org.axonframework.messaging.interceptors","interceptors",119,268,14,8,7,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.jdbc","jdbc",118,898,25,8,8,1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.processor","processor",109,410,20,9,8,2,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",106,694,20,6,7,0,""
"axon-messaging-4.10.3","org.axonframework.messaging.deadletter","deadletter",105,318,23,8,5,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.conflictresolution","conflictresolution",99,237,18,13,9,2,""
"axon-messaging-4.10.3","org.axonframework.serialization.json","json",87,301,24,6,4,0,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.jpa","jpa",86,335,18,7,7,1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.util","util",85,231,26,5,5,1,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",81,355,17,6,8,1,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",80,629,9,6,5,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.async","async",76,249,20,7,5,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.scheduling.java","java",76,196,19,8,8,0,""
"axon-eventsourcing-4.10.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",75,490,11,7,4,1,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.replay","replay",72,126,22,8,5,0,""
"axon-test-4.10.3","org.axonframework.test.utils","utils",70,258,12,8,5,2,""
"axon-modelling-4.10.3","org.axonframework.modelling.saga.metamodel","metamodel",67,187,15,7,4,1,""
"axon-messaging-4.10.3","org.axonframework.messaging.responsetypes","responsetypes",65,218,17,6,6,0,""
"axon-spring-boot-autoconfigure-4.10.3","org.axonframework.springboot.util","util",61,117,15,6,5,2,""
"axon-messaging-4.10.3","org.axonframework.common.jdbc","jdbc",56,226,22,8,5,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.gateway","gateway",52,149,12,5,4,0,""
"axon-test-4.10.3","org.axonframework.test.matchers","matchers",51,104,25,4,6,1,""
"axon-messaging-4.10.3","org.axonframework.common.caching","caching",49,153,14,3,2,0,""
"axon-messaging-4.10.3","org.axonframework.tracing.attributes","attributes",43,71,6,5,5,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.tokenstore","tokenstore",42,160,13,4,4,0,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.callbacks","callbacks",39,108,4,3,1,0,""
"axon-test-4.10.3","org.axonframework.test.eventscheduler","eventscheduler",38,106,10,5,5,1,""
"axon-tracing-opentelemetry-4.10.3","org.axonframework.tracing.opentelemetry","opentelemetry",37,152,13,5,4,1,""
"axon-server-connector-4.10.3","org.axonframework.axonserver.connector.heartbeat","heartbeat",34,100,10,7,5,2,""
"axon-messaging-4.10.3","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",34,128,7,2,3,0,""
"axon-messaging-4.10.3","org.axonframework.deadline.annotation","annotation",29,74,11,5,4,0,""
"axon-messaging-4.10.3","org.axonframework.eventhandling.interceptors","interceptors",28,76,7,4,3,0,""
