"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_package_usage_per_artifact_and_package.cypher"
"axon-test-4.7.5","org.axonframework.test.matchers","org.hamcrest",38,188,24,"Description,Matcher,BaseMatcher,TypeSafeMatcher","matchers",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","reactor.core.publisher",24,90,40,"Flux,Mono,Signal,FluxSink$OverflowStrategy,MonoSink,FluxSink,Sinks$ManySpec,ConnectableFlux,EmitterProcessor,Sinks$Many,Sinks$MulticastReplaySpec,Sinks,Sinks$EmitResult","queryhandling",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.quartz","org.quartz",19,95,6,"TriggerBuilder,SchedulerContext,JobDataMap,SchedulerException,Scheduler,Trigger,JobDetail,JobBuilder,JobKey,Job,JobExecutionException,JobExecutionContext","quartz",""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","org.quartz",18,131,4,"JobDataMap,Scheduler,TriggerBuilder,Trigger,SchedulerException,JobKey,JobDetail,SchedulerContext,JobBuilder,JobExecutionException,Job,JobExecutionContext","quartz",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.databind",15,73,7,"DeserializationContext,JsonDeserializer,ObjectMapper$DefaultTyping,DeserializationFeature,ObjectMapper,ObjectWriter,ObjectReader,JsonNode","json",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","org.slf4j",13,47,93,"Logger,LoggerFactory","eventhandling",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.pooled","org.slf4j",13,59,20,"Logger,LoggerFactory","pooled",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","org.slf4j",11,20,22,"LoggerFactory,Logger","commandhandling",""
"axon-configuration-4.7.5","org.axonframework.config","org.slf4j",9,28,39,"Logger,LoggerFactory","config",""
"axon-test-4.7.5","org.axonframework.test.saga","org.hamcrest",9,91,21,"CoreMatchers,Matcher,Description,StringDescription","saga",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","com.lmax.disruptor",8,24,22,"WaitStrategy,BlockingWaitStrategy,RingBuffer,EventHandler,LifecycleAware,ExceptionHandler","commandhandling",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","org.slf4j",8,15,10,"Logger,LoggerFactory","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.common.caching","javax.cache.event",8,34,12,"CacheEntryRemovedListener,CacheEntryExpiredListener,CacheEntryEventFilter,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryEvent,CacheEntryCreatedListener,CacheEntryListenerException","caching",""
"axon-messaging-4.7.5","org.axonframework.messaging.annotation","org.slf4j",8,15,54,"LoggerFactory,Logger","annotation",""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","reactor.core.publisher",7,34,8,"Mono,Flux","responsetypes",""
"axon-test-4.7.5","org.axonframework.test.aggregate","org.hamcrest",7,136,19,"Matcher,StringDescription,CoreMatchers,Description","aggregate",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","org.slf4j",6,9,31,"Logger,LoggerFactory","eventstore",""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","org.reactivestreams",6,14,8,"Publisher","responsetypes",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","org.reactivestreams",6,15,40,"Publisher","queryhandling",""
