"externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","allTypes","externalTypeNames","Source Cypher File: External_package_usage_overall.cypher"
"javax.annotation",324,1406,2503,"Nonnull,Nullable,PreDestroy","",""
"org.slf4j",190,534,2503,"Logger,LoggerFactory","",""
"javax.persistence",75,334,2503,"Index,Table,Entity,EntityExistsException,Query,TypedQuery,EntityManager,Basic,MappedSuperclass,Column,Lob,Id,GeneratedValue,Embedded,Embeddable,NoResultException,IdClass,LockModeType,EntityNotFoundException,EntityManagerFactory","",""
"jakarta.persistence",66,322,2503,"Index,Table,Entity,EntityExistsException,Query,EntityManager,TypedQuery,MappedSuperclass,Basic,Lob,Column,GeneratedValue,Id,Embedded,Embeddable,NoResultException,LockModeType,IdClass,EntityNotFoundException,EntityManagerFactory","",""
"org.hamcrest",61,498,2503,"CoreMatchers,Matcher,Description,StringDescription,Matchers,BaseMatcher,TypeSafeMatcher","",""
"com.fasterxml.jackson.annotation",54,84,2503,"JsonProperty,JsonGetter,JsonTypeInfo,JsonTypeInfo$Id,JsonCreator,JsonIgnore,JsonTypeInfo$As","",""
"org.quartz",37,226,2503,"JobDataMap,Job,SchedulerContext,JobExecutionContext,JobExecutionException,JobDetail,Scheduler,SchedulerException,TriggerBuilder,Trigger,JobBuilder,JobKey","",""
"reactor.core.publisher",31,124,2503,"Mono,Flux,FluxSink$OverflowStrategy,FluxSink,MonoSink,Signal,Sinks$Many,Sinks$ManySpec,ConnectableFlux,Sinks,Sinks$MulticastReplaySpec,EmitterProcessor,Sinks$EmitResult","",""
"com.fasterxml.jackson.databind",15,73,2503,"DeserializationContext,JsonDeserializer,JsonNode,ObjectMapper,DeserializationFeature,ObjectMapper$DefaultTyping,ObjectWriter,ObjectReader","",""
"org.reactivestreams",12,29,2503,"Publisher","",""
"com.thoughtworks.xstream.io",9,46,2503,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver","",""
"com.lmax.disruptor",9,29,2503,"RingBuffer,LifecycleAware,EventHandler,BlockingWaitStrategy,WaitStrategy,ExceptionHandler","",""
"javax.cache.event",8,34,2503,"CacheEntryListener,CacheEntryExpiredListener,CacheEntryEvent,CacheEntryUpdatedListener,CacheEntryRemovedListener,CacheEntryListenerException,CacheEntryEventFilter,CacheEntryCreatedListener","",""
"javax.sql",6,24,2503,"DataSource","",""
"com.thoughtworks.xstream.converters",6,12,2503,"MarshallingContext,UnmarshallingContext","",""
"jakarta.validation",5,22,2503,"ConstraintViolation,Validator,ValidatorFactory,Validation","",""
"com.lmax.disruptor.dsl",5,22,2503,"Disruptor,EventHandlerGroup,ProducerType","",""
"nu.xom",5,16,2503,"Document,Builder,ParsingException","",""
"net.sf.ehcache",5,63,2503,"Ehcache,Element,CacheException","",""
"com.thoughtworks.xstream.mapper",5,10,2503,"Mapper,CannotResolveClassException","",""
"javax.validation",5,22,2503,"Validation,Validator,ValidatorFactory,ConstraintViolation","",""
"org.jobrunr.scheduling",4,19,2503,"JobScheduler","",""
"com.fasterxml.jackson.core",4,11,2503,"JsonParser,JacksonException,JsonProcessingException","",""
"com.thoughtworks.xstream",4,47,2503,"XStream","",""
"com.thoughtworks.xstream.io.xml",4,13,2503,"XomReader,Dom4JReader,CompactWriter,XppDriver","",""
"org.junit.jupiter.api.extension",3,6,2503,"BeforeEachCallback,AfterEachCallback,ExtensionContext","",""
"net.sf.ehcache.event",3,9,2503,"CacheEventListener,RegisteredEventListeners","",""
"org.testcontainers.utility",3,17,2503,"DockerImageName,MountableFile","",""
"org.dom4j",3,12,2503,"Document","",""
"javax.cache.configuration",3,11,2503,"Factory,CacheEntryListenerConfiguration","",""
"com.thoughtworks.xstream.converters.collections",3,7,2503,"MapConverter,CollectionConverter","",""
"com.fasterxml.jackson.databind.node",3,14,2503,"ObjectNode,JsonNodeType","",""
"com.fasterxml.jackson.databind.type",3,3,2503,"TypeFactory","",""
"reactor.util.context",2,7,2503,"Context,ContextView","",""
"org.testcontainers.containers",2,8,2503,"GenericContainer","",""
"reactor.util.concurrent",2,3,2503,"Queues","",""
"org.junit.runners.model",2,8,2503,"Statement","",""
"org.testcontainers.containers.wait.strategy",2,2,2503,"Wait","",""
"org.junit.jupiter.api",1,1,2503,"Assertions","",""
"javax.cache",1,14,2503,"Cache","",""
"org.junit.runner",1,2,2503,"Description","",""
"reactor.core",1,2,2503,"Disposable","",""
"org.quartz.impl.matchers",1,2,2503,"GroupMatcher","",""
"com.fasterxml.jackson.datatype.jsr310",1,2,2503,"JavaTimeModule","",""
"org.dom4j.io",1,3,2503,"STAXEventReader","",""
"com.fasterxml.jackson.databind.module",1,3,2503,"SimpleModule","",""
"org.junit.rules",1,1,2503,"TestRule","",""
"com.fasterxml.jackson.databind.jsontype",1,3,2503,"TypeDeserializer","",""
"javax.xml.stream",1,2,2503,"XMLStreamException","",""
