"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_package_usage_per_artifact.cypher"
"axon-messaging-4.7.5","com.thoughtworks.xstream.converters.collections",3,7,729,"MapConverter,CollectionConverter","",""
"axon-messaging-4.7.5","javax.cache.configuration",3,11,729,"Factory,CacheEntryListenerConfiguration","",""
"axon-messaging-4.7.5","reactor.util.context",2,7,729,"ContextView,Context","",""
"axon-messaging-4.7.5","reactor.util.concurrent",2,3,729,"Queues","",""
"axon-messaging-4.7.5","com.fasterxml.jackson.databind.jsontype",1,3,729,"TypeDeserializer","",""
"axon-messaging-4.7.5","org.quartz.impl.matchers",1,2,729,"GroupMatcher","",""
"axon-messaging-4.7.5","reactor.core",1,2,729,"Disposable","",""
"axon-messaging-4.7.5","javax.sql",1,4,729,"DataSource","",""
"axon-messaging-4.7.5","javax.xml.stream",1,2,729,"XMLStreamException","",""
"axon-messaging-4.7.5","org.dom4j.io",1,3,729,"STAXEventReader","",""
"axon-messaging-4.7.5","javax.cache",1,14,729,"Cache","",""
"axon-messaging-4.7.5","com.fasterxml.jackson.databind.module",1,3,729,"SimpleModule","",""
"axon-messaging-4.7.5","com.fasterxml.jackson.datatype.jsr310",1,2,729,"JavaTimeModule","",""
"axon-modelling-4.7.5","javax.annotation",37,132,149,"Nonnull,Nullable","",""
"axon-modelling-4.7.5","javax.persistence",23,96,149,"Column,Basic,Lob,MappedSuperclass,Id,LockModeType,EntityManager,Entity,EntityNotFoundException,EntityManagerFactory,TypedQuery,Query,Table,GeneratedValue,Index","",""
"axon-modelling-4.7.5","jakarta.persistence",18,90,149,"Lob,Basic,Column,Entity,Id,Query,TypedQuery,EntityNotFoundException,EntityManagerFactory,EntityManager,GeneratedValue,Index,Table,LockModeType","",""
"axon-modelling-4.7.5","org.slf4j",16,52,149,"Logger,LoggerFactory","",""
"axon-modelling-4.7.5","com.fasterxml.jackson.annotation",4,6,149,"JsonCreator,JsonProperty","",""
"axon-modelling-4.7.5","javax.sql",1,2,149,"DataSource","",""
"axon-test-4.7.5","org.hamcrest",61,498,85,"Description,StringDescription,Matcher,CoreMatchers,Matchers,TypeSafeMatcher,BaseMatcher","",""
"axon-test-4.7.5","javax.annotation",10,52,85,"Nonnull","",""
"axon-test-4.7.5","org.slf4j",4,13,85,"Logger,LoggerFactory","",""
"axon-test-4.7.5","org.testcontainers.utility",3,17,85,"DockerImageName,MountableFile","",""
"axon-test-4.7.5","org.junit.jupiter.api.extension",3,6,85,"BeforeEachCallback,AfterEachCallback,ExtensionContext","",""
"axon-test-4.7.5","org.junit.runners.model",2,8,85,"Statement","",""
"axon-test-4.7.5","org.testcontainers.containers.wait.strategy",2,2,85,"Wait","",""
"axon-test-4.7.5","org.testcontainers.containers",2,8,85,"GenericContainer","",""
"axon-test-4.7.5","org.junit.rules",1,1,85,"TestRule","",""
"axon-test-4.7.5","org.junit.runner",1,2,85,"Description","",""
"axon-test-4.7.5","org.junit.jupiter.api",1,1,85,"Assertions","",""
