"pom.artifactId","pom.name","scope","dependency.optional","dependentArtifact.group","dependentArtifact.name","Source Cypher File: Maven_POMs_and_their_declared_dependencies.cypher"
"axon-modelling","Axon Framework - Modelling","test",false,"org.postgresql","postgresql",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.hibernate","hibernate-core",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.hibernate","hibernate-validator",""
"axon-modelling","Axon Framework - Modelling","test",true,"javax.inject","javax.inject",""
"axon-modelling","Axon Framework - Modelling","test",false,"c3p0","c3p0",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework.security","spring-security-config",""
"axon-modelling","Axon Framework - Modelling","provided",false,"com.google.code.findbugs","jsr305",""
"axon-modelling","Axon Framework - Modelling","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework","spring-test",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework","spring-tx",""
"axon-modelling","Axon Framework - Modelling","default",true,"javax.validation","validation-api",""
"axon-modelling","Axon Framework - Modelling","test",false,"org.springframework","spring-context-support",""
"axon-modelling","Axon Framework - Modelling","test",false,"${project.groupId}","axon-messaging",""
"axon-modelling","Axon Framework - Modelling","default",true,"javax.cache","cache-api",""
"axon-modelling","Axon Framework - Modelling","test",false,"mysql","mysql-connector-java",""
"axon-modelling","Axon Framework - Modelling","test",false,"javax.el","javax.el-api",""
"axon-modelling","Axon Framework - Modelling","default",true,"javax.persistence","javax.persistence-api",""
"axon-test","Axon Framework - Test Fixtures","test",false,"org.springframework","spring-beans",""
"axon-test","Axon Framework - Test Fixtures","default",true,"org.hamcrest","hamcrest-library",""
"axon-test","Axon Framework - Test Fixtures","default",true,"junit","junit",""
"axon-test","Axon Framework - Test Fixtures","default",false,"${project.groupId}","axon-eventsourcing",""
"axon-test","Axon Framework - Test Fixtures","default",true,"org.testcontainers","testcontainers",""
"axon-test","Axon Framework - Test Fixtures","test",false,"jakarta.persistence","jakarta.persistence-api",""
"axon-test","Axon Framework - Test Fixtures","test",false,"javax.inject","javax.inject",""
"axon-test","Axon Framework - Test Fixtures","provided",false,"com.google.code.findbugs","jsr305",""
"axon-test","Axon Framework - Test Fixtures","default",true,"org.hamcrest","hamcrest",""
"axon-test","Axon Framework - Test Fixtures","default",false,"org.junit.jupiter","junit-jupiter",""
