"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",60,296,325,1419,90,1154,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",49,109,193,541,90,1154,"LoggerFactory,Logger",""
"com.fasterxml",13,29,82,193,90,1154,"JsonTypeInfo$Id,JsonTypeInfo,JsonProperty,JsonGetter,JsonIgnore,JsonCreator,JsonTypeInfo$As,JsonNode,ObjectNode",""
"javax.persistence",13,24,78,339,90,1154,"EntityManager,TypedQuery,MappedSuperclass,Basic,Column,Lob,GeneratedValue,Id,Table",""
"jakarta.persistence",8,22,69,327,90,1154,"EntityManager,TypedQuery,Basic,Lob,MappedSuperclass,Column,GeneratedValue,Id,Table",""
"org.hamcrest",5,27,61,498,90,1154,"Matcher,Description,StringDescription,CoreMatchers,TypeSafeMatcher,BaseMatcher,Matchers",""
"com.thoughtworks",2,8,31,135,90,1154,"HierarchicalStreamWriter,Mapper,MapConverter,MarshallingContext,UnmarshallingContext,HierarchicalStreamReader,CannotResolveClassException,XStream,CollectionConverter",""
"org.junit",2,4,8,18,90,1154,"BeforeEachCallback,AfterEachCallback,ExtensionContext,Statement,Description,TestRule,Assertions",""
"org.quartz",2,9,38,228,90,1154,"JobKey,TriggerBuilder,GroupMatcher,Trigger,JobDetail,SchedulerContext,Scheduler,SchedulerException,JobDataMap",""
"reactor.core",2,16,34,151,90,1154,"Flux,Mono,Sinks$EmitResult,Sinks$Many,FluxSink,Sinks$MulticastReplaySpec,Sinks,FluxSink$OverflowStrategy,Sinks$ManySpec",""
"com.lmax",1,7,14,51,90,1154,"RingBuffer,EventHandlerGroup,Disruptor,WaitStrategy,ProducerType,BlockingWaitStrategy,EventHandler,ExceptionHandler,LifecycleAware",""
"jakarta.validation",1,2,5,22,90,1154,"Validator,ValidatorFactory,Validation,ConstraintViolation",""
"javax.cache",1,2,12,59,90,1154,"CacheEntryListenerConfiguration,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryExpiredListener",""
"javax.validation",1,2,5,22,90,1154,"ConstraintViolation,Validator,Validation,ValidatorFactory",""
"net.sf",1,2,8,72,90,1154,"CacheException,Ehcache,CacheEventListener,Element,RegisteredEventListeners",""
"nu.xom",1,3,5,16,90,1154,"Document,ParsingException,Builder",""
"org.dom4j",1,3,4,15,90,1154,"Document,STAXEventReader",""
"org.testcontainers",1,2,7,27,90,1154,"GenericContainer,Wait,DockerImageName,MountableFile",""
