"artifactName","deprecatedElementType","elementUsingDeprecatedElement","deprecatedElement","Source Cypher File: Java/Java_deprecated_element_usage_detailed.cypher"
"axon-modelling-4.10.2","Method","org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.annotationAttributes","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.10.2","Method","org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.hasAnnotation","boolean hasAnnotation(java.lang.Class)",""
"axon-modelling-4.10.2","Method","org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.10.2","Method","org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.10.2","Interface","org.axonframework.modelling.command.legacyjpa.GenericJpaRepository$Builder","org.axonframework.common.legacyjpa.EntityManagerProvider",""
"axon-modelling-4.10.2","Class","org.axonframework.modelling.command.legacyjpa.GenericJpaRepository$Builder","org.axonframework.modelling.command.legacyjpa.GenericJpaRepository",""
"axon-modelling-4.10.2","Method","org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition.wrapHandler","boolean hasAnnotation(java.lang.Class)",""
"axon-modelling-4.10.2","Method","org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-modelling-4.10.2","Method","org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-modelling-4.10.2","Interface","org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder","org.axonframework.common.legacyjpa.EntityManagerProvider",""
"axon-modelling-4.10.2","Class","org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder","org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore",""
"axon-modelling-4.10.2","Method","org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-server-connector-4.10.2","Class","org.axonframework.axonserver.connector.AxonServerConfiguration","org.axonframework.axonserver.connector.event.util.EventCipher",""
"axon-server-connector-4.10.2","Class","org.axonframework.axonserver.connector.AxonServerConfiguration$Builder","org.axonframework.axonserver.connector.event.util.EventCipher",""
"axon-server-connector-4.10.2","Method","org.axonframework.axonserver.connector.AxonServerConfiguration.access$800","void setEventSecretKey(java.lang.String)",""
"axon-server-connector-4.10.2","Method","org.axonframework.axonserver.connector.event.axon.AxonServerEventScheduler$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-server-connector-4.10.2","Method","org.axonframework.axonserver.connector.event.axon.AxonServerEventStore$Builder.buildStorageEngine","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-server-connector-4.10.2","Method","org.axonframework.axonserver.connector.event.axon.AxonServerEventStore$Builder.buildStorageEngine","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-server-connector-4.10.2","Class","org.axonframework.axonserver.connector.event.util.GrpcExceptionParser","org.axonframework.axonserver.connector.event.util.EventStoreClientException",""
"axon-server-connector-4.10.2","Class","org.axonframework.axonserver.connector.query.AxonServerQueryBus","org.axonframework.queryhandling.SubscriptionQueryBackpressure",""
"axon-server-connector-4.10.2","Class","org.axonframework.axonserver.connector.util.ContextAddingInterceptor$1","org.axonframework.axonserver.connector.util.ContextAddingInterceptor",""
"axon-server-connector-4.10.2","Class","org.axonframework.axonserver.connector.util.TokenAddingInterceptor$1","org.axonframework.axonserver.connector.util.TokenAddingInterceptor",""
"axon-spring-boot-autoconfigure-4.10.2","Class","org.axonframework.springboot.autoconfig.AxonAutoConfiguration","org.axonframework.serialization.JavaSerializer",""
"axon-test-4.10.2","Class","org.axonframework.test.aggregate.StubAggregateLifecycleRule$1","org.axonframework.test.aggregate.StubAggregateLifecycleRule",""
"axon-test-4.10.2","Method","org.axonframework.test.aggregate.TestExecutor.whenTimeAdvancesTo","org.axonframework.test.aggregate.ResultValidator whenThenTimeAdvancesTo(java.time.Instant)",""
"axon-test-4.10.2","Method","org.axonframework.test.aggregate.TestExecutor.whenTimeElapses","org.axonframework.test.aggregate.ResultValidator whenThenTimeElapses(java.time.Duration)",""
