"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.9.1","org.axonframework.common.jpa",7,4,94,3,""
"axon-messaging-4.9.1","org.axonframework.common.legacyjpa",7,4,94,3,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing",10,41,82,3,""
"axon-modelling-4.9.1","org.axonframework.modelling.command.inspection",2,26,75,3,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.deadletter",3,5,60,3,""
"axon-messaging-4.9.1","org.axonframework.common.jdbc",12,18,42,3,""
"axon-modelling-4.9.1","org.axonframework.modelling.saga.repository",1,15,141,4,""
"axon-messaging-4.9.1","org.axonframework.deadline.annotation",1,5,141,4,""
"axon-modelling-4.9.1","org.axonframework.modelling.command",0,54,118,4,""
"axon-messaging-4.9.1","org.axonframework.messaging.unitofwork",0,14,118,4,""
"axon-test-4.9.1","org.axonframework.test.saga",6,21,117,4,""
"axon-messaging-4.9.1","org.axonframework.messaging",8,34,84,4,""
"axon-messaging-4.9.1","org.axonframework.common.lock",2,11,75,4,""
"axon-messaging-4.9.1","org.axonframework.messaging.unitofwork",3,14,60,4,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.gateway",3,5,60,4,""
"axon-messaging-4.9.1","org.axonframework.eventhandling",1,99,141,5,""
"axon-messaging-4.9.1","org.axonframework.commandhandling",1,31,141,5,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.scheduling.quartz",9,6,132,5,""
"axon-messaging-4.9.1","org.axonframework.messaging.interceptors",0,8,118,5,""
"axon-messaging-4.9.1","org.axonframework.tracing.attributes",0,6,118,5,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.tokenstore",7,7,94,5,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.deadletter.legacyjpa",7,6,94,5,""
"axon-messaging-4.9.1","org.axonframework.commandhandling",5,31,91,5,""
"axon-messaging-4.9.1","org.axonframework.common",5,27,91,5,""
"axon-messaging-4.9.1","org.axonframework.monitoring",5,6,91,5,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing.eventstore.jpa",10,6,82,5,""
"axon-messaging-4.9.1","org.axonframework.serialization.json",9,7,132,6,""
"axon-messaging-4.9.1","org.axonframework.messaging.deadletter",0,19,118,6,""
"axon-messaging-4.9.1","org.axonframework.messaging.unitofwork",8,14,84,6,""
"axon-modelling-4.9.1","org.axonframework.modelling.saga.repository.jpa",12,7,42,6,""
"axon-messaging-4.9.1","org.axonframework.common",1,27,141,7,""
"axon-messaging-4.9.1","org.axonframework.common",7,27,94,7,""
"axon-messaging-4.9.1","org.axonframework.common.jdbc",7,18,94,7,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.deadletter.jpa",7,9,94,7,""
"axon-messaging-4.9.1","org.axonframework.tracing",5,18,91,7,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing.eventstore.legacyjpa",11,10,84,7,""
"axon-test-4.9.1","org.axonframework.test.aggregate",2,19,75,7,""
"axon-messaging-4.9.1","org.axonframework.common.jdbc",3,18,60,7,""
"axon-modelling-4.9.1","org.axonframework.modelling.saga",12,33,42,7,""
"axon-messaging-4.9.1","org.axonframework.tracing",0,18,118,8,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.replay",0,10,118,8,""
"axon-messaging-4.9.1","org.axonframework.commandhandling.gateway",7,34,94,8,""
"axon-messaging-4.9.1","org.axonframework.eventhandling",10,99,82,8,""
"axon-messaging-4.9.1","org.axonframework.messaging",9,34,132,9,""
"axon-messaging-4.9.1","org.axonframework.deadline",9,13,132,9,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing.eventstore",11,30,84,9,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing",5,41,91,10,""
"axon-modelling-4.9.1","org.axonframework.modelling.saga.repository",12,15,42,10,""
"axon-disruptor-4.9.1","org.axonframework.disruptor.commandhandling",6,22,117,11,""
"axon-messaging-4.9.1","org.axonframework.eventhandling",8,99,84,11,""
"axon-disruptor-4.9.1","org.axonframework.disruptor.commandhandling",2,22,75,11,""
"axon-test-4.9.1","org.axonframework.test.aggregate",4,19,66,11,""
"axon-modelling-4.9.1","org.axonframework.modelling.command",1,54,141,12,""
"axon-messaging-4.9.1","org.axonframework.messaging",0,34,118,12,""
"axon-messaging-4.9.1","org.axonframework.messaging.deadletter",7,19,94,12,""
"axon-messaging-4.9.1","org.axonframework.eventhandling",0,99,118,13,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.async",3,15,60,13,""
"axon-modelling-4.9.1","org.axonframework.modelling.command",6,54,117,15,""
"axon-test-4.9.1","org.axonframework.test.saga",4,21,66,15,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing.eventstore",10,30,82,17,""
"axon-messaging-4.9.1","org.axonframework.eventhandling",3,99,60,17,""
"axon-messaging-4.9.1","org.axonframework.commandhandling",6,31,117,19,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.pooled",11,21,84,20,""
"axon-modelling-4.9.1","org.axonframework.modelling.command",2,54,75,20,""
"axon-modelling-4.9.1","org.axonframework.modelling.saga",1,33,141,21,""
"axon-modelling-4.9.1","org.axonframework.modelling.command.inspection",1,26,141,21,""
"axon-test-4.9.1","org.axonframework.test.matchers",4,24,66,22,""
"axon-messaging-4.9.1","org.axonframework.messaging.annotation",1,54,141,23,""
"axon-messaging-4.9.1","org.axonframework.commandhandling.distributed",6,26,117,23,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing",2,41,75,23,""
"axon-messaging-4.9.1","org.axonframework.commandhandling.gateway",6,34,117,25,""
"axon-messaging-4.9.1","org.axonframework.serialization",9,33,132,28,""
"axon-messaging-4.9.1","org.axonframework.messaging.annotation",0,54,118,29,""
"axon-messaging-4.9.1","org.axonframework.eventhandling",11,99,84,36,""
"axon-messaging-4.9.1","org.axonframework.queryhandling",5,47,91,41,""
