"communityId","artifactCount","packageCount","typeCount","artifactNames","packageNames","typeNames","Source Cypher File: Community_Detection/Which_type_community_spans_several_artifacts_and_how_are_the_types_distributed.cypher"
0,5,21,77,"axon-test-4.8.2,axon-eventsourcing-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2,axon-configuration-4.8.2","saga,server,eventsourcing,inspection,repository,common,jpa,legacyjpa,deadline,eventhandling,gateway,pooled,lifecycle,messaging,deadletter,unitofwork,monitoring,event,util,config","RecordingListenerInvocationErrorHandler,AxonServerContainer,AxonServerContainerUtils,Snapshotter,AggregateMetaModelFactory,ResourceInjector,NoResourceInjector,Assert,AxonThreadFactory,SimpleEntityManagerProvider,DeadlineManager,TrackingEventProcessor$Builder,MultiEventHandlerInvoker,EventProcessingStrategy,SubscribingEventProcessor$Builder,ErrorHandler,TrackingEventProcessorConfiguration,AbstractEventProcessor$Builder,EventProcessor,SubscribingEventProcessor,EventHandlerInvoker,ListenerInvocationErrorHandler,EventGateway,PooledStreamingEventProcessor$Builder,LifecycleHandlerInvocationException,Lifecycle$LifecycleHandler,Lifecycle$LifecycleRegistry,Lifecycle,StreamableMessageSource,Distributed,MessageHandlerInterceptorSupport,SubscribableMessageSource,EnqueuePolicy,RollbackConfiguration,MessageMonitor,EventUpcasterChain,HandlerTypeResolver,LifecycleHandlerInspector,SagaConfigurer,AggregateConfigurer,EventProcessingModule,AggregateConfiguration,DefaultConfigurer$1,Configuration,EventProcessingModule$ProcessingGroupSelector,Component,LifecycleHandlerInspector$LifecycleRegistration,ConfigurationScopeAwareProvider,DefaultConfigurer$LifecycleState,ProcessingGroup,Configurer,LifecycleOperations,EventProcessingModule$TypeProcessingGroupSelector,TagsConfiguration,EventProcessingModule$1,LifecycleHandlerInspector$1,EventProcessingConfigurer$EventProcessorBuilder,EventProcessingConfigurer$DeadLetteringInvokerConfiguration,ModuleConfiguration,DefaultConfigurer,ConfigurerModule,EventProcessingModule$InstanceToTypeProcessingGroupSelectorAdapter,DefaultConfigurer$ConfigurationImpl,SagaConfiguration,MessageHandlerRegistrar,EventProcessingModule$InstanceProcessingGroupSelector,SagaConfigurer$SagaConfigurationImpl,MessageMonitorFactory,EventProcessingConfigurer$PooledStreamingProcessorConfiguration,LifecycleHandler,ConfigurationParameterResolverFactory,MessageMonitorFactoryBuilder,EventProcessingConfigurer,Configuration$1,EventProcessingConfiguration,ConfigurationResourceInjector",""
1,5,19,87,"axon-disruptor-4.8.2,axon-eventsourcing-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2,axon-test-4.8.2","commandhandling,eventsourcing,eventstore,command,inspection,legacyjpa,saga,repository,common,caching,lock,eventhandling,lifecycle,messaging,interceptors,legacyvalidation,queryhandling,aggregate,matchers","DisruptorCommandBus,DisruptorCommandBus$1,CommandHandlerInvoker$1,DisruptorCommandBus$ExceptionHandler,DisruptorCommandBus$DisruptorRepository,CommandHandlerInvoker,FirstLevelCache$1,FirstLevelCache$WeakValue,CommandHandlerInvoker$DisruptorRepository,FirstLevelCache,SnapshotTriggerDefinition,NoSnapshotTriggerDefinition$NoSnapshotTrigger,AggregateSnapshotter$1,EventCountSnapshotTriggerDefinition,AggregateSnapshotter$Builder,SnapshotTrigger,AggregateLoadTimeSnapshotTriggerDefinition$AggregateLoadTimeSnapshotTrigger,NoSnapshotTriggerDefinition,EventSourcedAggregate,AggregateLoadTimeSnapshotTriggerDefinition,EventCountSnapshotTriggerDefinition$EventCountSnapshotTrigger,EventSourcedAggregate$IgnoreApplyMore,EventSourcingRepository$Builder,GenericAggregateFactory,AbstractSnapshotter$Builder,AggregateSnapshotter$SnapshotAggregate,AggregateFactory,IncompatibleAggregateException,CachingEventSourcingRepository,AggregateCacheEntry,NoSnapshotTriggerDefinition$1,AggregateSnapshotter,EventSourcingRepository,AggregateDeletedException,EventStore,LockAwareAggregate$LockSupplier,RepositoryProvider,ConflictingModificationException,AbstractRepository,ApplyMore,AggregateScopeDescriptor,AggregateLifecycle,ConcurrencyException,ConflictingAggregateVersionException,LockAwareAggregate,AggregateNotFoundException,LockingRepository,Aggregate,AbstractRepository$Builder,GenericJpaRepository,AggregateInvocationException,GenericJpaRepository$Builder,LockingRepository$Builder,AggregateEntityNotFoundException,Repository,ForwardingCommandMessageHandlingMember,AggregateModel,AnnotatedAggregate,SagaInstantiationException,SagaCreationException,AxonNonTransientException,DirectExecutor,Cache,Lock,LockFactory,NoOpLock,NullLockFactory,EventBus,DomainEventSequenceAware,ShutdownInProgressException,ShutdownLatch,ShutdownLatch$ActivityHandle,IllegalPayloadAccessException,Scope,JSR303ViolationException,CompletedEmitterException,StubAggregateLifecycleExtension,StubAggregateLifecycleRule,StubAggregateLifecycleRule$1,AggregateTestFixture$IdentifierValidatingRepository,AggregateTestFixture$InMemoryRepository,StubAggregateLifecycle$1,StubAggregateLifecycle,MatcherExecutionException",""
3,4,13,123,"axon-disruptor-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2,axon-test-4.8.2","commandhandling,command,callbacks,distributed,commandfilter,gateway,common,tokenstore,messaging,annotation,saga,utils","BlacklistDetectingCallback,CommandHandlingEntry$RepeatingCommandHandler,DisruptorCommandBus$Builder,CommandHandlingEntry,AggregateStateCorruptedException,DisruptorUnitOfWork,AggregateBlacklistedException,DisruptorCommandBus$FailureLoggingCommandCallback,EventPublisher$ReportResultTask,EventPublisher,EventPublisher$1,CommandHandlingEntry$1,VersionedAggregateIdentifier,AggregateAnnotationCommandHandler$Builder,IdentifierMissingException,AggregateAnnotationCommandHandler$AggregateConstructorCommandHandler,AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,AnnotationCommandTargetResolver,CreationPolicy,AggregateAnnotationCommandHandler$AlwaysCreateAggregateCommandHandler,TargetAggregateIdentifier,TargetAggregateVersion,MetaDataCommandTargetResolver,AnnotationCommandTargetResolver$Builder,CreationPolicyAggregateFactory,AggregateAnnotationCommandHandler,AggregateAnnotationCommandHandler$1,CommandTargetResolver,NoArgumentConstructorCreationPolicyAggregateFactory,AggregateAnnotationCommandHandler$AggregateCommandHandler,AggregateCreationPolicy,RoutingKey,WrappedCommandCallback,MonitorAwareCallback,CommandMessageHandler,CommandCallback,CommandBus,AsynchronousCommandBus,GenericCommandResultMessage,DuplicateCommandHandlerResolver,AsynchronousCommandBus$Builder,DuplicateCommandHandlerSubscriptionException,NoHandlerForCommandException,LoggingDuplicateCommandHandlerResolver,CommandResultMessage,SimpleCommandBus$Builder,FailingDuplicateCommandHandlerResolver,DuplicateCommandHandlerResolution,CommandMessage,SimpleCommandBus,FutureCallback,FailureLoggingCallback,LoggingCallback,NoOpCallback,CommandDispatchException,CommandCallbackRepository,DistributedCommandBus$Builder,AbstractRoutingStrategy,RoutingStrategy,Member,ConsistentHash,CommandCallbackWrapper,CommandBusConnectorCommunicationException,UnresolvedRoutingKeyPolicy,MetaDataRoutingStrategy,AnnotationRoutingStrategy,ConsistentHashChangeListener,CommandRouter,CommandMessageFilter,AnnotationRoutingStrategy$RoutingKeyResolver,CommandBusConnector,AnnotationRoutingStrategy$Builder,ConsistentHash$1,ConsistentHash$ConsistentHashMember,SimpleMember,MetaDataRoutingStrategy$Builder,DistributedCommandBus,CommandNameFilter,AcceptAll,AndCommandMessageFilter,NegateCommandMessageFilter,DenyCommandNameFilter,OrCommandMessageFilter,DenyAll,CommandGatewayFactory$Builder,CommandGatewayFactory,CommandGatewayFactory$DispatchOnInvocationHandler,AbstractCommandGateway,CommandGatewayFactory$GatewayInvocationHandler,CommandGatewayFactory$1,CommandGatewayFactory$InvocationHandler,CommandGatewayFactory$WaitForResult,RetryScheduler,CommandGatewayFactory$WrapNonDeclaredCheckedExceptions,CommandGatewayFactory$WaitForResultWithFixedTimeout,CommandGatewayFactory$FireAndForget,CommandGatewayFactory$MetaDataExtractor,CommandGatewayFactory$GatewayInvocationHandler$Builder,DefaultCommandGateway$Builder,Timeout,DefaultCommandGateway,CommandGatewayFactory$DispatchOnInvocationHandler$Builder,RetryingCallback,RetryingCallback$1,CommandGatewayFactory$CompositeCallback,CommandGatewayFactory$TypeSafeCallbackWrapper,AbstractCommandGateway$Builder,CommandGatewayFactory$WaitForResultWithTimeoutInArguments,RetryingCallback$RetryDispatch,AxonTransientException,UnableToInitializeTokenException,MessageHandler,MessageDispatchInterceptor,MessageDispatchInterceptorSupport,MessageHandlerInterceptor,MetaDataValue,SagaTestFixture$ReturnResultFromStub,CommandValidator,SagaTestFixture$StubAwareCommandGatewayFactory,SagaTestFixture$StubAwareCommandGatewayFactory$Builder,RecordingCommandBus,CallbackBehavior,DefaultCallbackBehavior",""
4,4,20,119,"axon-eventsourcing-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2,axon-test-4.8.2","eventsourcing,jpa,legacyjpa,command,inspection,saga,metamodel,repository,commandhandling,common,annotation,digest,property,eventhandling,replay,tracing,matchers","EventSourcingHandler,SQLErrorCodesResolver,CommandHandlerInterceptor,AggregateRoot,AggregateMember,AggregateIdentifier,ForwardNone,ForwardToAll,ForwardMatchingInstances,EntityId,ForwardingMode,AggregateVersion,AggregateMemberAnnotatedChildEntityMapDefinition,AggregateMemberAnnotatedChildEntityCollectionDefinition,MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember,AnnotatedAggregateMetaModelFactory,CreationPolicyMember,AggregateMemberAnnotatedChildEntityDefinition,AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel,AggregateModellingException,ChildEntityDefinition,AnnotatedChildEntity,AnnotatedCommandHandlerInterceptor,MethodCreationPolicyDefinition,CommandHandlerInterceptorHandlingMember,AbstractChildEntityDefinition,MethodCreationPolicyDefinition$1,ChildForwardingCommandMessageHandlingMember,MethodCommandHandlerInterceptorDefinition,ChildEntity,MethodCommandHandlerInterceptorDefinition$MethodCommandHandlerInterceptorHandlingMember,EntityModel,MethodCommandHandlerInterceptorDefinition$1,AnnotatedSagaManager,SagaMethodMessageHandlingMember,SagaMethodMessageHandlerDefinition,SagaRepository,AbstractSagaManager$Builder,AbstractResourceInjector,EndSagaMessageHandlerDefinition,MetaDataAssociationResolver,EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember,AnnotatedSagaManager$Builder,PayloadAssociationResolver,SagaCreationPolicy,SagaEventHandler,AssociationResolver,AnnotationSagaMetaModelFactory$InspectedSagaModel,AnnotationSagaMetaModelFactory,SagaModel,SagaMetaModelFactory,LockingSagaRepository$Builder,LockingSagaRepository,AnnotatedSagaRepository$Builder,CommandMessageHandlingMember,MethodCommandHandlerDefinition,AnnotationCommandHandlerAdapter,MethodCommandHandlerDefinition$1,CommandHandler,MethodCommandHandlerDefinition$MethodCommandMessageHandlingMember,AxonConfigurationException,ReflectionUtils,ListUtils,MemberAccessibilityCallback,IdentifierValidator,ExceptionUtils,PriorityAnnotationComparator,AnnotationUtils,Digester,UniformPropertyAccessStrategy,DirectlyAccessedProperty,MethodAccessedProperty,Property,PropertyAccessStrategy,DirectPropertyAccessStrategy,AbstractMethodPropertyAccessStrategy,PropertyAccessException,BeanPropertyAccessStrategy,DeadlineMethodMessageHandlerDefinition$DeadlineMethodMessageHandlingMember,DeadlineHandlingMember,DeadlineMethodMessageHandlerDefinition$1,DeadlineHandler,DeadlineMethodMessageHandlerDefinition,EventHandler,AnnotationEventHandlerAdapter,AllowReplay,DisallowReplay,ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember,ReplayAwareMessageHandlerWrapper,AnnotatedHandlerInspector$1,HandlerComparator,WrappedMessageHandlingMember,MessageHandlerInterceptorMemberChain,ClasspathParameterResolverFactory,HandlerEnhancerDefinition,MultiHandlerEnhancerDefinition,NoMoreInterceptors,MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,MultiHandlerDefinition,MessageHandlerInterceptorDefinition,MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember,AnnotatedHandlerInspector,ClasspathHandlerDefinition,MessageInterceptingMember,MessageHandlingMember,AnnotatedMessageHandlingMemberDefinition,MultiParameterResolverFactory,ParameterResolverFactory,HandlerDefinition,ClasspathHandlerEnhancerDefinition,AnnotatedHandlerInspector$ChainedMessageHandlerInterceptorMember,UnsupportedHandlerException,MethodQueryMessageHandlerDefinition,MethodQueryMessageHandlerDefinition$MethodQueryMessageHandlingMember,TracingHandlerEnhancerDefinition$Builder,TracingHandlerEnhancerDefinition$1,TracingHandlerEnhancerDefinition,NonTransientFieldsFilter",""
9,4,26,142,"axon-eventsourcing-4.8.2,axon-modelling-4.8.2,axon-messaging-4.8.2,axon-test-4.8.2","eventsourcing,inspection,saga,commandhandling,common,transaction,deadline,dbscheduler,jobrunr,quartz,eventhandling,replay,lifecycle,messaging,annotation,correlation,deadletter,interceptors,legacyvalidation,unitofwork,queryhandling,serialization,tracing,attributes,test,matchers","AbstractSnapshotter$RunnableAndFinally,AbstractSnapshotter$CreateSnapshotTask,AbstractSnapshotter$SilentTask,AbstractSnapshotter$1,AbstractSnapshotter$AggregateTypeId,AbstractSnapshotter,AnnotatedAggregate$LazyIdentifierDomainEventMessage,EndSaga,StartSaga,CurrentUnitOfWorkParameterResolverFactory,GenericCommandMessage,IdentifierFactory,DefaultIdentifierFactory,Priority,NoTransactionManager,NoTransactionManager$1,SimpleDeadlineManager$DeadlineTask,SimpleDeadlineManager,SimpleDeadlineManager$1,SimpleDeadlineManager$Builder,GenericDeadlineMessage,SimpleDeadlineManager$DeadlineId,DeadlineException,DbSchedulerDeadlineManager,DbSchedulerDeadlineManager$Builder,DbSchedulerDeadlineToken,DeadlineManagerNotSetException,JobRunrDeadlineManager$Builder,LabelUtils,JobRunrDeadlineManager,DeadlineJob,QuartzDeadlineManager,QuartzDeadlineManager$Builder,SequenceNumberParameterResolverFactory,GenericDomainEventMessage,ReplayStatus,TimestampParameterResolverFactory$TimestampParameterResolver,SequenceNumber,ConcludesBatchParameterResolverFactory,SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver,TrackingTokenParameterResolverFactory$1,TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver,TrackingTokenParameterResolverFactory,TimestampParameterResolverFactory,Timestamp,GenericTrackedDomainEventMessage,ResetHandler,GenericEventMessage,ConcludesBatch,GenericResetContext,ReplayContextParameterResolverFactory$ReplayContextParameterResolver,ReplayContext,ReplayParameterResolverFactory$ReplayParameterResolver,ReplayParameterResolverFactory$1,ReplayContextParameterResolverFactory,ReplayParameterResolverFactory,ResetContext,ShutdownHandler,StartHandler,MessageDecorator,ScopeDescriptor,InterceptorChain,Message,AbstractMessage,ScopeAwareProvider,SimpleHandlerAttributes,GenericResultMessage,ResultMessage,ScopeAware,GenericMessage,NoScopeDescriptor,ExecutionException,HandlerAttributes,PayloadParameterResolver,SimpleResourceParameterResolverFactory,ParameterResolver,InterceptorChainParameterResolverFactory,AnnotatedMessageHandlingMember,DefaultParameterResolverFactory$MetaDataParameterResolver,DefaultParameterResolverFactory,HasHandlerAttributes,ScopeDescriptorParameterResolverFactory,ScopeDescriptorParameterResolverFactory$1,AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,ScopeDescriptorParameterResolverFactory$ScopeDescriptorParameterResolver,AbstractAnnotatedParameterResolverFactory,MessageIdentifier,ResultParameterResolverFactory$1,MessageIdentifierParameterResolverFactory$MessageIdentifierParameterResolver,ResultParameterResolverFactory$ExceptionResultParameterResolver,SourceIdParameterResolverFactory,MessageHandler,AnnotatedHandlerAttributes,ResultParameterResolverFactory,SourceIdParameterResolverFactory$SourceIdParameterResolver,MessageIdentifierParameterResolverFactory,AggregateTypeParameterResolverFactory,DefaultParameterResolverFactory$AnnotatedMetaDataParameterResolver,SourceId,FixedValueParameterResolver,DefaultParameterResolverFactory$MessageParameterResolver,AggregateType,MessageOriginProvider,DeadLetterParameterResolverFactory$DeadLetterParameterResolver,DeadLetterParameterResolverFactory,MessageHandlerInterceptor,LoggingInterceptor,ExceptionHandler,ResultHandler,BeanValidationInterceptor,BatchingUnitOfWork,MessageProcessingContext,ExecutionResult,DefaultUnitOfWork,SimpleQueryBus$CatchLastError,GenericQueryResponseMessage,GenericSubscriptionQueryUpdateMessage,CachingSupplier,SpanScope,NoOpSpanFactory$NoOpSpan,MultiSpanFactory,LoggingSpanFactory$Slf4jSpan$Slf4jSpanScope,NestingSpanFactory,NestingSpanFactory$Builder,LoggingSpanFactory$Slf4jSpan,SpanFactory,Span,SpanUtils,NoOpSpanFactory,SpanAttributesProvider,MultiSpanFactory$MultiSpan,LoggingSpanFactory,LoggingSpanFactory$1,MetadataSpanAttributesProvider,MessageTypeSpanAttributesProvider,PayloadTypeSpanAttributesProvider,MessageIdSpanAttributesProvider,MessageNameSpanAttributesProvider,FixtureResourceParameterResolverFactory,FixtureResourceParameterResolverFactory$FailingParameterResolver,PayloadsMatcher",""
5,3,21,93,"axon-modelling-4.8.2,axon-messaging-4.8.2,axon-eventsourcing-4.8.2","jpa,distributed,dbscheduler,jobrunr,quartz,eventhandling,legacyjpa,scheduling,messaging,serialization,converters,json,upcasting,event,xml,eventsourcing,eventstore","AbstractSagaEntry,DispatchMessage,ReplyMessage,DbSchedulerBinaryDeadlineDetails,DbSchedulerHumanReadableDeadlineDetails,DeadlineDetails,DeadlineJob$DeadlineJobDataBinder,EventData,AbstractDomainEventEntry,AbstractEventEntry,EventUtils,AbstractSequencedDomainEventEntry,EventMessageDeadLetterJpaConverter,DeadLetterEventEntry,JobRunrEventScheduler$Builder,JobRunrScheduleToken,JobRunrEventScheduler,SchedulingException,EventScheduler,ScheduleToken,DbSchedulerBinaryEventData,DbSchedulerHumanReadableEventData,DbSchedulerEventScheduler$Builder,DbSchedulerEventScheduler,DbSchedulerScheduleToken,EventSchedulerNotSetException,QuartzEventScheduler,QuartzEventScheduler$Builder,QuartzScheduleToken,EventJobDataBinder,QuartzEventScheduler$DirectEventJobDataBinder,RemoteHandlingException,RemoteExceptionDescription,RemoteNonTransientHandlingException,ChainedConverter$Route,Serializer,SerializedMetaData,SerializedType,AnnotationRevisionResolver,SerializedObject,SerializedMessage,FixedValueRevisionResolver,ChainedConverter$1,CannotConvertBetweenTypesException,SimpleSerializedObject,AbstractXStreamSerializer$Builder,LazyDeserializingObject,SerializedObjectHolder,JavaSerializer$Builder,RevisionResolver,SimpleSerializedType,ChainedConverter,Converter,SerialVersionUIDRevisionResolver,UnknownSerializedType,Revision,ContentTypeConverter,JavaSerializer,ChainedConverter$RouteCalculator,SerializationException,ChainingConverter,AbstractXStreamSerializer,InputStreamToByteArrayConverter,ByteArrayToInputStreamConverter,ByteArrayToStringConverter,BlobToInputStreamConverter,StringToByteArrayConverter,ByteArrayToJsonNodeConverter,JacksonSerializer$Builder,JacksonSerializer,JsonNodeToObjectNodeConverter,ObjectNodeToJsonNodeConverter,JsonNodeToByteArrayConverter,SingleEntryUpcaster,SingleEventUpcaster,EventTypeUpcaster$Builder,UpcastedEventRepresentation,EventTypeUpcaster,NoOpEventUpcaster,IntermediateEventRepresentation,InitialEventRepresentation,CompactDriver,InputStreamToXomConverter,Dom4JToByteArrayConverter,XomToStringConverter,XStreamSerializer$Builder,InputStreamToDom4jConverter,XStreamSerializer,EventStreamUtils,AbstractSnapshotEventEntry$PK,EqualRevisionPredicate,AbstractSnapshotEventEntry",""
11,3,8,35,"axon-modelling-4.8.2,axon-messaging-4.8.2,axon-test-4.8.2","saga,repository,inmemory,jdbc,jpa,legacyjpa","AnnotatedSaga,SagaExecutionException,AssociationValue,SagaStorageException,SagaLifecycle,AssociationValues,AssociationValuesImpl,CachingSagaStore,AssociationValueMap,AssociationValueMap$AssociationValueComparator,CachingSagaStore$Builder,AssociationValueMap$1,AssociationValueMap$SagaAssociationValue,AnnotatedSagaRepository,SagaStore$Entry,SagaStore,CachingSagaStore$CacheEntry,InMemorySagaStore$ManagedSaga,InMemorySagaStore,JdbcSagaStore,JdbcSagaStore$Builder,SagaSqlSchema,JdbcSagaStore$EntryImpl,AssociationValueEntry,JpaSagaStore$Builder,SagaEntry,JpaSagaStore$EntryImpl,SerializedSaga,JpaSagaStore,ConnectionProvider,DataSourceConnectionProvider,RepositoryContentValidator",""
12,3,13,85,"axon-modelling-4.8.2,axon-messaging-4.8.2,axon-eventsourcing-4.8.2","saga,io,stream,eventhandling,pooled,tokenstore,inmemory,serialization,util,eventsourcing,eventstore,legacyjpa","SagaScopeDescriptor,AbstractSagaManager,SagaInitializationPolicy,Saga,IOUtils,StreamUtils$1,StreamUtils,BlockingStream,MultiStreamableMessageSource$SourceIdAwareBlockingStream,TrackingToken,TrackingEventProcessor$SplitSegmentInstruction,EventTrackerStatus,MultiSourceTrackingToken,TrackedEventMessage,TrackingEventProcessor$TrackingSegmentWorker,MultiStreamableMessageSource,TrackingEventStream,EventTrackerStatusChangeListener,RemovedTrackerStatus,MultiStreamableMessageSource$IdentifiedStreamableMessageSource,MultiStreamableMessageSource$Builder,TrackingEventProcessor,TrackerStatus,AddedTrackerStatus,WrappedToken,TrackingEventProcessor$MergeSegmentInstruction,Segment,MergedTrackingToken,GenericTrackedEventMessage,TrackingEventProcessor$WrappedMessageStream,GlobalSequenceTrackingToken,TrackingEventProcessor$WorkerLauncher,ResetNotSupportedException,TrackingEventProcessor$Instruction,MultiStreamableMessageSource$MultiSourceBlockingStream,TrackingEventProcessor$State,TrackingEventProcessor$1,WrappedTrackerStatus,StreamingEventProcessor,ReplayToken,TrackingEventProcessor$Worker,WorkPackage$1,Coordinator$RunState,WorkPackage$DefaultProcessingEntry,PooledStreamingEventProcessor,Coordinator$NoToken,Coordinator$CoordinationTask,Coordinator$EventFilter,MergeTask,Coordinator,WorkPackage$Builder,Coordinator$Builder,Coordinator$1,WorkPackage,WorkPackage$BatchProcessor,WorkPackage$BatchProcessingEntry,SplitTask,WorkPackage$ProcessingEntry,WorkPackage$EventFilter,CoordinatorTask,TokenStore,InMemoryTokenStore$ProcessAndSegment,InMemoryTokenStore,MavenArtifactRevisionResolver,MavenArtifactVersionResolver,EmbeddedEventStore$EventProducer,EmbeddedEventStore$Cleaner,EmbeddedEventStore$1,EmbeddedEventStore,EmbeddedEventStore$Node,AbstractEventStore$Builder,SequenceEventStorageEngine$ConcatenatingSpliterator,EmbeddedEventStore$EventConsumer,EmbeddedEventStore$Builder,InMemoryEventStorageEngine,InMemoryEventStorageEngine$MapEntrySpliterator",""
14,3,9,63,"axon-modelling-4.8.2,axon-messaging-4.8.2,axon-test-4.8.2","saga,deadline,test,aggregate,matchers,utils,eventscheduler","SimpleResourceInjector,AbstractDeadlineManager,DeadlineMessage,AxonAssertionError,FixtureExecutionException,FixtureConfiguration,AggregateTestFixture$RecordingEventStore,AggregateTestFixture$ComparationEntry,ResultValidator,AggregateTestFixture$ExecutionExceptionAwareCallback,AggregateTestFixture,AggregateTestFixture$1,ResultValidatorImpl,AggregateTestFixture$DefaultRepositoryProvider,TestExecutor,Reporter,AggregateTestFixture$CreationalRepository,PredicateMatcher,ListMatcher,NonStaticFieldsFilter,EmptyCollectionMatcher,EqualsMatcher,MapEntryMatcher$Matching,DeepEqualsMatcher,FieldFilter,ExactClassMatcher,ListWithAllOfMatcher,SequenceMatcher,Matchers,MatchAllFieldFilter,PayloadMatcher,ExactSequenceMatcher,IgnoreField,NullOrVoidMatcher,AllFieldsFilter,MapEntryMatcher,EqualFieldsMatcher,ListWithAnyOfMatcher,WhenState,SagaTestFixture$MutableFieldFilter,DescriptionUtils,ContinuedGivenState,GivenAggregateEventPublisher,FixtureExecutionResult,FixtureExecutionResultImpl,SagaTestFixture$AggregateEventPublisherImpl,WhenAggregateEventPublisher,EventValidator,SagaTestFixture$WrappingResourceInjector,SagaTestFixture$TransienceValidatingResourceInjector,SagaTestFixture$1,SagaTestFixture,AutowiredResourceInjector,StubDeadlineManager,DeadlineManagerValidator,DeadlineConsumer,ScheduledDeadlineInfo,StubEventScheduler,ScheduledItem,StubScheduleToken,EventSchedulerValidator,EventConsumer",""
2,2,19,93,"axon-messaging-4.8.2,axon-eventsourcing-4.8.2","common,jdbc,jpa,legacyjpa,transaction,eventhandling,messaging,serialization,upcasting,event,attributes,eventsourcing,conflictresolution,eventstore,statements,snapshotting","CollectionUtils,PersistenceExceptionResolver,PagingJpaQueryIterable$PagingIterator,PagingJpaQueryIterable,TransactionManager,GapAwareTrackingToken,TrackedDomainEventData,DomainEventData,TrackedEventData,DomainEventMessage,GenericDomainEventEntry,Headers,GapAwareTrackingTokenConverter$ReflectivelyConstructedGapSetConverter,GapAwareTrackingTokenConverter,SingleEntryMultiUpcaster,Upcaster,ContextAwareSingleEntryMultiUpcaster,ContextAwareSingleEntryUpcaster,GenericUpcasterChain,ContextAwareSingleEventUpcaster,ContextAwareEventMultiUpcaster,EventMultiUpcaster,EventUpcaster,AggregateIdentifierSpanAttributesProvider,FilteringEventStorageEngine,AbstractAggregateFactory,AbstractSnapshotTrigger,DefaultConflictDescription,ConflictDescription,ConflictExceptionSupplier,ContextAwareConflictExceptionSupplier,NoConflictResolver,Conflicts,ConflictResolution,DefaultConflictResolver,ConflictResolver,FilteringDomainEventStream,EventStorageEngine,DomainEventStream,AbstractEventStorageEngine,BatchingEventStorageEngine$EventStreamSpliterator,EventStoreException,BatchingEventStorageEngine,AbstractEventStorageEngine$Builder,SequenceEventStorageEngine$ConcatenatingDomainEventStream,SequenceEventStorageEngine,DomainEventStream$1,BatchingEventStorageEngine$1,ConcatenatingDomainEventStream,AbstractEventStore,DomainEventStream$2,BatchingEventStorageEngine$Builder,IteratorBackedDomainEventStream,EventSchema$1,PostgresEventTableFactory,AbstractEventTableFactory,EventSchema$Builder,JdbcSQLErrorCodesResolver,JdbcEventStorageEngine$Builder,Oracle11EventTableFactory,EventTableFactory,JdbcEventStorageEngine,HsqlEventTableFactory,MySqlEventTableFactory,EventSchema,JdbcEventStorageEngine$1,ReadSnapshotDataStatementBuilder,TimestampWriter,ReadEventDataForAggregateStatementBuilder,LastSequenceNumberForStatementBuilder,ReadEventDataWithGapsStatementBuilder,CreateTokenAtStatementBuilder,AppendEventsStatementBuilder,ReadEventDataWithoutGapsStatementBuilder,JdbcEventStorageEngineStatements,AppendSnapshotStatementBuilder,FetchTrackedEventsStatementBuilder,CreateHeadTokenStatementBuilder,CreateTailTokenStatementBuilder,DeleteSnapshotsStatementBuilder,CleanGapsStatementBuilder,SQLStateResolver,JpaEventStorageEngine$Builder,JpaEventStorageEngine,DomainEventEntry,SnapshotEventEntry,RevisionSnapshotFilter$Builder,RevisionSnapshotFilter,SnapshotFilter",""
