"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Overview/Effective_lines_of_method_code_per_type.cypher"
"axon-configuration-4.6.8","org.axonframework.config","EventProcessingModule",430,42,"<init>",6,"noSagaProcessorCustomization",""
"axon-messaging-4.6.8","org.axonframework.eventhandling","TrackingEventProcessor",368,64,"processBatch",21,"processBatch",""
"axon-configuration-4.6.8","org.axonframework.config","DefaultConfigurer",354,39,"<init>",7,"invokeLifecycleHandlers",""
"axon-messaging-4.6.8","org.axonframework.eventhandling.tokenstore.jdbc","JdbcTokenStore",312,26,"updateToken",9,"updateToken",""
"axon-test-4.6.8","org.axonframework.test.aggregate","AggregateTestFixture",267,22,"ensureValuesEqual",13,"ensureValuesEqual",""
"axon-messaging-4.6.8","org.axonframework.queryhandling","SimpleQueryBus",236,36,"doQuery",11,"doQuery",""
"axon-eventsourcing-4.6.8","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine",229,24,"getTrackedEventData",7,"lambda$cleanGaps$37",""
"axon-messaging-4.6.8","org.axonframework.eventhandling.pooled","Coordinator$CoordinationTask",227,70,"run",21,"run",""
"axon-modelling-4.6.8","org.axonframework.modelling.command.inspection","AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",225,24,"inspectFieldsAndMethods",9,"prepareHandlers",""
"axon-messaging-4.6.8","org.axonframework.eventhandling.deadletter.jpa","JpaSequencedDeadLetterQueue",214,18,"requeue",6,"process",""
"axon-test-4.6.8","org.axonframework.test.aggregate","Reporter",207,45,"appendEventOverview",11,"appendEventOverview",""
"axon-test-4.6.8","org.axonframework.test.aggregate","ResultValidatorImpl",200,15,"expectExceptionDetails",7,"verifyPayloadEquality",""
"axon-configuration-4.6.8","org.axonframework.config","AggregateConfigurer",165,23,"lambda$new$28",5,"lambda$new$28",""
"axon-eventsourcing-4.6.8","org.axonframework.eventsourcing.eventstore.jpa","JpaEventStorageEngine",155,25,"fetchTrackedEvents",8,"fetchTrackedEvents",""
"axon-messaging-4.6.8","org.axonframework.eventhandling.pooled","WorkPackage",153,21,"processEvents",7,"processEvents",""
"axon-test-4.6.8","org.axonframework.test.saga","SagaTestFixture",150,27,"<init>",5,"handleInSaga",""
"axon-eventsourcing-4.6.8","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine$Builder",150,23,"<init>",2,"lambda$assertPositive$1",""
"axon-modelling-4.6.8","org.axonframework.modelling.command.inspection","AnnotatedAggregate",149,16,"handle",5,"invoke",""
"axon-modelling-4.6.8","org.axonframework.modelling.saga.repository.jdbc","JdbcSagaStore",140,38,"updateSaga",8,"updateSaga",""
"axon-messaging-4.6.8","org.axonframework.messaging.deadletter","InMemorySequencedDeadLetterQueue",137,33,"process",9,"process",""
"axon-messaging-4.6.8","org.axonframework.eventhandling.tokenstore.jpa","JpaTokenStore",133,19,"storeToken",5,"validateSegment",""
"axon-disruptor-4.6.8","org.axonframework.disruptor.commandhandling","DisruptorCommandBus",128,32,"<init>",8,"doDispatch",""
"axon-messaging-4.6.8","org.axonframework.queryhandling","SimpleQueryUpdateEmitter",128,11,"doEmit",6,"lambda$payloadMatchesQueryResponseType$15",""
