"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-test-4.6.8",8,""
"axon-disruptor-4.6.8",1,""
"axon-modelling-4.6.8",8,""
"axon-messaging-4.6.8",55,""
"axon-eventsourcing-4.6.8",8,""
"axon-configuration-4.6.8",1,""
