"artifactName","cyclomaticComplexity","methods","Source Cypher File: Overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-configuration-4.6.8.jar",1,515,""
"axon-configuration-4.6.8.jar",2,36,""
"axon-configuration-4.6.8.jar",3,13,""
"axon-configuration-4.6.8.jar",4,3,""
"axon-configuration-4.6.8.jar",5,3,""
"axon-configuration-4.6.8.jar",6,1,""
"axon-configuration-4.6.8.jar",7,2,""
"axon-disruptor-4.6.8.jar",1,146,""
"axon-disruptor-4.6.8.jar",2,20,""
"axon-disruptor-4.6.8.jar",3,5,""
"axon-disruptor-4.6.8.jar",4,4,""
"axon-disruptor-4.6.8.jar",5,3,""
"axon-disruptor-4.6.8.jar",6,2,""
"axon-disruptor-4.6.8.jar",7,2,""
"axon-disruptor-4.6.8.jar",8,2,""
"axon-eventsourcing-4.6.8.jar",1,782,""
"axon-eventsourcing-4.6.8.jar",2,79,""
"axon-eventsourcing-4.6.8.jar",3,40,""
"axon-eventsourcing-4.6.8.jar",4,16,""
"axon-eventsourcing-4.6.8.jar",5,7,""
"axon-eventsourcing-4.6.8.jar",6,2,""
"axon-eventsourcing-4.6.8.jar",7,6,""
"axon-eventsourcing-4.6.8.jar",8,4,""
"axon-eventsourcing-4.6.8.jar",13,1,""
"axon-messaging-4.6.8.jar",1,3621,""
"axon-messaging-4.6.8.jar",2,382,""
"axon-messaging-4.6.8.jar",3,252,""
"axon-messaging-4.6.8.jar",4,117,""
"axon-messaging-4.6.8.jar",5,60,""
"axon-messaging-4.6.8.jar",6,42,""
"axon-messaging-4.6.8.jar",7,19,""
"axon-messaging-4.6.8.jar",8,10,""
"axon-messaging-4.6.8.jar",9,7,""
"axon-messaging-4.6.8.jar",10,4,""
"axon-messaging-4.6.8.jar",11,6,""
"axon-messaging-4.6.8.jar",12,3,""
"axon-messaging-4.6.8.jar",13,1,""
"axon-messaging-4.6.8.jar",14,1,""
"axon-messaging-4.6.8.jar",15,1,""
"axon-messaging-4.6.8.jar",16,1,""
"axon-messaging-4.6.8.jar",21,2,""
"axon-modelling-4.6.8.jar",1,764,""
"axon-modelling-4.6.8.jar",2,70,""
"axon-modelling-4.6.8.jar",3,33,""
"axon-modelling-4.6.8.jar",4,22,""
"axon-modelling-4.6.8.jar",5,22,""
"axon-modelling-4.6.8.jar",6,10,""
"axon-modelling-4.6.8.jar",7,2,""
"axon-modelling-4.6.8.jar",8,1,""
"axon-modelling-4.6.8.jar",9,2,""
"axon-modelling-4.6.8.jar",16,1,""
"axon-test-4.6.8.jar",1,488,""
"axon-test-4.6.8.jar",2,59,""
"axon-test-4.6.8.jar",3,49,""
"axon-test-4.6.8.jar",4,20,""
"axon-test-4.6.8.jar",5,12,""
"axon-test-4.6.8.jar",6,8,""
"axon-test-4.6.8.jar",7,4,""
"axon-test-4.6.8.jar",8,3,""
"axon-test-4.6.8.jar",9,1,""
"axon-test-4.6.8.jar",10,1,""
"axon-test-4.6.8.jar",11,2,""
"axon-test-4.6.8.jar",12,1,""
"axon-test-4.6.8.jar",13,1,""
