"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.6.8",700,"Class",515,""
"axon-messaging-4.6.8",700,"Interface",141,""
"axon-messaging-4.6.8",700,"Annotation",25,""
"axon-messaging-4.6.8",700,"Enum",19,""
"axon-modelling-4.6.8",144,"Interface",26,""
"axon-modelling-4.6.8",144,"Class",103,""
"axon-modelling-4.6.8",144,"Annotation",12,""
"axon-modelling-4.6.8",144,"Enum",3,""
"axon-eventsourcing-4.6.8",120,"Class",86,""
"axon-eventsourcing-4.6.8",120,"Interface",31,""
"axon-eventsourcing-4.6.8",120,"Enum",2,""
"axon-eventsourcing-4.6.8",120,"Annotation",1,""
"axon-test-4.6.8",85,"Class",69,""
"axon-test-4.6.8",85,"Interface",16,""
"axon-configuration-4.6.8",39,"Interface",15,""
"axon-configuration-4.6.8",39,"Class",22,""
"axon-configuration-4.6.8",39,"Annotation",1,""
"axon-configuration-4.6.8",39,"Enum",1,""
"axon-disruptor-4.6.8",22,"Class",22,""
