"dependentArtifactName","numberOfReflectionCaller","someReflectionCaller","someReflectionTypes","Source Cypher File: Java/Java_Reflection_usage.cypher"
"axon-modelling-4.9.3",156,"org.axonframework.modelling.command.LockAwareAggregate,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition,org.axonframework.modelling.command.inspection.AggregateModellingException,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder,org.axonframework.modelling.command.TargetAggregateVersion,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember,org.axonframework.modelling.saga.SagaMethodMessageHandlerDefinition,org.axonframework.modelling.saga.repository.AssociationValueMap,org.axonframework.modelling.command.ConflictingAggregateVersionException,org.axonframework.modelling.saga.repository.CachingSagaStore$Builder,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.modelling.saga.AssociationValues,org.axonframework.modelling.command.ForwardNone,org.axonframework.modelling.saga.SagaScopeDescriptor,org.axonframework.modelling.saga.DefaultSagaManagerSpanFactory,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.modelling.saga.AssociationResolver,org.axonframework.modelling.command.LockingRepository","java.lang.reflect.AccessibleObject,java.lang.reflect.Constructor,java.lang.reflect.Field,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.InvocationTargetException,java.lang.reflect.AnnotatedElement,java.lang.reflect.Executable",""
"axon-messaging-4.9.3",786,"org.axonframework.messaging.annotation.ParameterResolver,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry,org.axonframework.queryhandling.DefaultQueryGateway,org.axonframework.eventhandling.DefaultEventProcessorSpanFactory,org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker$Builder,org.axonframework.serialization.xml.XomToStringConverter,org.axonframework.common.jdbc.ConnectionWrapperFactory$NoOpCloseHandler,org.axonframework.common.stream.BlockingStream,org.axonframework.eventhandling.deadletter.legacyjpa.DeadLetterJpaConverter,org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy$SchedulerCleanUp,org.axonframework.commandhandling.distributed.MetaDataRoutingStrategy$Builder,org.axonframework.eventhandling.scheduling.java.SimpleScheduleToken,org.axonframework.messaging.interceptors.ExceptionHandler,org.axonframework.tracing.NoOpSpanFactory$NoOpSpan,org.axonframework.eventhandling.deadletter.legacyjpa.JpaDeadLetter,org.axonframework.eventhandling.replay.ReplayContext,org.axonframework.commandhandling.SimpleCommandBus,org.axonframework.commandhandling.gateway.CommandGatewayFactory$1,org.axonframework.queryhandling.GenericSubscriptionQueryMessage","java.lang.reflect.Method,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.Array,java.lang.reflect.GenericArrayType,java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.TypeVariable,java.lang.reflect.WildcardType,java.lang.reflect.Constructor,java.lang.reflect.Modifier,java.lang.reflect.InvocationTargetException,java.lang.reflect.Proxy,java.lang.reflect.Field,java.lang.reflect.InvocationHandler,java.lang.reflect.Member,java.lang.reflect.AccessibleObject,java.lang.reflect.AnnotatedElement",""
"axon-configuration-4.9.3",40,"org.axonframework.config.ConfigurerModule,org.axonframework.config.Component,org.axonframework.config.EventProcessingConfigurer$EventProcessorBuilder,org.axonframework.config.AggregateConfiguration,org.axonframework.config.SagaConfigurer$SagaConfigurationImpl,org.axonframework.config.EventProcessingConfigurer$DeadLetteringInvokerConfiguration,org.axonframework.config.EventProcessingModule$ProcessingGroupSelector,org.axonframework.config.MessageMonitorFactoryBuilder,org.axonframework.config.AxonIQConsoleModule,org.axonframework.config.ConfigurationResourceInjector,org.axonframework.config.EventProcessingConfiguration,org.axonframework.config.EventProcessingModule,org.axonframework.config.LifecycleHandlerInspector,org.axonframework.config.ConfigurationScopeAwareProvider,org.axonframework.config.ProcessingGroup,org.axonframework.config.EventProcessingModule$InstanceProcessingGroupSelector,org.axonframework.config.LifecycleHandlerInspector$LifecycleRegistration,org.axonframework.config.LifecycleHandlerInspector$1,org.axonframework.config.DefaultConfigurer","java.lang.reflect.Method,java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-disruptor-4.9.3",22,"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.AggregateBlacklistedException,org.axonframework.disruptor.commandhandling.FirstLevelCache$1,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$1,org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork,org.axonframework.disruptor.commandhandling.EventPublisher$1,org.axonframework.disruptor.commandhandling.CommandHandlingEntry$RepeatingCommandHandler,org.axonframework.disruptor.commandhandling.FirstLevelCache$WeakValue,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$1,org.axonframework.disruptor.commandhandling.CommandHandlingEntry,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.CommandHandlingEntry$1,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.FirstLevelCache,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.AggregateStateCorruptedException","",""
"axon-eventsourcing-4.9.3",133,"org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder,org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataForAggregateStatementBuilder,org.axonframework.eventsourcing.conflictresolution.ConflictDescription,org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataWithoutGapsStatementBuilder,org.axonframework.eventsourcing.EventCountSnapshotTriggerDefinition,org.axonframework.eventsourcing.AbstractSnapshotter$RunnableAndFinally,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine,org.axonframework.eventsourcing.AggregateSnapshotter$Builder,org.axonframework.eventsourcing.eventstore.DomainEventStream$1,org.axonframework.eventsourcing.AbstractSnapshotter$SilentTask,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Builder,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.package-info,org.axonframework.eventsourcing.SnapshotTrigger,org.axonframework.eventsourcing.EventSourcingRepository$Builder,org.axonframework.eventsourcing.NoSnapshotTriggerDefinition$NoSnapshotTrigger,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine$Builder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder","java.lang.reflect.Constructor,java.lang.reflect.InvocationTargetException,java.lang.reflect.Modifier,java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-test-4.9.3",87,"org.axonframework.test.saga.WhenAggregateEventPublisher,org.axonframework.test.FixtureExecutionException,org.axonframework.test.saga.FixtureExecutionResult,org.axonframework.test.saga.FixtureConfiguration,org.axonframework.test.matchers.MapEntryMatcher,org.axonframework.test.saga.SagaTestFixture$WrappingResourceInjector,org.axonframework.test.matchers.ExactClassMatcher,org.axonframework.test.matchers.FieldFilter,org.axonframework.test.saga.GivenAggregateEventPublisher,org.axonframework.test.aggregate.StubAggregateLifecycleRule$1,org.axonframework.test.matchers.DeepEqualsMatcher,org.axonframework.test.aggregate.AggregateTestFixture$ExecutionExceptionAwareCallback,org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository,org.axonframework.test.saga.SagaTestFixture$TransienceValidatingResourceInjector,org.axonframework.test.matchers.ListWithAllOfMatcher,org.axonframework.test.aggregate.TestExecutor,org.axonframework.test.deadline.ScheduledDeadlineInfo,org.axonframework.test.aggregate.AggregateTestFixture,org.axonframework.test.utils.package-info","java.lang.reflect.Field,java.lang.reflect.Modifier,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.Method",""
