"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements_per_artifact.cypher"
"axon-eventsourcing-4.9.3","javax.persistence.Id","Field",3,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.aggregateIdentifier,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.sequenceNumber,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry.type",""
"axon-eventsourcing-4.9.3","java.lang.Deprecated","Constructor",2,"org.axonframework.eventsourcing.MultiStreamableMessageSource.<init>,org.axonframework.eventsourcing.snapshotting.RevisionSnapshotFilter.<init>",""
"axon-eventsourcing-4.9.3","javax.persistence.Entity","Class",2,"org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry",""
"axon-eventsourcing-4.9.3","jakarta.persistence.Entity","Class",2,"org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry",""
"axon-eventsourcing-4.9.3","java.lang.annotation.Target","Annotation",1,"org.axonframework.eventsourcing.EventSourcingHandler",""
"axon-eventsourcing-4.9.3","org.axonframework.eventhandling.EventHandler","Annotation",1,"org.axonframework.eventsourcing.EventSourcingHandler",""
"axon-eventsourcing-4.9.3","java.lang.annotation.Documented","Annotation",1,"org.axonframework.eventsourcing.EventSourcingHandler",""
"axon-eventsourcing-4.9.3","java.lang.annotation.Retention","Annotation",1,"org.axonframework.eventsourcing.EventSourcingHandler",""
"axon-eventsourcing-4.9.3","jakarta.persistence.MappedSuperclass","Class",1,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry",""
"axon-eventsourcing-4.9.3","jakarta.persistence.IdClass","Class",1,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry",""
"axon-eventsourcing-4.9.3","javax.persistence.MappedSuperclass","Class",1,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry",""
"axon-eventsourcing-4.9.3","javax.persistence.IdClass","Class",1,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry",""
"axon-eventsourcing-4.9.3","javax.annotation.Nullable","Parameter",1,"org.axonframework.eventsourcing.eventstore.EventStorageEngine.readEvents(0)",""
"axon-eventsourcing-4.9.3","javax.persistence.Table","Class",1,"org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry",""
"axon-eventsourcing-4.9.3","jakarta.persistence.Table","Class",1,"org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry",""
"axon-eventsourcing-4.9.3","javax.annotation.PreDestroy","Method",1,"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore.shutDown",""
