"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1501,"org.axonframework.test.aggregate.ResultValidatorImpl.onResult(0),org.axonframework.test.aggregate.ResultValidatorImpl.onResult(1),org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository.load(0),org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository.newInstance(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.newInstance(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.load(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.loadOrCreate(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.loadOrCreate(1),org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.readEvents(0)",""
"java.lang.Deprecated","Method",96,"org.axonframework.test.aggregate.ResultValidator.expectDeadlinesMet,org.axonframework.test.aggregate.ResultValidator.expectDeadlinesMetMatching,org.axonframework.test.aggregate.Reporter.reportWrongEvent,org.axonframework.test.aggregate.AggregateTestFixture.whenThenTimeElapses,org.axonframework.test.aggregate.AggregateTestFixture.whenThenTimeAdvancesTo,org.axonframework.test.aggregate.TestExecutor.andThenTimeElapses,org.axonframework.test.aggregate.TestExecutor.whenThenTimeElapses,org.axonframework.test.aggregate.TestExecutor.andThenTimeAdvancesTo,org.axonframework.test.aggregate.TestExecutor.whenThenTimeAdvancesTo",""
"javax.annotation.Nullable","Parameter",61,"org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0),org.axonframework.deadline.DeadlineManager.schedule(2),org.axonframework.deadline.GenericDeadlineMessage.asDeadlineMessage(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(2),org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager.schedule(2),org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails.<init>(3)",""
"java.lang.FunctionalInterface","Interface",54,"org.axonframework.test.matchers.FieldFilter,org.axonframework.test.deadline.DeadlineConsumer,org.axonframework.test.eventscheduler.EventConsumer,org.axonframework.commandhandling.CommandCallback,org.axonframework.commandhandling.DuplicateCommandHandlerResolver,org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.commandhandling.distributed.ConsistentHashChangeListener,org.axonframework.common.Registration,org.axonframework.common.jdbc.ConnectionProvider",""
"java.lang.annotation.Retention","Annotation",40,"org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay,org.axonframework.eventhandling.EventHandler",""
"java.lang.annotation.Target","Annotation",40,"org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay,org.axonframework.eventhandling.EventHandler",""
"javax.persistence.Basic","Field",39,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
"javax.annotation.Nonnull","Method",37,"org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.subscribe,org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.schedule,org.axonframework.test.deadline.StubDeadlineManager.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.registerHandlerInterceptor,org.axonframework.commandhandling.gateway.DefaultCommandGateway.registerDispatchInterceptor,org.axonframework.eventhandling.GenericEventMessage.getTimestamp,org.axonframework.eventhandling.MultiEventHandlerInvoker.delegates,org.axonframework.eventhandling.interceptors.EventLoggingInterceptor.handle",""
"jakarta.persistence.Basic","Field",33,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
"com.fasterxml.jackson.annotation.JsonProperty","Parameter",32,"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>(1),org.axonframework.eventhandling.GapAwareTrackingToken.<init>(0),org.axonframework.eventhandling.GapAwareTrackingToken.<init>(1)",""
