"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Overview/Effective_lines_of_method_code_per_type.cypher"
"axon-configuration-4.9.3","org.axonframework.config","EventProcessingModule",458,43,"<init>",4,"noTepCustomization",""
"axon-configuration-4.9.3","org.axonframework.config","DefaultConfigurer",431,50,"<init>",7,"invokeLifecycleHandlers",""
"axon-messaging-4.9.3","org.axonframework.eventhandling","TrackingEventProcessor",379,64,"processBatch",21,"processBatch",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jdbc","JdbcTokenStore",312,26,"updateToken",9,"updateToken",""
"axon-test-4.9.3","org.axonframework.test.aggregate","AggregateTestFixture",304,24,"<init>",13,"ensureValuesEqual",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled","Coordinator$CoordinationTask",249,78,"run",22,"run",""
"axon-test-4.9.3","org.axonframework.test.aggregate","Reporter",241,45,"appendEventOverview",11,"appendEventOverview",""
"axon-messaging-4.9.3","org.axonframework.queryhandling","SimpleQueryBus",233,36,"doQuery",11,"doQuery",""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",231,26,"inspectFieldsAndMethods",9,"prepareHandlers",""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine",228,24,"<init>",7,"lambda$cleanGaps$37",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc","JdbcSequencedDeadLetterQueue",218,18,"processInitialAndSubsequent",6,"process",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.legacyjpa","JpaSequencedDeadLetterQueue",216,19,"enqueue",6,"process",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa","JpaSequencedDeadLetterQueue",214,18,"requeue",6,"process",""
"axon-test-4.9.3","org.axonframework.test.aggregate","ResultValidatorImpl",203,15,"expectExceptionDetails",7,"verifyPayloadEquality",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc","DefaultDeadLetterStatementFactory",187,19,"claimableSequencesStatement",2,"setDomainEventFields",""
"axon-configuration-4.9.3","org.axonframework.config","AggregateConfigurer",165,23,"lambda$new$28",5,"lambda$new$28",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled","WorkPackage",163,24,"processEvents",7,"processEvents",""
"axon-test-4.9.3","org.axonframework.test.saga","SagaTestFixture",161,29,"<init>",5,"handleInSaga",""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa","JpaEventStorageEngine",155,25,"fetchTrackedEvents",8,"withGapsCleaned",""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa","JpaEventStorageEngine",153,23,"fetchTrackedEvents",8,"fetchTrackedEvents",""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler","DbSchedulerDeadlineManager",150,18,"execute",5,"execute",""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine$Builder",150,23,"<init>",2,"lambda$lowestGlobalSequence$0",""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","AnnotatedAggregate",149,16,"handle",5,"doApply",""
