"moduleName","numberOfElements","incomingDependencies","outgoingDependencies","moduleFullQualifiedName","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router",6,19,17,"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.0/source/packages/react-router/index.ts",""
"react-router-dom",34,2,146,"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.0/source/packages/react-router-dom/index.tsx",""
"server",6,0,40,"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.0/source/packages/react-router-dom/server.tsx",""
"react-router-native",12,0,24,"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.0/source/packages/react-router-native/index.tsx",""
