"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.axonserver.connector.heartbeat.connection.checker.HeartbeatConnectionChecker","HeartbeatConnectionChecker",5,"95,34,34",4,"95,171,54,0",,0,11,3,29,,3,""
"org.axonframework.axonserver.connector.AxonServerConnectionManager","AxonServerConnectionManager",5,"34,34,34",4,"76,171,54,0",,0,0,10,4,26,6,""
"org.axonframework.axonserver.connector.heartbeat.ConnectionSanityChecker","ConnectionSanityChecker",5,"95,34,34",4,"95,171,54,0",,0,11,3,28,3,,""
"org.axonframework.axonserver.connector.heartbeat.HeartbeatSource","HeartbeatSource",5,"91,34,34",4,"91,171,54,0",,0,12,1,30,1,,""
"org.axonframework.axonserver.connector.PriorityTask","PriorityTask",2,"46,19,192",2,"47,215,41,7",,0,4,2,37,2,,""
"org.axonframework.axonserver.connector.DefaultHandlers","DefaultHandlers",12,"98,98,98",10,"98,277,22,24",,4,13,1,77,,1,""
"org.axonframework.axonserver.connector.Handlers","Handlers",12,"98,98,98",10,"98,277,22,24",,4,13,1,29,1,,""
"org.axonframework.axonserver.connector.event.util.EventCipher","EventCipher",5,"99,34,34",4,"99,171,54,0",,0,7,2,98,2,1,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder","AxonServerConfiguration$Builder",5,"34,34,34",4,"76,171,54,0",,0,0,3,22,1,3,""
"org.axonframework.axonserver.connector.ErrorCode$ExceptionBuilder","ErrorCode$ExceptionBuilder",2,"107,192,192",11,"107,227,48,1",,0,14,2,20,1,1,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus$ResponseProcessingTask","AxonServerQueryBus$ResponseProcessingTask",2,"41,19,192",2,"41,215,41,7",,0,0,6,33,1,6,""
"org.axonframework.axonserver.connector.ErrorCode","ErrorCode",2,"107,192,192",11,"107,227,48,1",,0,14,8,74,17,19,""
"org.axonframework.axonserver.connector.query.AxonServerQueryDispatchException","AxonServerQueryDispatchException",2,"107,192,192",11,"107,227,48,1",,0,14,4,97,2,2,""
"org.axonframework.axonserver.connector.query.StreamableResponse","StreamableResponse",2,"41,19,192",2,"41,215,41,7",,0,0,4,87,4,,""
"org.axonframework.axonserver.connector.TargetContextResolver","TargetContextResolver",2,"41,19,192",2,"41,215,41,7",,0,0,9,94,7,2,""
"org.axonframework.axonserver.connector.InstructionAckSource","InstructionAckSource",2,"107,192,192",11,"107,227,48,1",,0,14,2,57,2,1,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus","AxonServerQueryBus",2,"41,19,192",2,"41,215,41,7",,0,0,10,79,6,51,""
"org.axonframework.axonserver.connector.query.subscription.SubscriptionMessageSerializer","SubscriptionMessageSerializer",2,"616,19,192",2,"616,215,41,7",,0,0,9,33,5,15,""
"org.axonframework.axonserver.connector.query.QuerySerializer","QuerySerializer",2,"41,19,192",2,"41,215,41,7",,0,0,8,8,8,14,""
"org.axonframework.axonserver.connector.query.StreamableInstanceResponse","StreamableInstanceResponse",2,"41,19,192",2,"41,215,41,7",,0,0,4,17,1,3,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus$Builder","AxonServerQueryBus$Builder",2,"41,19,192",2,"41,215,41,7",,0,0,10,1,3,21,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus$1","AxonServerQueryBus$1",2,"41,19,192",2,"41,215,41,7",,0,0,4,25,3,1,""
"org.axonframework.axonserver.connector.query.QueryPriorityCalculator","QueryPriorityCalculator",2,"41,19,192",2,"41,215,41,7",,0,0,6,59,5,1,""
"org.axonframework.axonserver.connector.query.GrpcBackedQueryMessage","GrpcBackedQueryMessage",7,"168,55,55",6,"168,14,24,5",,0,0,8,98,2,8,""
"org.axonframework.axonserver.connector.query.GrpcBackedResponseMessage","GrpcBackedResponseMessage",7,"56,55,55",6,"168,14,24,5",,0,0,8,94,2,11,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus$LocalSegmentAdapter","AxonServerQueryBus$LocalSegmentAdapter",2,"41,19,192",2,"41,215,41,7",,0,0,8,30,2,13,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus$QueryResponseSpliterator","AxonServerQueryBus$QueryResponseSpliterator",2,"41,19,192",2,"41,215,41,7",,0,0,4,41,1,3,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus$ActivityFinisher","AxonServerQueryBus$ActivityFinisher",2,"140,19,192",2,"41,215,41,7",,0,0,4,65,1,3,""
"org.axonframework.axonserver.connector.DispatchInterceptors","DispatchInterceptors",2,"41,19,192",1,"214,77,7,6",,0,0,5,54,2,3,""
"org.axonframework.axonserver.connector.command.AxonServerRegistration","AxonServerRegistration",1,"895,214,529",1,"895,215,41,7",,0,0,3,72,2,1,""
"org.axonframework.axonserver.connector.query.subscription.AxonServerSubscriptionQueryResult","AxonServerSubscriptionQueryResult",2,"616,19,192",2,"616,215,41,7",,0,0,9,35,1,13,""
"org.axonframework.axonserver.connector.query.QueryProcessingTask","QueryProcessingTask",2,"41,19,192",2,"41,215,41,7",,0,0,8,31,2,17,""
"org.axonframework.axonserver.connector.query.StreamableFluxResponse","StreamableFluxResponse",2,"41,19,192",2,"41,215,41,7",,0,0,4,53,1,4,""
"org.axonframework.axonserver.connector.query.StreamableMultiInstanceResponse","StreamableMultiInstanceResponse",2,"41,19,192",2,"41,215,41,7",,0,0,6,43,1,6,""
