"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-disruptor-4.10.1",1,"commandhandling",""
0,"axon-eventsourcing-4.10.1",2,"eventsourcing,conflictresolution",""
0,"axon-messaging-4.10.1",17,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock,property,interceptors,legacyvalidation,unitofwork",""
0,"axon-modelling-4.10.1",3,"command,inspection,legacyjpa",""
1,"axon-configuration-4.10.1",1,"config",""
1,"axon-eventsourcing-4.10.1",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
1,"axon-messaging-4.10.1",10,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,monitoring,util",""
2,"axon-messaging-4.10.1",10,"replay,java,lifecycle,messaging,correlation,interceptors,responsetypes,queryhandling,registration,tracing",""
2,"axon-server-connector-4.10.1",11,"connector,util,heartbeat,source,checker,query,subscription,processor,command,axon",""
2,"axon-tracing-opentelemetry-4.10.1",1,"opentelemetry",""
4,"axon-messaging-4.10.1",15,"deadline,dbscheduler,jobrunr,quartz,scheduling,serialization,converters,json,upcasting,event,xml,attributes",""
4,"axon-spring-boot-autoconfigure-4.10.1",9,"actuator,axonserver,springboot,util,legacyjpa,jpa,connection,autoconfig",""
4,"axon-test-4.10.1",1,"server",""
5,"axon-modelling-4.10.1",1,"inmemory",""
5,"axon-test-4.10.1",7,"test,aggregate,matchers,saga,utils,deadline,eventscheduler",""
