"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.10.1","org.axonframework.commandhandling.gateway",4,34,210,1,""
"axon-messaging-4.10.1","org.axonframework.serialization",4,33,210,1,""
"axon-messaging-4.10.1","org.axonframework.common",4,27,210,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.pooled",4,22,210,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.deadletter",4,19,210,1,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository",4,15,210,1,""
"axon-messaging-4.10.1","org.axonframework.deadline",4,13,210,1,""
"axon-messaging-4.10.1","org.axonframework.lifecycle",4,9,210,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.interceptors",4,8,210,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.quartz",4,6,210,1,""
"axon-messaging-4.10.1","org.axonframework.monitoring",4,6,210,1,""
"axon-test-4.10.1","org.axonframework.test.server",4,2,210,1,""
"axon-messaging-4.10.1","org.axonframework.queryhandling",3,47,165,1,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing",3,41,165,1,""
"axon-modelling-4.10.1","org.axonframework.modelling.command.inspection",3,26,165,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.command",3,11,165,1,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.jpa",3,7,165,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.legacyjpa",3,6,165,1,""
"axon-messaging-4.10.1","org.axonframework.serialization.upcasting",3,6,165,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.correlation",3,4,165,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.util",3,3,165,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.annotation",6,54,133,1,""
"axon-messaging-4.10.1","org.axonframework.common",6,27,133,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector",6,25,133,1,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig",12,29,131,1,""
"axon-messaging-4.10.1","org.axonframework.util",12,3,131,1,""
"axon-messaging-4.10.1","org.axonframework.queryhandling",1,47,128,1,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing",1,41,128,1,""
"axon-test-4.10.1","org.axonframework.test.matchers",1,24,128,1,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.legacyjpa",1,10,128,1,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jpa",1,6,128,1,""
"axon-modelling-4.10.1","org.axonframework.modelling.command",0,56,111,1,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig",0,29,111,1,""
