"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@types",4,35,108,162,4,59,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<usePrompt> of module <react-router-dom> imports <React.useEffect> from external namespace <@types>,<useLinkClickHandler> of module <react-router-dom> imports <React.MouseEvent> from external namespace <@types>,<useLinkClickHandler> of module <react-router-dom> imports <React.MouseEvent.preventDefault> from external namespace <@types>",""
"@ungap",1,1,1,2,4,59,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
