"externalModuleName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_module_usage_overall_for_Typescript.cypher"
"@types/react",4,34,94,144,4,59,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external module <react>,<usePrompt> of module <react-router-dom> imports <React.useEffect> from external module <react>,<useLinkClickHandler> of module <react-router-dom> imports <React.MouseEvent> from external module <react>,<useLinkClickHandler> of module <react-router-dom> imports <React.MouseEvent.preventDefault> from external module <react>",""
"@types/react-native",1,5,14,18,4,59,"<Link> of module <react-router-native> imports <GestureResponderEvent.defaultPrevented> from external module <react-native>,<LinkProps> of module <react-router-native> imports <GestureResponderEvent> from external module <react-native>,<LinkProps> of module <react-router-native> imports <TouchableHighlightProps> from external module <react-native>,<useHardwareBackButton> of module <react-router-native> imports <BackHandlerStatic.addEventListener> from external module <react-native>",""
"@ungap/url-search-params",1,1,1,2,4,59,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external module <url-search-params>",""
